group,score,label
asian,0.5,0
asian,0.5,0
asian,0.5,0
asian,1.0,0
asian,1.0,0
asian,1.0,0
asian,1.0,0
asian,1.0,0
asian,1.0,0
asian,1.0,0
asian,1.0,0
asian,1.0,0
asian,1.0,0
asian,1.5,0
asian,1.5,0
asian,1.5,1
asian,1.5,0
asian,1.5,0
asian,2.0,0
asian,2.0,0
asian,2.0,0
asian,3.0,0
asian,3.0,0
asian,3.0,0
asian,3.0,0
asian,3.0,1
asian,3.0,1
asian,3.0,0
asian,3.0,0
asian,3.5,0
asian,3.5,0
asian,3.5,0
asian,4.0,0
asian,4.0,0
asian,4.0,0
asian,4.0,0
asian,4.0,0
asian,4.5,0
asian,4.5,0
asian,4.5,0
asian,5.0,0
asian,5.0,0
asian,5.0,0
asian,5.0,0
asian,5.0,0
asian,5.0,0
asian,5.0,0
asian,5.0,1
asian,5.0,0
asian,5.0,0
asian,5.5,0
asian,5.5,0
asian,5.5,0
asian,5.5,0
asian,5.5,0
asian,5.5,0
asian,5.5,0
asian,5.5,1
asian,5.5,0
asian,5.5,1
asian,6.0,0
asian,6.0,0
asian,6.0,0
asian,6.0,0
asian,6.0,0
asian,6.0,0
asian,6.0,0
asian,6.0,0
asian,6.0,1
asian,6.5,0
asian,6.5,0
asian,7.0,0
asian,7.0,0
asian,7.0,0
asian,7.0,0
asian,7.0,0
asian,7.0,0
asian,7.0,0
asian,7.0,1
asian,7.0,0
asian,7.0,0
asian,7.5,0
asian,7.5,0
asian,7.5,0
asian,7.5,0
asian,7.5,0
asian,7.5,1
asian,7.5,0
asian,7.5,0
asian,7.5,0
asian,8.0,0
asian,8.0,0
asian,8.0,1
asian,8.0,0
asian,8.0,0
asian,8.5,0
asian,8.5,0
asian,9.0,0
asian,9.0,1
asian,9.0,0
asian,9.0,0
asian,9.0,0
asian,9.5,0
asian,9.5,0
asian,9.5,0
asian,9.5,1
asian,10.0,0
asian,10.0,0
asian,10.0,0
asian,10.0,0
asian,10.0,0
asian,10.0,0
asian,10.0,0
asian,10.5,0
asian,10.5,0
asian,11.0,0
asian,11.0,0
asian,11.0,0
asian,11.0,0
asian,11.0,1
asian,11.0,0
asian,11.0,1
asian,11.0,0
asian,11.0,0
asian,11.0,0
asian,11.5,0
asian,11.5,0
asian,11.5,0
asian,12.0,0
asian,12.0,0
asian,12.0,0
asian,12.0,0
asian,12.0,1
asian,12.0,0
asian,12.0,0
asian,12.0,1
asian,12.0,0
asian,12.0,0
asian,12.0,0
asian,12.0,1
asian,12.0,0
asian,12.0,0
asian,12.5,0
asian,12.5,0
asian,12.5,0
asian,12.5,0
asian,12.5,0
asian,12.5,0
asian,12.5,1
asian,13.0,0
asian,13.0,0
asian,13.0,0
asian,13.0,0
asian,13.0,0
asian,13.0,0
asian,13.0,0
asian,13.5,0
asian,13.5,0
asian,13.5,1
asian,13.5,1
asian,13.5,0
asian,13.5,0
asian,13.5,1
asian,13.5,0
asian,13.5,0
asian,14.0,0
asian,14.0,0
asian,14.0,0
asian,14.0,0
asian,14.0,0
asian,14.0,0
asian,14.0,0
asian,14.0,0
asian,14.0,0
asian,14.0,0
asian,14.0,1
asian,14.0,0
asian,14.0,0
asian,14.0,1
asian,14.0,0
asian,14.5,0
asian,14.5,0
asian,14.5,1
asian,14.5,1
asian,14.5,0
asian,14.5,0
asian,14.5,0
asian,15.0,1
asian,15.0,0
asian,15.0,1
asian,15.0,0
asian,15.0,0
asian,15.0,0
asian,15.0,1
asian,15.0,0
asian,15.0,1
asian,15.0,1
asian,15.0,0
asian,15.0,0
asian,15.5,1
asian,15.5,1
asian,16.0,1
asian,16.0,1
asian,16.0,0
asian,16.0,0
asian,16.0,0
asian,16.0,0
asian,16.0,0
asian,16.5,0
asian,16.5,1
asian,16.5,1
asian,16.5,1
asian,17.0,1
asian,17.0,0
asian,17.0,0
asian,17.0,1
asian,17.0,1
asian,17.0,1
asian,17.0,0
asian,17.0,0
asian,17.0,0
asian,17.5,0
asian,17.5,1
asian,17.5,0
asian,17.5,1
asian,17.5,0
asian,17.5,1
asian,17.5,0
asian,17.5,0
asian,17.5,0
asian,18.0,0
asian,18.0,0
asian,18.0,0
asian,18.0,0
asian,18.0,1
asian,18.5,0
asian,18.5,0
asian,19.0,1
asian,19.0,0
asian,19.0,0
asian,19.0,0
asian,19.0,1
asian,19.0,1
asian,19.0,1
asian,19.5,0
asian,19.5,0
asian,19.5,0
asian,20.0,0
asian,20.0,0
asian,20.0,0
asian,20.0,0
asian,20.0,0
asian,20.0,1
asian,20.0,0
asian,20.0,1
asian,20.0,1
asian,20.0,0
asian,20.0,1
asian,20.0,0
asian,20.0,1
asian,20.0,1
asian,20.0,0
asian,20.0,0
asian,20.5,1
asian,20.5,0
asian,20.5,0
asian,20.5,0
asian,20.5,1
asian,20.5,0
asian,20.5,0
asian,20.5,0
asian,21.0,1
asian,21.0,1
asian,21.0,1
asian,21.0,0
asian,21.0,1
asian,21.0,0
asian,21.0,1
asian,21.0,1
asian,21.5,1
asian,21.5,0
asian,22.0,0
asian,22.0,0
asian,22.0,1
asian,22.0,0
asian,22.0,1
asian,22.0,1
asian,22.0,0
asian,22.0,1
asian,22.0,1
asian,22.5,0
asian,22.5,0
asian,22.5,0
asian,22.5,1
asian,22.5,1
asian,22.5,0
asian,22.5,0
asian,22.5,1
asian,22.5,0
asian,22.5,0
asian,23.0,1
asian,23.0,0
asian,23.0,0
asian,23.0,1
asian,23.5,1
asian,23.5,0
asian,23.5,1
asian,23.5,1
asian,23.5,0
asian,23.5,0
asian,24.0,0
asian,24.0,0
asian,24.0,0
asian,24.0,0
asian,24.0,0
asian,24.0,1
asian,24.0,1
asian,24.0,0
asian,24.0,1
asian,24.0,1
asian,24.0,1
asian,24.0,1
asian,24.5,1
asian,24.5,1
asian,24.5,1
asian,24.5,0
asian,24.5,1
asian,25.0,0
asian,25.0,0
asian,25.0,0
asian,25.0,1
asian,25.0,1
asian,25.0,0
asian,25.0,0
asian,25.0,1
asian,25.5,1
asian,25.5,0
asian,25.5,0
asian,25.5,1
asian,26.0,1
asian,26.0,0
asian,26.0,1
asian,26.0,1
asian,26.0,0
asian,26.0,0
asian,26.0,0
asian,26.0,1
asian,26.0,0
asian,26.0,0
asian,26.5,0
asian,26.5,0
asian,26.5,1
asian,26.5,1
asian,26.5,1
asian,26.5,0
asian,26.5,1
asian,26.5,1
asian,26.5,1
asian,26.5,1
asian,26.5,1
asian,26.5,1
asian,26.5,1
asian,27.0,0
asian,27.0,0
asian,27.0,1
asian,27.0,0
asian,27.5,0
asian,27.5,0
asian,27.5,1
asian,27.5,0
asian,27.5,0
asian,27.5,1
asian,27.5,1
asian,27.5,1
asian,28.0,0
asian,28.0,1
asian,28.0,0
asian,28.0,0
asian,28.0,1
asian,28.0,1
asian,28.0,1
asian,28.0,1
asian,28.0,1
asian,28.0,1
asian,28.0,1
asian,28.0,0
asian,28.0,1
asian,28.0,0
asian,28.0,0
asian,28.0,1
asian,28.5,1
asian,28.5,0
asian,28.5,1
asian,28.5,0
asian,28.5,1
asian,28.5,1
asian,28.5,1
asian,28.5,1
asian,28.5,1
asian,28.5,0
asian,28.5,1
asian,28.5,1
asian,28.5,0
asian,28.5,1
asian,29.0,0
asian,29.0,1
asian,29.0,1
asian,29.0,0
asian,29.0,0
asian,29.0,1
asian,29.0,0
asian,29.0,1
asian,29.0,1
asian,29.0,1
asian,29.0,1
asian,29.0,1
asian,29.0,1
asian,29.0,1
asian,29.0,0
asian,29.0,1
asian,29.0,1
asian,29.0,0
asian,29.5,0
asian,29.5,1
asian,29.5,0
asian,30.0,1
asian,30.0,0
asian,30.0,1
asian,30.0,0
asian,30.0,0
asian,30.0,1
asian,30.0,0
asian,30.0,1
asian,30.0,0
asian,30.5,0
asian,30.5,1
asian,30.5,1
asian,30.5,0
asian,30.5,1
asian,30.5,1
asian,30.5,0
asian,30.5,1
