alg,pr_diff_avg,pr_diff_05,pr_diff_worst,tpr_diff_avg,tpr_diff_05,tpr_diff_worst,eo_diff_avg,eo_diff_05,eo_diff_worst,acc_avg,acc_05,acc_worst
uncorrected,0.07578528654927244,0.1074885759464446,0.1346121565789715,0.04360537841541213,0.06667581420139244,0.1160429425932854,0.07476281396741045,0.11477789844188471,0.16136616729066672,0.7671315181518151,0.83295,0.4926666666666666
full_corr,0.015921195381339154,0.02092492814139639,0.1108743624407556,0.06306888059480871,0.08490649200945255,0.1728049153328007,0.09745755046413304,0.11908956377711963,0.21348571287829862,0.7599569306930694,0.8274333333333335,0.427
ours_tpr,0.03780979872466167,0.055092404515145396,0.1108743624407556,0.01625147198333562,0.01757872232936436,0.0719971991281793,0.02883175738022234,0.028542704928585672,0.18189933100446964,0.7629001650165014,0.8307,0.427
pleiss_tpr,0.07427831038475755,0.042898276395669434,0.2175491389890433,0.05489404246529278,0.17235752955534295,0.2150727192595857,0.101083924781076,0.17235752955534295,0.234404946452077,0.7964624329646243,0.960973902609739,0.4320567943205679
feldman_tpr,0.17408520626630422,0.17492367291840813,0.3635357074179125,0.1560713965584329,0.1774969712648593,0.3436806525958532,0.25715748611109274,0.2664913686857244,0.5916774154484226,0.7722976013817597,0.8117997542997543,0.472051597051597
ours_eo,0.038845034892566674,0.056739546207861855,0.1108743624407556,0.015581424460642743,0.01558777209626481,0.0678175882915668,0.02815050956098093,0.027365895948743363,0.18189933100446964,0.762983498349835,0.8306666666666667,0.427
pleiss_eo,0.0725663129071625,0.1291379482153207,0.1454150750118508,0.05044228385932498,0.08439846645044678,0.1305490712725669,0.06834380488718877,0.08439846645044678,0.1306663459899405,0.8197509951975098,0.9913108689131087,0.4437556244375562
feldman_eo,0.1742910236912576,0.17448982531732193,0.3588198884669006,0.1594823423856771,0.18072046506191491,0.3436806525958532,0.25910429126281176,0.2673969262411443,0.5916774154484226,0.7740153745104241,0.8137960687960687,0.472051597051597
feldman_pr,0.17488498784232903,0.17593739503624065,0.3681175108932461,0.15882995859686158,0.1852517757495587,0.342956283182432,0.25966615773066687,0.27272857705517695,0.601270812372656,0.7731685600992532,0.8136855036855037,0.4632678132678132
feldman_acc,0.1829980839968182,0.18436115479732892,0.3774135348583878,0.1642705945007435,0.18784544758312566,0.3444071619484575,0.2746203793578526,0.28562664557433437,0.6076147313336387,0.7696349161943221,0.8099508599508599,0.464004914004914
