thresholds,positivity_rate_differences,tpr_differences,fpr_differences,eqodds_differences,tpr_A,tpr_B,selection_A,selection_B,fpr_A,fpr_B,acc_A,acc_B,acc_overall,trial
0.0,0.010402474804636963,0.0008124684070196508,-0.014612368637839102,0.015424837044858752,0.997822931785196,0.9970104633781763,0.8446733532122527,0.8342708784076157,0.7533535266118564,0.7679658952496955,0.5272431553266468,0.4534833405452185,0.49883333333333335,0
0.01,0.017438842763972895,0.003802005028843203,-0.014322751275344214,0.018124756304187417,0.997822931785196,0.9940209267563528,0.8002168609379235,0.7827780181739507,0.6823885763738641,0.6967113276492083,0.5716996476009759,0.5032453483340545,0.5453333333333333,0
0.02,0.02174251423325846,0.003076315623908421,-0.014129585190986726,0.017205900814895148,0.9970972423802612,0.9940209267563528,0.7668744917321767,0.7451319774989182,0.6295975768065772,0.643727161997564,0.6044998644619138,0.540891389009087,0.58,0
0.03,0.026770150278952798,0.006834931151709189,-0.01305518119927418,0.01989011235098337,0.9963715529753265,0.9895366218236173,0.7424776362157767,0.7157074859368239,0.5910861099091302,0.6041412911084044,0.6283545676335051,0.5677196019039377,0.605,0
0.04,0.031432402388238634,0.004701252437947501,-0.008471110206917043,0.013172362644864544,0.9927431059506531,0.9880418535127056,0.7237733803198699,0.6923409779316313,0.5633924707918649,0.571863580998782,0.6443480618053673,0.5902206836867157,0.6235,0
0.05,0.03815382464315831,0.003293263129120705,-0.0011144602602286557,0.004407723389349361,0.9898403483309144,0.9865470852017937,0.7066955814583898,0.6685417568152315,0.5378623972306361,0.5389768574908648,0.6592572512876118,0.613154478580701,0.6415,0
0.06,0.0437437883264582,0.006326189251986802,0.002924634657843095,0.009250823909829897,0.988388969521045,0.9820627802690582,0.6915153158037408,0.6477715274772826,0.5144958892254435,0.5115712545676004,0.673353212252643,0.6313284292514063,0.6571666666666667,0
0.07,0.04706579104331954,0.007138657659006231,0.005120614168007576,0.012259271827013807,0.9862119013062409,0.9790732436472347,0.6779615071835186,0.630895716140199,0.49415837299870186,0.4890377588306943,0.6852805638384386,0.6464733881436607,0.6703333333333333,0
0.08,0.05390169635504016,0.007951126066025882,0.012108588327497949,0.02005971439352383,0.9840348330914369,0.976083707025411,0.663594470046083,0.6096927736910428,0.4725227174383384,0.46041412911084045,0.6980211439414475,0.6659454781479879,0.6856666666666666,0
0.09,0.05684822748909457,0.00803790506811064,0.014464792911727031,0.02250269797983767,0.9811320754716981,0.9730941704035875,0.651396042287883,0.5945478147987884,0.4547814798788403,0.4403166869671133,0.708050962320412,0.6793595845954132,0.697,0
