thresholds,positivity_rate_differences,tpr_differences,fpr_differences,eqodds_differences,tpr_A,tpr_B,selection_A,selection_B,fpr_A,fpr_B,acc_A,acc_B,acc_overall,trial
0.0,-0.059001822696946316,0.0008124684070196508,-0.10415446751252155,0.1049669359195412,0.997822931785196,0.9970104633781763,0.8877744646245596,0.9467762873215059,0.8221549112938122,0.9263093788063338,0.4841420439143399,0.34097793163132845,0.429,0
0.01,-0.014723389111371055,0.003802005028843203,-0.0578994914435067,0.061701496472349904,0.997822931785196,0.9940209267563528,0.8091623746272703,0.8238857637386413,0.696668109043704,0.7545676004872107,0.5627541339116292,0.4621376027693639,0.524,0
0.02,-0.007348615804831815,0.003076315623908421,-0.054356619904486814,0.057432935528395235,0.9970972423802612,0.9940209267563528,0.7706695581458389,0.7780181739506707,0.635655560363479,0.6900121802679658,0.6007047980482516,0.5080051925573345,0.565,0
0.03,0.0028715775753497264,0.0023506262189737503,-0.044147014938352824,0.046497641157326575,0.9963715529753265,0.9940209267563528,0.7462727026294389,0.7434011250540892,0.597144093466032,0.6412911084043849,0.6245595012198428,0.542622241453916,0.593,0
0.04,0.009311836011466679,0.0032064841270357247,-0.03884166758462282,0.042048151711658543,0.9927431059506531,0.9895366218236173,0.7245866088370833,0.7152747728256166,0.5646906101254868,0.6035322777101096,0.643534833288154,0.568152315015145,0.6145,0
0.05,0.012300477204323701,0.0017984948182088178,-0.03678983793549995,0.038588332753708765,0.9898403483309144,0.9880418535127056,0.7072377338031987,0.694937256598875,0.5387278234530506,0.5755176613885505,0.6587150989428029,0.5876244050194721,0.6313333333333333,0
0.06,0.013021157430742059,0.0018418843192513634,-0.038488276426200785,0.04033016074545215,0.988388969521045,0.9865470852017937,0.6915153158037408,0.6784941583729988,0.5144958892254435,0.5529841656516443,0.673353212252643,0.6032020770229338,0.6463333333333333,0
0.07,0.01677587325881058,-0.00033518389555275974,-0.03446525672115203,0.034800440616704786,0.9862119013062409,0.9865470852017937,0.6779615071835186,0.661185633924708,0.49415837299870186,0.5286236297198539,0.6852805638384386,0.6205106014712246,0.6603333333333333,0
0.08,0.015822942568800347,0.0004772845114667801,-0.03843952373096737,0.03891680824243415,0.9840348330914369,0.9835575485799701,0.663594470046083,0.6477715274772826,0.4725227174383384,0.5109622411693058,0.6980211439414475,0.6321938554738209,0.6726666666666666,0
0.09,0.015036692640792104,0.002058831824463425,-0.04199715284259836,0.04405598466706179,0.9811320754716981,0.9790732436472347,0.6511249661154784,0.6360882734746863,0.4543487667676331,0.49634591961023145,0.7083220384928165,0.6412808308091735,0.6825,0
0.1,0.01825429994725103,-0.000118236390340698,-0.038422921461779724,0.03854115785212042,0.978955007256894,0.9790732436472347,0.6391976145296828,0.6209433145824318,0.436607529208135,0.47503045066991473,0.7186229330441855,0.656425789701428,0.6946666666666667,0
0.11,0.022983881231335657,-0.0007571467931903886,-0.03327806271019662,0.03403520950338701,0.9753265602322206,0.976083707025411,0.6261859582542695,0.6032020770229338,0.4180008654262224,0.451278928136419,0.7289238275955543,0.672436174816097,0.7071666666666667,0
