alg,pr_diff_avg,pr_diff_05,pr_diff_worst,tpr_diff_avg,tpr_diff_05,tpr_diff_worst,eo_diff_avg,eo_diff_05,eo_diff_worst,acc_avg,acc_05,acc_worst
uncorrected,0.1980192093930609,0.2006391825906127,0.3721705010478696,0.10483375507781538,0.11314070245940358,0.2184658857709997,0.22098390930733727,0.20743587674426317,0.3913960968753268,0.7907053982010785,0.8429494789605594,0.4571956206305236
full_corr,0.013105576216530995,0.00872241022211959,0.1504531617118969,0.2021789816107206,0.3259187723742648,0.4082233651469271,0.2578958749811936,0.3863814008154427,0.4428356231106738,0.7603409252678335,0.8232291254451921,0.3494261970716264
ours_tpr,0.1381169766276395,0.15254726713275388,0.2578651566339238,0.03452131908172186,0.035032098881085084,0.13889462385919,0.10032688224676337,0.09529503380209596,0.22753283576540195,0.7803634934130532,0.8426856615222267,0.3478432924416303
pleiss_tpr,0.10060572030187716,0.06332014066263314,0.3163911651141546,0.06244244014009802,0.16015711575514113,0.2793721973094171,0.11982671538173828,0.1601571157551412,0.2959865533279357,0.831780955873365,0.9780111786745286,0.3807505681469197
feldman_tpr,0.09719954815675776,0.09907698456543032,0.2656506956147713,0.0569449475318569,0.057466678779911816,0.1921216059713107,0.09368999952507404,0.08713329317128918,0.3731644092454842,0.7660157637385361,0.8061486486486487,0.464004914004914
ours_eo,0.11743695377205801,0.1332934771391468,0.2197905153020195,0.04220412687202213,0.05748252295679733,0.124086152876032,0.09073976358038593,0.1035001154333582,0.22809828671253218,0.7772991624449348,0.8414457195620632,0.3483709273182957
pleiss_eo,0.2345655462717385,0.20491237988403857,0.5933671119299861,0.6868242279304844,1.0,1.0,0.8048206756607931,1.0,1.487286176606565,0.8334629261710029,0.9640562619003747,0.3053866470118543
feldman_eo,0.10192938937720439,0.1057581570005168,0.2656506956147713,0.06267564306015774,0.06713519728736815,0.1921216059713107,0.10288519135812961,0.10118676621703851,0.3731644092454842,0.7659003940934632,0.806615479115479,0.464004914004914
feldman_pr,0.09124680188200432,0.09466792662107724,0.2656506956147713,0.05459064093378937,0.05594741011502617,0.1921216059713107,0.08669194546362136,0.08107916486129105,0.3731644092454842,0.7671528571776097,0.8072542997542997,0.4646805896805897
feldman_acc,0.09291263293505715,0.09955292399280284,0.289696108360175,0.04677987536913738,0.05685481476320745,0.2111477910628094,0.07760628833956151,0.08598493460658273,0.4208864303759252,0.764258155545284,0.8043857493857495,0.4582309582309582
