thresholds,positivity_rate_differences,tpr_differences,fpr_differences,eqodds_differences,tpr_A,tpr_B,selection_A,selection_B,fpr_A,fpr_B,acc_A,acc_B,acc_overall,trial
0.0,-0.14948398163823917,-0.009247842170160281,-0.21885044454237168,0.22809828671253196,0.9907521578298397,1.0,0.8352393874781935,0.9847233691164327,0.7639242295730846,0.9827746741154563,0.47334754797441364,0.12840627580511974,0.3631447038649255,0
0.01,0.024179642288519876,-0.003847642362767356,-0.036836444103278465,0.04068408646604582,0.9852034525277436,0.9890510948905109,0.7900755960457453,0.7658959537572254,0.7005937234944869,0.7374301675977654,0.5150222911416942,0.34475639966969446,0.46062524732884846,0
0.02,0.09291467741989701,-0.002097077591870833,0.031821225891335514,0.03391830348320635,0.9796547472256474,0.9817518248175182,0.7584803256445047,0.6655656482246077,0.6570540005654509,0.6252327746741154,0.543128513277767,0.4434351775392238,0.5112781954887218,0
0.03,0.12396877559503738,-0.007645782893967001,0.06052654855375661,0.06817233144772361,0.9741060419235512,0.9817518248175182,0.7317309556115527,0.6077621800165153,0.6205824144755443,0.5600558659217877,0.5663888350455515,0.5012386457473162,0.5455744624719694,0
0.04,0.14408626486963128,-0.011344919762031114,0.07707862453267378,0.08842354429470489,0.9704069050554871,0.9817518248175182,0.7080829618143051,0.5639966969446738,0.5877862595419847,0.5107076350093109,0.5877107966660206,0.5450041288191577,0.5740667458118982,0
0.05,0.16885581849778208,-0.0022950849181420097,0.09940209090492685,0.10169717582306886,0.9648581997533908,0.9671532846715328,0.6890870323706144,0.5202312138728323,0.5626236923946848,0.46322160148975794,0.6032176778445435,0.5854665565648225,0.5975464978235061,0
0.06,0.17091686675846807,-0.005427200806429888,0.09808244211630279,0.10350964292273268,0.9580764488286067,0.9635036496350365,0.6700911029269239,0.4991742361684558,0.5380265761945151,0.4399441340782123,0.6179492149641403,0.6056977704376548,0.6140350877192983,0
0.07,0.17574203899801338,-0.006093225449341655,0.09939024486553172,0.10548347031487337,0.9537607891491985,0.9598540145985401,0.6530335336305485,0.4772914946325351,0.5151258128357366,0.41573556797020483,0.6322930800542741,0.6267547481420314,0.6305236776150903,0
0.08,0.18370164043531312,-0.007425274735165188,0.10555334429486846,0.11297861903003364,0.9451294697903823,0.9525547445255474,0.6353944562899787,0.4516928158546656,0.49335595137121857,0.3878026070763501,0.6445047489823609,0.6507018992568125,0.6464846326342171,0
0.09,0.1874315831696558,-0.009324345000764955,0.10651247861789892,0.11583682361866388,0.9395807644882861,0.948905109489051,0.6193060670672611,0.4318744838976053,0.4724342663273961,0.3659217877094972,0.6571040899399109,0.6696944673823286,0.6611265004616805,0
0.1,0.19429595510175274,-0.0063902364387482535,0.1110131838521109,0.11740342029085915,0.9315659679408138,0.9379562043795621,0.602636169800349,0.4083402146985962,0.4517953067571388,0.3407821229050279,0.6687342508238031,0.6907514450867052,0.6757683682891439,0
0.11,0.20071439215602793,-0.011938941740844422,0.11649592575218404,0.12843486749302846,0.9260172626387176,0.9379562043795621,0.589649156813336,0.38893476465730803,0.43539722929035907,0.31890130353817503,0.6782322155456484,0.7101568951279934,0.6884316053291123,0
0.12,0.21205435923751859,-0.010188376969947899,0.12781600099822626,0.13800437796817416,0.9204685573366215,0.9306569343065694,0.5803450281062221,0.36829066886870354,0.4243709358213175,0.29655493482309125,0.6840472959875945,0.7291494632535095,0.6984566679857539,0
0.13,0.2137546260141377,-0.013320492858235777,0.12897691285895474,0.14229740571719052,0.9136868064118372,0.927007299270073,0.5700717193254506,0.35631709331131295,0.41249646593158046,0.2835195530726257,0.6900562124442722,0.7402972749793559,0.7061073736974014,0
0.14,0.21429971977810813,-0.01465254214405931,0.1277421606859962,0.1423947028300555,0.905055487053021,0.9197080291970803,0.5553401822058538,0.34104046242774566,0.39496748657054,0.2672253258845438,0.6993603411513859,0.7539223781998349,0.7167919799498746,0
0.15,0.21292382020533174,-0.010485387959354386,0.12334846467432076,0.13383385263367514,0.8982737361282368,0.9087591240875912,0.5415778251599147,0.32865400495458297,0.3780039581566299,0.25465549348230915,0.7088583058732313,0.763831544178365,0.7264213164490173,0
0.16,0.2147675032240644,-0.014850549470330376,0.12555735615354363,0.140407905623874,0.8902589395807645,0.9051094890510949,0.532273696452801,0.3175061932287366,0.36810856658184904,0.2425512104283054,0.7131226981973251,0.7741535920726672,0.7326210262498352,0
