alg,pr_diff_avg,pr_diff_05,pr_diff_worst,tpr_diff_avg,tpr_diff_05,tpr_diff_worst,eo_diff_avg,eo_diff_05,eo_diff_worst,acc_avg,acc_05,acc_worst
uncorrected,0.04731251321217171,0.05336204189161207,0.1146704202604336,0.020141888484467796,0.025105135688414208,0.0677566166298178,0.05586754063807492,0.05232392239446154,0.18988528838440122,0.6990587458745875,0.7662166666666667,0.4486666666666666
full_corr,0.002535868905394821,0.0012009966362813327,0.0332316423468185,0.028090399416832945,0.03164943343796009,0.0611717640044063,0.04408180255008385,0.05495061902379552,0.08055178799462119,0.6968696369636964,0.7646499999999999,0.4251666666666667
ours_tpr,0.02822729962316336,0.030370951353384006,0.0757141735551094,0.014081551343374837,0.013650862587125678,0.0471616363354092,0.03135966700689668,0.0241694749668742,0.1168120630414411,0.6977706270627063,0.76555,0.424
pleiss_tpr,0.050501381658348075,0.031161330057002307,0.1406409484179653,0.026023582129814437,0.06529721103298108,0.1274221961244862,0.07163017625665859,0.06529721103298113,0.17256394622419913,0.7689169696891696,0.9885311468853114,0.3802619738026197
feldman_tpr,0.17408520626630422,0.17492367291840813,0.3635357074179125,0.1560713965584329,0.1774969712648593,0.3436806525958532,0.25715748611109274,0.2664913686857244,0.5916774154484226,0.7722976013817597,0.8117997542997543,0.472051597051597
ours_eo,0.020795833010603604,0.022313334856967765,0.0539238887829608,0.015233842029213943,0.013825219742600859,0.0471616363354092,0.027494883142927667,0.025014124047301044,0.07672726438029154,0.6976120462046206,0.7655333333333334,0.4241666666666667
pleiss_eo,0.04845944572348905,0.10110728695294131,0.1501928952760315,0.04647701066590236,0.13678714107280276,0.1715228147333699,0.06557393597649747,0.1367871410728028,0.22727903197898325,0.7571227035712271,0.9748325167483252,0.3781621837816218
feldman_eo,0.1742910236912576,0.17448982531732193,0.3588198884669006,0.1594823423856771,0.18072046506191491,0.3436806525958532,0.25910429126281176,0.2673969262411443,0.5916774154484226,0.7740153745104241,0.8137960687960687,0.472051597051597
feldman_pr,0.17488498784232903,0.17593739503624065,0.3681175108932461,0.15882995859686158,0.1852517757495587,0.342956283182432,0.25966615773066687,0.27272857705517695,0.601270812372656,0.7731685600992532,0.8136855036855037,0.4632678132678132
feldman_acc,0.1829980839968182,0.18436115479732892,0.3774135348583878,0.1642705945007435,0.18784544758312566,0.3444071619484575,0.2746203793578526,0.28562664557433437,0.6076147313336387,0.7696349161943221,0.8099508599508599,0.464004914004914
