thresholds,positivity_rate_differences,tpr_differences,fpr_differences,eqodds_differences,tpr_A,tpr_B,selection_A,selection_B,fpr_A,fpr_B,acc_A,acc_B,acc_overall,trial
0.0,0.015221519445417941,0.003355704697986628,0.02564148906036301,0.028997193758349638,1.0,0.9966442953020134,0.9930239611768275,0.9778024417314095,0.9885799404170804,0.9629384513567174,0.3961176827418866,0.46022937476877546,0.425,0
0.01,-0.008860171877908662,-0.0019217490466451048,-0.00681299730477003,0.008734746351415135,0.9922057677318784,0.9941275167785235,0.9426751592356688,0.9515353311135775,0.9111221449851042,0.9179351422898743,0.44040036396724297,0.48427672955974843,0.46016666666666667,0
0.02,-0.022675913292849903,-0.0063007736690955385,-0.024861705980045667,0.031162479649141206,0.9836321122369447,0.9899328859060402,0.9129511677282378,0.9356270810210877,0.8679245283018868,0.8927862342819325,0.46345162268729145,0.49648538660747316,0.47833333333333333,0
0.03,-0.024596066043290343,-0.0028260630757400707,-0.02851120909424887,0.03133727216998894,0.9820732657833203,0.9848993288590604,0.894752805580831,0.9193488716241214,0.8391261171797418,0.8676373262739907,0.48043676069153773,0.5083240843507214,0.493,0
0.04,-0.021500055376074245,-7.127276151219775e-05,-0.023224588699750304,0.0232958614612625,0.9789555728760717,0.9790268456375839,0.8789808917197452,0.9004809470958195,0.8152929493545183,0.8385175380542687,0.4937822262663027,0.5220125786163522,0.5065,0
0.05,-0.026616535329430424,-0.00540822945382835,-0.026376910271382892,0.03178513972521124,0.9719407638347622,0.9773489932885906,0.8601759175007583,0.8867924528301887,0.7889771598808342,0.8153540701522171,0.5071276918410677,0.534221235664077,0.5193333333333333,0
0.06,-0.030823097175416314,-0.005110714715405917,-0.03201119627859772,0.03712191099400364,0.9680436477007015,0.9731543624161074,0.8422808613891416,0.8731039585645579,0.7621648460774578,0.7941760423560555,0.5219896875947831,0.5442101368849427,0.532,0
0.07,-0.02630716990557791,-0.006610058221345749,-0.0212628082574855,0.02787286647883125,0.965705378020265,0.9723154362416108,0.8301486199575372,0.8564557898631151,0.7437934458788481,0.7650562541363336,0.532302092811647,0.5601183869774324,0.5448333333333333,0
0.08,-0.0323268353129017,-0.007811886988863037,-0.02954303331346364,0.03735492030232668,0.9594699922057678,0.9672818791946308,0.8137700940248711,0.8460969293377728,0.7209533267130089,0.7504963600264726,0.5438277221716712,0.5660377358490566,0.5538333333333333,0
0.09,-0.03572009262784548,-0.007454869302756184,-0.03434824527447511,0.04180311457723129,0.9547934528448948,0.962248322147651,0.7989080982711556,0.8346281908990011,0.6996027805362462,0.7339510258107214,0.5550500454959054,0.5730669626341103,0.5631666666666667,0
0.1,-0.03723359311276486,-0.008055783686514828,-0.034522078080833185,0.04257786176734801,0.9516757599376462,0.959731543624161,0.7822262663026994,0.8194598594154643,0.6742800397219464,0.7088021178027796,0.5693054291780406,0.586015538290788,0.5768333333333333,0
0.11,-0.03901370667242976,-0.010096538628528995,-0.03469459646143447,0.04479113508996346,0.9454403741231489,0.9555369127516778,0.7667576584774037,0.8057713651498335,0.6529294935451837,0.6876240900066182,0.5799211404306945,0.5960044395116537,0.5871666666666666,0
0.12,-0.041837044876837926,-0.014416060303295009,-0.03536298195884924,0.049779042262144246,0.936087295401403,0.950503355704698,0.7509857446163178,0.7928227894931558,0.6330685203574975,0.6684315023163467,0.5884137094328177,0.6045135035146134,0.5956666666666667,0
0.13,-0.043003813711519956,-0.015016974687053763,-0.03569947495263137,0.050716449639685135,0.9329696024941543,0.947986577181208,0.7394601152562936,0.7824639289678136,0.6161866931479643,0.6518861681005956,0.5975128905065211,0.6126526082130965,0.6043333333333333,0
0.14,-0.041520946799582625,-0.015498883175443456,-0.03107401071388438,0.04657289388932784,0.9282930631332814,0.9437919463087249,0.724294813466788,0.7658157602663707,0.5943396226415094,0.6254136333553938,0.6090385198665453,0.6256011838697744,0.6165,0
0.15,-0.04134791760713419,-0.016462700152222953,-0.02925977456283846,0.04572247471506141,0.9189399844115355,0.9354026845637584,0.7100394297846527,0.7513873473917869,0.576961271102284,0.6062210456651225,0.6160145586897179,0.632630410654828,0.6235,0
0.16,-0.04316472412784367,-0.018205940355814576,-0.030094106312069657,0.04830004666788423,0.9088074824629774,0.927013422818792,0.6930542917804065,0.7362190159082501,0.5556107249255213,0.585704831237591,0.6251137397634213,0.6403995560488346,0.632,0
0.17,-0.042281736634083966,-0.020907112629271807,-0.02579724851256293,0.04670436114183474,0.9002338269680437,0.9211409395973155,0.6806187443130118,0.7229004809470958,0.5407149950347567,0.5665122435473197,0.6308765544434334,0.6485386607473178,0.6388333333333334,0
0.18,-0.037425810367410994,-0.01881273964648711,-0.018025377618089644,0.03683811726457675,0.8947778643803586,0.9135906040268457,0.670306339096148,0.707732149463559,0.5273088381330685,0.5453342157511581,0.6369426751592356,0.6570477247502775,0.646,0
0.19,-0.035602944458639096,-0.018336716065011305,-0.014060412322215665,0.03239712838722697,0.8885424785658612,0.9068791946308725,0.6569608735213831,0.6925638179800222,0.5094339622641509,0.5234943745863666,0.6454352441613588,0.6662967073621902,0.6548333333333334,0
0.2,-0.039966040496236976,-0.017140772204407573,-0.021676852370928312,0.038817624575335885,0.8838659392049883,0.9010067114093959,0.6448286320897786,0.6847946725860156,0.4925521350546177,0.514228987425546,0.6539278131634819,0.6688864224935257,0.6606666666666666,0
0.21,-0.04298933850670417,-0.022239717105985823,-0.022344580655464685,0.04458429776145051,0.8737334372564303,0.8959731543624161,0.6299666363360631,0.6729559748427673,0.4746772591857001,0.49702183984116477,0.6609038519866546,0.6762856085830559,0.6678333333333333,0
