thresholds,positivity_rate_differences,tpr_differences,fpr_differences,eqodds_differences,tpr_A,tpr_B,selection_A,selection_B,fpr_A,fpr_B,acc_A,acc_B,acc_overall,trial
0.0,0.02151082762151857,0.004194630872483174,0.03623050295844377,0.04042513383092694,1.0,0.9958053691275168,0.9930239611768275,0.9715131335553089,0.9885799404170804,0.9523494374586366,0.3961176827418866,0.465778764335923,0.4275,0
0.01,0.013807662230858053,0.002814293261912404,0.028105708748226377,0.03092000201013878,0.9961028838659393,0.9932885906040269,0.9590536851683349,0.9452460229374768,0.9354518371400199,0.9073461283917935,0.427054898392478,0.48982611912689605,0.4553333333333333,0
0.02,-0.004661015950665814,-0.0022251486919814267,0.0027744241665061953,0.004999572858487622,0.9851909586905689,0.9874161073825504,0.9235668789808917,0.9282278949315576,0.8843098311817279,0.8815354070152217,0.454049135577798,0.5016648168701443,0.4755,0
0.03,-0.0047680651397681295,0.0005296416222464462,0.0029298550122668354,0.0034594966345132816,0.9820732657833203,0.9815436241610739,0.9038519866545345,0.9086200517943026,0.8540218470705064,0.8510919920582396,0.4713375796178344,0.516093229744728,0.4915,0
0.04,-0.0011320956696583284,0.003944849267917605,0.008878288775395538,0.012823138043313143,0.9812938425565082,0.9773489932885906,0.8889899909008189,0.8901220865704772,0.8301886792452831,0.8213103904698875,0.48559296329996965,0.5308916019237884,0.506,0
0.05,-0.00045580063536054816,0.002624014605031144,0.012676650606574635,0.01530066521160578,0.9766173031956352,0.9739932885906041,0.8741279951471034,0.8745837957824639,0.8088381330685204,0.7961614824619457,0.4968152866242038,0.5434702182759896,0.5178333333333334,0
0.06,0.0022035974586925855,-0.00037467240684851966,0.02143828409603976,0.02181295650288828,0.9719407638347622,0.9723154362416108,0.8586593873218077,0.8564557898631151,0.7864945382323734,0.7650562541363336,0.5086442220200182,0.5601183869774324,0.5318333333333334,0
0.07,-0.003482801605199204,0.0016006946805672273,0.011833117877044663,0.01343381255761189,0.9680436477007015,0.9664429530201343,0.8407643312101911,0.8442471328153903,0.759682224428997,0.7478491065519524,0.5235062177737337,0.5671476137624861,0.5431666666666667,0
0.08,-0.0013865899682791172,0.0026776326458018973,0.01596402942473507,0.01864166207053697,0.9649259547934529,0.962248322147651,0.8295420078859569,0.830928597854236,0.7432969215491559,0.7273328921244209,0.532302092811647,0.5767665556788754,0.5523333333333333,0
0.09,-0.0001403758234456154,0.0014163009305999674,0.020754782702419927,0.022171083633019895,0.9594699922057678,0.9580536912751678,0.8137700940248711,0.8139104698483167,0.7209533267130089,0.700198544010589,0.5438277221716712,0.5900850906400296,0.5646666666666667,0
0.1,-0.0013138773115303204,0.0017733186167069315,0.019920450953188618,0.02169376956989555,0.9547934528448948,0.9530201342281879,0.7989080982711556,0.8002219755826859,0.6996027805362462,0.6796823295830576,0.5550500454959054,0.5993340732519423,0.575,0
0.11,-0.006526970841214785,0.0028502565819414905,0.011804857723270001,0.014655114305211492,0.9516757599376462,0.9488255033557047,0.7822262663026994,0.7887532371439142,0.6742800397219464,0.6624751819986764,0.5693054291780406,0.607103218645949,0.5863333333333334,0
0.12,-0.0042375320516380155,0.0008095016399273236,0.018912286397599343,0.019721788037526666,0.9454403741231489,0.9446308724832215,0.7667576584774037,0.7709951905290418,0.6529294935451837,0.6340172071475844,0.5799211404306945,0.6211616722160562,0.5985,0
0.13,-0.008540707473952192,-0.004348946209335236,0.01625846079429427,0.020607407003629508,0.936087295401403,0.9404362416107382,0.7509857446163178,0.75952645209027,0.6330685203574975,0.6168100595632032,0.5884137094328177,0.6289308176100629,0.6066666666666667,0
