thresholds,positivity_rate_differences,tpr_differences,fpr_differences,eqodds_differences,tpr_A,tpr_B,selection_A,selection_B,fpr_A,fpr_B,acc_A,acc_B,acc_overall,trial
0.0,0.014851560140941356,0.002516778523489971,0.02564148906036301,0.02815826758385298,1.0,0.99748322147651,0.9930239611768275,0.9781724010358861,0.9885799404170804,0.9629384513567174,0.3961176827418866,0.46059933407325193,0.4251666666666667,0
0.01,-0.009970049791338198,-0.0019217490466451048,-0.00879843741066011,0.010720186457305214,0.9922057677318784,0.9941275167785235,0.9426751592356688,0.952645209027007,0.9111221449851042,0.9199205823957644,0.44040036396724297,0.4831668516463189,0.45966666666666667,0
0.02,-0.026685545026807755,-0.0063007736690955385,-0.03148181130498162,0.03778258497407716,0.9836321122369447,0.9899328859060402,0.9093114952987564,0.9359970403255642,0.8619662363455809,0.8934480476505625,0.46709129511677283,0.4961154273029967,0.4801666666666667,0
0.03,-0.035035045144124255,-0.0044444124770488536,-0.04505982937439246,0.04950424185144131,0.9812938425565082,0.985738255033557,0.8883833788292387,0.9234184239733629,0.8291956305858987,0.8742554599602912,0.4861995753715499,0.5049944506104328,0.49466666666666664,0
0.04,-0.038811727070349855,-0.007205087698190615,-0.047551652003152034,0.05475673970134265,0.9734996102883866,0.9807046979865772,0.8668486502881407,0.9056603773584906,0.7989076464746773,0.8464592984778293,0.5016681831968456,0.5183129855715871,0.5091666666666667,0
0.05,-0.04793110610426121,-0.01020377471007028,-0.05930820457985364,0.06951197928992392,0.9688230709275136,0.9790268456375839,0.8477403700333637,0.8956714761376249,0.7706057596822244,0.8299139642620781,0.5171367910221414,0.5268220495745468,0.5215,0
0.06,-0.04469505624626968,-0.008406916465708014,-0.05319316735203017,0.06160008381773818,0.9672642244738893,0.9756711409395973,0.8346982104943889,0.8793932667406585,0.7502482621648461,0.8034414295168762,0.5289657264179557,0.540140584535701,0.534,0
0.07,-0.04435876020880647,-0.010566677303091021,-0.04906488465585368,0.0596315619589447,0.9625876851130164,0.9731543624161074,0.8180163785259327,0.8623751387347391,0.7259185700099305,0.7749834546657842,0.5420078859569305,0.5549389567147613,0.5478333333333333,0
0.08,-0.04408238478662707,-0.012607432245105077,-0.045927021767547815,0.05853445401265289,0.9563522992985191,0.9689597315436241,0.8049742189869579,0.8490566037735849,0.708540218470705,0.7544672402382528,0.5501971489232635,0.5645578986311506,0.5566666666666666,0
0.09,-0.045789112424202916,-0.011530494279870518,-0.048414901119036347,0.059945395398906864,0.9532346063912704,0.964765100671141,0.7925386715195633,0.8383277839437662,0.6901688182720953,0.7385837193911317,0.5602062481043373,0.5715871254162043,0.5653333333333334,0
0.1,-0.04885583604911736,-0.01441017539638112,-0.04958243979765731,0.06399261519403843,0.9469992205767732,0.9614093959731543,0.772823779193206,0.8216796152423234,0.6618669314796425,0.7114493712772998,0.5750682438580528,0.585275619681835,0.5796666666666667,0
0.11,-0.04666301083586899,-0.014773077989401973,-0.044293847764523275,0.05906692575392525,0.9407638347622759,0.9555369127516778,0.759478313618441,0.80614132445431,0.6439920556107249,0.6882859033752482,0.5835608128601759,0.5956344802071772,0.589,0
0.12,-0.04712655402264254,-0.016754329983731497,-0.04264490065241522,0.059399230636146716,0.9337490257209665,0.950503355704698,0.7464361540794662,0.7935627081021087,0.6271102284011917,0.6697551290536069,0.5911434637549288,0.6037735849056604,0.5968333333333333,0
0.13,-0.047146751982850676,-0.01579639791386589,-0.04215363402575101,0.0579500319396169,0.9321901792673422,0.947986577181208,0.7364270548983924,0.7835738068812431,0.6117179741807348,0.6538716082064858,0.599939338792842,0.611542730299667,0.6051666666666666,0
0.14,-0.045663885070913346,-0.018616576082692182,-0.036038596797927425,0.05465517288061961,0.9251753702260327,0.9437919463087249,0.7212617531088868,0.7669256381798002,0.5913604766633564,0.6273990734612839,0.6096451319381255,0.6244913059563448,0.6163333333333333,0
0.15,-0.047947264472427586,-0.021377251303833833,-0.03687227133428006,0.05824952263811389,0.9173811379579111,0.9387583892617449,0.7063997573551714,0.7543470218275989,0.5719960278053625,0.6088682991396426,0.6184410069760389,0.632630410654828,0.6248333333333334,0
0.16,-0.049090805652870495,-0.02378090883886863,-0.036382319133372754,0.060163227972241384,0.9049103663289166,0.9286912751677853,0.6897179253867152,0.7388087310395857,0.5526315789473685,0.5890138980807412,0.6254170457992114,0.6392896781354052,0.6316666666666667,0
0.17,-0.04837108500412535,-0.02504224055407045,-0.03340843085824774,0.05845067141231819,0.8994544037412315,0.924496644295302,0.6797088262056415,0.7280799112097669,0.5397219463753724,0.5731303772336201,0.6311798604792236,0.6463189049204587,0.638,0
0.18,-0.04492834268667212,-0.020490591995480423,-0.029938675466309017,0.05042926746178944,0.8947778643803586,0.915268456375839,0.6690931149529875,0.7140214576396596,0.5253227408142999,0.5552614162806089,0.6381558993023961,0.6522382537920829,0.6445,0
0.19,-0.04414870142264338,-0.02498862251329992,-0.023988270064544848,0.048976892577844766,0.8877630553390491,0.912751677852349,0.6554443433424325,0.6995930447650759,0.5074478649453823,0.5314361350099271,0.6463451622687292,0.6644469108398077,0.6545,0
0.2,-0.0459220823289056,-0.019538544832528593,-0.030446372414935308,0.0499849172474639,0.882307092751364,0.9018456375838926,0.643312101910828,0.6892341842397336,0.4910625620655412,0.5215089344804765,0.654231119199272,0.6651868294487606,0.6591666666666667,0
0.21,-0.05140178893333558,-0.027094765309912283,-0.033596065135053976,0.06069083044496626,0.8713951675759938,0.8984899328859061,0.6278434940855323,0.6792452830188679,0.4726911618669315,0.5062872270019855,0.6612071580224447,0.6722160562338143,0.6661666666666667,0
0.22,-0.05000880294432408,-0.0266782446761209,-0.030787465898866773,0.05746571057498767,0.8659392049883087,0.8926174496644296,0.6181377009402487,0.6681465038845728,0.4602780536246276,0.49106551952349436,0.6666666666666666,0.6781354051054383,0.6718333333333333,0
0.23,-0.04825259030423856,-0.025244289024779376,-0.02798018108843653,0.053224470113215905,0.8581449727201871,0.8833892617449665,0.6050955414012739,0.6533481317055124,0.4438927507447865,0.47187293183322304,0.6736427054898393,0.6847946725860156,0.6786666666666666,0
0.24,-0.05096584962551298,-0.02710653512373995,-0.030962613130981864,0.058069148254721814,0.8495713172252534,0.8766778523489933,0.5938732180770397,0.6448390677025527,0.43098311817279045,0.4619457313037723,0.678192296026691,0.6873843877173511,0.6823333333333333,0
0.25,-0.04607323039779543,-0.027588443612129643,-0.021204644917739934,0.04879308852986958,0.8448947778643804,0.87248322147651,0.5850773430391265,0.6311505734369219,0.4195630585898709,0.44076770350761085,0.6833484986351228,0.6973732889382168,0.6896666666666667,0
0.26,-0.046063468050361656,-0.02711242003065384,-0.020713378291075613,0.04782579832172945,0.838659392049883,0.8657718120805369,0.5732484076433121,0.6193118756936737,0.4041708043694141,0.4248841826604897,0.6903245374582955,0.703292637809841,0.6961666666666667,0
0.27,-0.05123986861900154,-0.02478003525713124,-0.030812439988249007,0.055592475245380246,0.8300857365549493,0.8548657718120806,0.5580831058538065,0.609322974472808,0.38480635551142006,0.41561879549966907,0.6988171064604186,0.7036625971143174,0.701,0
0.28,-0.04739047403602703,-0.024363514623339855,-0.023701725249527295,0.04806523987286715,0.8246297739672642,0.8489932885906041,0.5489839247801032,0.5963743988161302,0.3733862959285005,0.3970880211780278,0.7036700030330604,0.7114317425083241,0.7071666666666667,0
