thresholds,positivity_rate_differences,tpr_differences,fpr_differences,eqodds_differences,tpr_A,tpr_B,selection_A,selection_B,fpr_A,fpr_B,acc_A,acc_B,acc_overall,trial
0.0,-0.005917716433541664,0.0,-0.006976399280308798,0.006976399280308798,1.0,1.0,0.990489776509748,0.9964074929432897,0.9883381924198251,0.9953145917001339,0.19400855920114124,0.23684885809597125,0.22183333333333333,0
0.01,-0.019141978704859786,-0.010309278350515427,-0.020259853798088368,0.030569132148603795,0.9896907216494846,1.0,0.9695672848311936,0.9887092635360534,0.9650145772594753,0.9852744310575636,0.21112696148359486,0.24454708750320758,0.23283333333333334,0
0.02,-0.0257625292069652,-0.005908838306511011,-0.028416289062957345,0.034325127369468356,0.9896907216494846,0.9955995599559956,0.9462672372800761,0.9720297664870413,0.9364431486880467,0.964859437751004,0.2344270090347123,0.25917372337695666,0.2505,0
0.03,-0.03559854557274933,-0.01144057704739554,-0.0379769808095356,0.04941755785693114,0.9819587628865979,0.9933993399339934,0.9182120779838326,0.953810623556582,0.9037900874635568,0.9417670682730924,0.25962910128388017,0.2763664357197845,0.2705,0
0.04,-0.05193358071628307,-0.019580824061787627,-0.05509716221543126,0.07467798627721889,0.9639175257731959,0.9834983498349835,0.8782691393247741,0.9302027200410572,0.8588921282798834,0.9139892904953146,0.29291488349976225,0.2953554015909674,0.2945,0
0.05,-0.07115206583798139,-0.024766651922924265,-0.07602987264900218,0.10079652457192645,0.9510309278350515,0.9757975797579758,0.8326200665715644,0.9037721324095458,0.8058309037900875,0.8818607764390897,0.3338088445078459,0.31819348216576854,0.32366666666666666,0
0.06,-0.08406847214489221,-0.018920190988170993,-0.091607830739869,0.11052802172804,0.9458762886597938,0.9647964796479648,0.7883975273418925,0.8724659994867847,0.7527696793002916,0.8443775100401606,0.37612933903946744,0.34436746215037206,0.3555,0
0.07,-0.08724843024573203,-0.014205028750297721,-0.09526522025907325,0.10947024900937097,0.9329896907216495,0.9471947194719472,0.750832144555397,0.8380805748011291,0.7096209912536443,0.8048862115127176,0.4089396100808369,0.37054144213497564,0.384,0
0.08,-0.09512273422952,-0.018290746600433283,-0.10244183732012602,0.1207325839205593,0.9201030927835051,0.9383938393839384,0.7142177841179268,0.8093405183474468,0.6676384839650146,0.7700803212851406,0.44079885877318115,0.3951757762381319,0.4111666666666667,0
0.09,-0.10167629585946547,-0.020899254873941064,-0.10810725896784412,0.1290065138417852,0.9097938144329897,0.9306930693069307,0.6771279125059438,0.7788042083654093,0.6244897959183674,0.7325970548862115,0.4740846409890632,0.42211957916345905,0.44033333333333335,0
0.1,-0.10994338159094541,-0.024639061844328736,-0.11593253480393872,0.14057159664826746,0.8917525773195877,0.9163916391639164,0.6357584403233476,0.745701821914293,0.5778425655976677,0.6937751004016064,0.5087969567284831,0.4485501667949705,0.4696666666666667,0
0.11,-0.10128900500293403,-0.01665475825933105,-0.10597531037658903,0.12263006863592008,0.8711340206185567,0.8877887788778878,0.6010461245839277,0.7023351295868617,0.5399416909620991,0.6459170013386881,0.5359010936757014,0.4785732614831922,0.49866666666666665,0
0.12,-0.1009214813545809,-0.008985176868202216,-0.1057994856003216,0.11478466246852381,0.8634020618556701,0.8723872387238724,0.567284831193533,0.6682063125481139,0.5002915451895044,0.606091030789826,0.5668093200190204,0.5055170644085194,0.527,0
0.13,-0.09777629889775852,-0.019010921710727713,-0.09872317257367658,0.11773409428440429,0.8324742268041238,0.8514851485148515,0.5373276271992392,0.6351039260969977,0.47055393586005834,0.5692771084337349,0.5853542558250119,0.5288683602771362,0.5486666666666666,0
