thresholds,positivity_rate_differences,tpr_differences,fpr_differences,eqodds_differences,tpr_A,tpr_B,selection_A,selection_B,fpr_A,fpr_B,acc_A,acc_B,acc_overall,trial
0.0,0.00048283236272683716,0.0,0.0008521940043947351,0.0008521940043947351,1.0,1.0,0.9971469329529244,0.9966641005901976,0.9965014577259476,0.9956492637215528,0.1873514027579648,0.23659225044906337,0.21933333333333332,0
0.01,0.001523905326786812,0.0,0.0027290893408424832,0.0027290893408424832,1.0,1.0,0.990489776509748,0.9889658711829612,0.9883381924198251,0.9856091030789826,0.19400855920114124,0.24429047985629973,0.22666666666666666,0
0.02,-0.0019869704813352262,-0.005908838306511011,0.0007382298874799575,0.006647068193990968,0.9896907216494846,0.9955995599559956,0.9700427960057061,0.9720297664870413,0.965597667638484,0.964859437751004,0.21065145030908225,0.25917372337695666,0.24216666666666667,0
0.03,-0.00041071865881692204,-0.0037086182845088578,0.003422436100085413,0.007131054384594271,0.9896907216494846,0.9933993399339934,0.953399904897765,0.953810623556582,0.9451895043731778,0.9417670682730924,0.2272943414170233,0.2763664357197845,0.25916666666666666,0
0.04,0.0008481596546155989,0.0010377326392433384,0.00496114682246962,0.005998879461712958,0.9845360824742269,0.9834983498349835,0.9310508796956728,0.9302027200410572,0.9189504373177843,0.9139892904953146,0.24774132192106516,0.2953554015909674,0.2786666666666667,0
0.05,-0.002421849061258974,0.0035838635409932706,0.0018558197805800258,0.0054396833215732965,0.979381443298969,0.9757975797579758,0.901093675701379,0.903515524762638,0.8833819241982507,0.8815261044176707,0.2757964812173086,0.3184500898126764,0.3035,0
0.06,0.005810461026203639,-0.003456273462397741,0.0153668122441174,0.01882308570651514,0.961340206185567,0.9647964796479648,0.874940561103186,0.8691301000769823,0.8553935860058309,0.8400267737617135,0.29529243937232524,0.3477033615601745,0.3293333333333333,0
0.07,-0.0012793776404322887,0.0038362083631042765,0.006471951947732535,0.010308160310836811,0.9510309278350515,0.9471947194719472,0.8316690442225392,0.8329484218629715,0.8046647230320699,0.7981927710843374,0.33475986685687115,0.3756735950731332,0.36133333333333334,0
0.08,-0.0048290557460894945,0.010782779308858736,0.002145218385690484,0.01292799769454922,0.9458762886597938,0.935093509350935,0.7955301949595815,0.800359250705671,0.7615160349854228,0.7593708165997323,0.3689966714217784,0.40261739799846036,0.3908333333333333,0
0.09,-0.0033219891521955036,0.012951810644982076,0.00559185234621673,0.018543662991198806,0.9381443298969072,0.9251925192519251,0.760342368045649,0.7636643571978445,0.7201166180758017,0.714524765729585,0.4013314312886353,0.4346933538619451,0.423,0
0.1,0.004192844490275016,0.023544622503487544,0.013961970330300777,0.03750659283378832,0.9278350515463918,0.9042904290429042,0.727056585829767,0.7228637413394919,0.6816326530612244,0.6676706827309237,0.43081312410841655,0.4657428791377983,0.4535,0
0.11,0.006982949318708576,0.03228312521973842,0.01648049925650119,0.04876362447623961,0.9123711340206185,0.8800880088008801,0.6918687589158345,0.684885809597126,0.6419825072886297,0.6255020080321285,0.4602948169281978,0.4924300744162176,0.4811666666666667,0
0.12,0.008120295907785291,0.04177582706724281,0.01690474239035833,0.05868056945760114,0.9020618556701031,0.8602860286028603,0.6581074655254399,0.6499871696176546,0.6029154518950437,0.5860107095046854,0.4902520209224917,0.5180908391070054,0.5083333333333333,0
0.13,0.001136248410844587,0.03250428135597061,0.011832753755546932,0.04433703511151754,0.8762886597938144,0.8437843784378438,0.6167379933428435,0.6156017449319989,0.5580174927113702,0.5461847389558233,0.5221112696148359,0.5447780343854247,0.5368333333333334,0
