thresholds,tpr_A,tpr_B,selection_A,selection_B,fpr_A,fpr_B,trial,lambda,acc_overall,eqodds_A,eqodds_B
0.0,1.0,1.0,1.0,1.0,1.0,1.0,0,orig,0.34996500349965004,1.0,1.0
0.01,0.9974597798475868,0.9938488576449912,0.9289068825910931,0.894929430214323,0.8864411224757409,0.8530505952380952,0,orig,0.43145685431456854,0.8889813426281541,0.859201737593104
0.02,0.9944961896697714,0.9876977152899824,0.8736842105263158,0.8342916884474647,0.7988460529766588,0.7693452380952381,0,orig,0.48595140485951405,0.8043498633068874,0.7816475228052557
0.03,0.9923793395427604,0.984182776801406,0.8391902834008097,0.7948248823836905,0.7442958300550747,0.7146577380952381,0,orig,0.5205479452054794,0.7519164905123144,0.7304749612938322
0.04,0.9898391193903472,0.9815465729349736,0.8103643724696357,0.7639832723470988,0.6991869918699187,0.671875,0,orig,0.5483451654834517,0.7093478724795715,0.6903284270650264
0.05,0.9877222692633362,0.9771528998242531,0.7901214574898785,0.7375849451123889,0.6677157094151587,0.6361607142857143,0,orig,0.5689431056894311,0.6799934401518225,0.6590078144614612
0.06,0.9868755292125317,0.9710017574692443,0.7680971659919028,0.7143230527966544,0.6325727773406766,0.6056547619047619,0,orig,0.5896410358964104,0.6456972481281449,0.6346530044355175
0.07,0.9834885690093141,0.9622144112478032,0.7523886639676113,0.6884474647151072,0.6092315761867296,0.5725446428571429,0,orig,0.6056394360563944,0.6257430071774155,0.6103302316093397
0.08,0.9796782387806944,0.9560632688927944,0.7329554655870445,0.667276529012023,0.5801206399160765,0.5450148809523809,0,orig,0.6225377462253775,0.6004424011353822,0.5889516120595866
0.09,0.9771380186282811,0.9516695957820738,0.7191902834008097,0.6466283324621014,0.5594020456333596,0.5174851190476191,0,orig,0.6367363263673632,0.5822640270050785,0.5658155232655453
0.1,0.9737510584250635,0.9420035149384886,0.7068825910931175,0.6285938316779927,0.5415683189089956,0.4959077380952381,0,orig,0.6474352564743525,0.5678172604839321,0.5539042231567495
0.11,0.9690939881456393,0.9358523725834798,0.6924696356275304,0.6155253528489284,0.5211119853134015,0.4799107142857143,0,orig,0.6577342265773423,0.5520179971677622,0.5440583417022345
0.12,0.9644369178662151,0.9323374340949033,0.6822672064777328,0.5995818086774699,0.5074744295830055,0.45870535714285715,0,orig,0.6671332866713329,0.5430375117167904,0.5263679230479539
0.13,0.9610499576629975,0.9305799648506151,0.6731983805668016,0.5878201777313121,0.4948859166011015,0.4427083333333333,0,orig,0.6752324767523248,0.533835958938104,0.5121283684827183
0.14,0.9589331075359865,0.9191564147627417,0.6623481781376518,0.5718766335598536,0.4786257539994755,0.42485119047619047,0,orig,0.6844315568443156,0.519692646463489,0.5056947757134488
0.15,0.955969517358171,0.9112478031634447,0.6498785425101214,0.5606377417668583,0.46026750590086546,0.41220238095238093,0,orig,0.6932306769323068,0.5042979885426944,0.5009545777889363
0.16,0.9513124470787468,0.9068541300527241,0.6369230769230769,0.548353371667538,0.44217151848937847,0.39657738095238093,0,orig,0.7027297270272973,0.4908590714106316,0.48972325089965685
0.17,0.9462320067739204,0.8954305799648506,0.6262348178137652,0.5339780449555672,0.42800944138473646,0.38095238095238093,0,orig,0.7098290170982902,0.48177743461081607,0.4855218009875303
0.18,0.9419983065198984,0.8892794376098418,0.614251012145749,0.5216936748562467,0.41122475740886444,0.36607142857142855,0,orig,0.7185281471852815,0.4692264508889661,0.4767919909615867
0.19,0.9373412362404742,0.8848857644991213,0.6059919028340081,0.5104547830632514,0.4007343299239444,0.35193452380952384,0,orig,0.7247275272472753,0.46339309368347026,0.4670487593104026
0.2,0.9314140558848434,0.8787346221441125,0.5944939271255061,0.5002613695765813,0.3857854707579334,0.3400297619047619,0,orig,0.7315268473152685,0.45437141487309,0.46129513976064945
