thresholds,tpr_A,tpr_B,selection_A,selection_B,fpr_A,fpr_B,trial,lambda,acc_overall,eqodds_A,eqodds_B
0.0,1.0,1.0,1.0,1.0,1.0,1.0,0,orig,0.34996500349965004,1.0,1.0
0.01,1.0,0.9991212653778558,0.9967611336032388,0.9992158912702561,0.99475478625754,0.9992559523809523,0,orig,0.35206479352064796,0.99475478625754,1.0001346870030965
0.02,0.9991532599491956,0.9991212653778558,0.9706882591093118,0.9887611082070047,0.9530553370049829,0.984375,0,orig,0.37176282371762825,0.9539020770557873,0.9852537346221442
0.03,0.9970364098221846,0.9982425307557118,0.9489878542510122,0.9699424986931521,0.9192237083661159,0.9579613095238095,0,orig,0.39116088391160886,0.9221872985439313,0.9597187787680977
0.04,0.9961896697713802,0.9964850615114236,0.9305263157894736,0.9453737584945112,0.8898505114083399,0.9237351190476191,0,orig,0.41115888411158885,0.8936608416369597,0.9272500575361955
0.05,0.9944961896697714,0.9929701230228472,0.9131983805668016,0.9202822791427078,0.8628376606346708,0.8895089285714286,0,orig,0.42985701429857015,0.8683414709648994,0.8965388055485815
0.06,0.9923793395427604,0.984182776801406,0.8905263157894737,0.8873497124934657,0.8274324678730658,0.8463541666666666,0,orig,0.45345465453454653,0.8350531283303054,0.8621713898652607
0.07,0.9877222692633362,0.9780316344463972,0.8579757085020243,0.8426555148980659,0.7776029373196958,0.7853422619047619,0,orig,0.48705129487051296,0.7898806680563596,0.8073106274583647
0.08,0.9856054191363252,0.9666080843585237,0.8097165991902834,0.7966544694197596,0.7007605559926567,0.7247023809523809,0,orig,0.5308469153084692,0.7151551368563316,0.7580942965938572
0.09,0.9796782387806944,0.9560632688927944,0.7692307692307693,0.7537898588604286,0.6388670338316287,0.6681547619047619,0,orig,0.567043295670433,0.6591887950509343,0.7120914930119675
0.1,0.9745977984758679,0.9463971880492091,0.737165991902834,0.7124934657605855,0.5900865460267506,0.6134672619047619,0,orig,0.5980401959804019,0.6154887475508827,0.6670700738555527
0.11,0.9665537679932261,0.9367311072056239,0.7088259109311741,0.659958180867747,0.5491738788355626,0.5427827380952381,0,orig,0.6296370362963704,0.5826201108423364,0.6060516308896142
0.12,0.9593564775613886,0.9244288224956063,0.6788663967611336,0.613434396236278,0.5051140833988985,0.4817708333333333,0,orig,0.6597340265973403,0.5457576058375099,0.5573420108377269
0.13,0.9508890770533446,0.9033391915641477,0.6382186234817814,0.5663878724516467,0.44453186467348543,0.42373511904761907,0,orig,0.694030596940306,0.49364278762014085,0.5203959274834714
0.14,0.941151566469094,0.8875219683655536,0.6017813765182186,0.5248301097752222,0.3915552058746394,0.3712797619047619,0,orig,0.7242275772422758,0.45040363940554534,0.4837577935392083
0.15,0.9331075359864521,0.8734622144112478,0.5753846153846154,0.48640878201777316,0.3537896669289273,0.32254464285714285,0,orig,0.7482251774822518,0.4206821309424752,0.449082428445895
0.16,0.9229466553767993,0.859402460456942,0.5522267206477732,0.4576581285938317,0.3225806451612903,0.28757440476190477,0,orig,0.7655234476552345,0.399633989784491,0.42817194430496275
0.17,0.9153259949195597,0.844463971880492,0.5397570850202429,0.4393622582331417,0.3071072646210333,0.26785714285714285,0,orig,0.7732226777322267,0.39178126970147364,0.4233931709766508
0.18,0.9068585944115156,0.8347978910369068,0.5289068825910931,0.42420282279142707,0.2947810123262523,0.25037202380952384,0,orig,0.7795220477952205,0.3879224179147367,0.415574132772617
0.19,0.9000846740050804,0.8260105448154658,0.520161943319838,0.41322530057501305,0.28481510621557826,0.23846726190476192,0,orig,0.783921607839216,0.38473043221049785,0.41245671708929615
0.2,0.8954276037256562,0.8172231985940246,0.5119028340080972,0.40041819132253004,0.2743246787306583,0.22395833333333334,0,orig,0.7897210278972103,0.3788970750050021,0.4067351347393088
0.21,0.8916172734970365,0.8093145869947276,0.5067206477732793,0.3925771040250915,0.2682926829268293,0.21614583333333334,0,orig,0.7923207679232077,0.37667540942979283,0.4068312463386058
0.22,0.888653683319221,0.7987697715289982,0.5010526315789474,0.3852587558808155,0.26094938368738524,0.21019345238095238,0,orig,0.7948205179482052,0.37229570036816423,0.4114236808519542
0.23,0.8806096528365792,0.7917398945518453,0.49327935222672065,0.3795086251960272,0.25334382376081827,0.20498511904761904,0,orig,0.7964203579642036,0.37273417092423905,0.4132452244957737
0.24,0.8767993226079593,0.7864674868189807,0.4884210526315789,0.37088342916884476,0.24783634933123525,0.1949404761904762,0,orig,0.7997200279972003,0.3710370267232759,0.40847298937149545
