thresholds,tpr_A,tpr_B,selection_A,selection_B,fpr_A,fpr_B,trial,lambda,acc_overall,eqodds_A,eqodds_B
0.0,1.0,1.0,1.0,1.0,1.0,1.0,0,orig,0.23696333149069468,1.0,1.0
0.01,1.0,1.0,0.9983575143717492,0.9575347613679068,0.997651663405088,0.9525010508617066,0,orig,0.2519501259136417,0.997651663405088,0.9525010508617066
0.02,0.9996964177292046,0.9946808510638298,0.9838488913222009,0.8767380683953401,0.9770384866275277,0.8627574611181169,0,orig,0.28763589460106875,0.9773420688983231,0.8680766100542872
0.03,0.9990892531876139,0.9911347517730497,0.9673327858381239,0.790304396843292,0.9536855838225701,0.7664985287936108,0,orig,0.32651557029666484,0.9545963306349562,0.7753637770205611
0.04,0.9987856709168185,0.9645390070921985,0.9530066611917146,0.6939120631341601,0.9333333333333333,0.6618327028163093,0,orig,0.3657023524353541,0.9345476624165149,0.6972936957241108
0.05,0.9975713418336369,0.9361702127659575,0.9364905557076375,0.6134911687335588,0.9102413568166993,0.5752416981925179,0,orig,0.40065106565935754,0.9126700149830623,0.6390714854265604
0.06,0.9954462659380692,0.8812056737588653,0.9159594853545031,0.5490417136414881,0.8818003913894324,0.5096679277007146,0,orig,0.43087033965972604,0.8863541254513633,0.6284622539418493
0.07,0.9933211900425015,0.8475177304964538,0.8946984213888128,0.4922961292747088,0.8523157208088715,0.4501891551071879,0,orig,0.4605368220625269,0.85899453076637,0.6026714246107341
0.08,0.9918032786885246,0.8049645390070922,0.8724336162058582,0.44381811349116873,0.8211350293542075,0.4010088272383354,0,orig,0.4878078742092009,0.8293317506656829,0.5960442882312432
0.09,0.990588949605343,0.7535460992907801,0.8480700793868053,0.39891018414130025,0.7868232224396607,0.35687263556116017,0,orig,0.5148332412014004,0.7962342728343177,0.6033265362703801
0.1,0.9878567091681846,0.7358156028368794,0.8233415457614746,0.35888763622698233,0.7526418786692759,0.31420765027322406,0,orig,0.5422271359253117,0.7647851695010913,0.5783920474363446
0.11,0.9823922282938676,0.6968085106382979,0.7929555616388356,0.31529500187899284,0.711545988258317,0.27007145859604875,0,orig,0.5720164609053497,0.7291537599644494,0.5732629479577509
0.12,0.97632058287796,0.6631205673758865,0.7668582899899626,0.2829763246899662,0.676842791911285,0.23791509037410677,0,orig,0.5953565505804311,0.7005222090333251,0.5747945229982202
0.13,0.9687310261080753,0.6294326241134752,0.7385710375034218,0.2562946260804209,0.6396607958251794,0.21206389239176124,0,orig,0.6177138996376144,0.6709297697171042,0.582631268278286
0.14,0.9599271402550091,0.599290780141844,0.7120175198467014,0.22904922961292748,0.6054794520547945,0.1851618327028163,0,orig,0.6388428229224249,0.6455523117997853,0.5858710525609723
0.15,0.9502125075895568,0.574468085106383,0.6880189798339265,0.20593761743705374,0.5753424657534246,0.16225304749894914,0,orig,0.6569006817763037,0.6251299581638678,0.5877849623925662
0.16,0.9380692167577414,0.5460992907801419,0.6639291906195821,0.1871476888387824,0.5461187214611872,0.14459857082807903,0,orig,0.6723788465081998,0.6080495047034459,0.5984992800479372
0.17,0.9250151791135398,0.5141843971631206,0.63764942056757,0.17042465238632093,0.5141552511415525,0.1296763345943674,0,orig,0.6880412751059517,0.5891400720280127,0.6154919374312469
0.18,0.912568306010929,0.49645390070921985,0.6150196185783374,0.1600901916572717,0.4871493803000652,0.12021857923497267,0,orig,0.7003869541182974,0.5745810742891362,0.6237646785257528
0.19,0.8979963570127505,0.4787234042553192,0.5951272926361895,0.14750093949642992,0.4649706457925636,0.10823875577973939,0,orig,0.7107671518948467,0.566974288779813,0.6295153515244202
0.2,0.8822100789313904,0.450354609929078,0.5745962222830551,0.13660278090943254,0.44240052185257667,0.09941151744430433,0,orig,0.7197960813217862,0.5601904429211864,0.6490569075152263
0.21,0.8670309653916212,0.43617021276595747,0.5543388995346291,0.12664411875234874,0.41996086105675146,0.08995376208490963,0,orig,0.7295620662121491,0.5529298956651303,0.6537835493189521
0.22,0.8518518518518519,0.41134751773049644,0.5336253307783557,0.11724915445321307,0.39686888454011743,0.08238755779739386,0,orig,0.7387138382163257,0.5450170326882655,0.6710400400668974
0.23,0.8378870673952641,0.3882978723404255,0.5133680080299298,0.10804208944006012,0.37390737116764516,0.0748213535098781,0,orig,0.748111295374977,0.5360203037723811,0.6865234811694525
0.24,0.8230115361262902,0.38120567375886527,0.4970344009489917,0.10315670800450959,0.3569471624266145,0.0701975620008407,0,orig,0.7541920029482219,0.5339356263003243,0.6889918882419754
0.25,0.8075288403157256,0.35638297872340424,0.47978830185235877,0.09545283727921834,0.33894324853228963,0.06452290878520386,0,orig,0.7603341318100854,0.531414408216564,0.7081399300617995
0.26,0.7887067395264117,0.3351063829787234,0.4597134775070718,0.08850056369785794,0.31833007175472927,0.05926860025220681,0,orig,0.7670290522695166,0.5296233322283176,0.7241622172734834
0.27,0.7759562841530054,0.32092198581560283,0.44264987681357787,0.08192408868846299,0.299412915851272,0.053593947036569986,0,orig,0.7745224494809901,0.5234566316982665,0.7326719612209671
0.28,0.761384335154827,0.3067375886524823,0.42412628889497217,0.0764750093949643,0.279191128506197,0.04918032786885246,0,orig,0.7818930041152263,0.51780679335137,0.7424427392163702
0.29,0.7455980570734669,0.30319148936170215,0.40961766584542386,0.07140172867343104,0.26523157208088716,0.0439260193358554,0,orig,0.7866838646274799,0.5196335150074203,0.7407345299741532
0.3,0.7325440194292653,0.2907801418439716,0.395382790400584,0.06670424652386321,0.25048923679060664,0.04014291719209752,0,orig,0.7916589890055893,0.5179452173613414,0.7493627753481259
0.31,0.7167577413479053,0.2783687943262411,0.38251665297928644,0.06163096580232995,0.23887801696020874,0.035939470365699874,0,orig,0.7947300534365211,0.5221202756123035,0.7575706760394587
0.32,0.701578627808136,0.26595744680851063,0.36718678711561276,0.05843667794062383,0.22348336594911938,0.03383774695250105,0,orig,0.7990909649284442,0.5219047381409834,0.7678803001439904
