thresholds,tpr_A,tpr_B,selection_A,selection_B,fpr_A,fpr_B,trial,lambda,acc_overall,eqodds_A,eqodds_B
0.0,0.9796599878567092,0.8634751773049646,0.8163153572406241,0.5539270950770387,0.7461187214611872,0.5172341319882303,0,orig,0.48872919353848043,0.766458733604478,0.6537589546832657
0.01,0.9672131147540983,0.8209219858156028,0.7816406606442193,0.49379932356257045,0.7018917155903457,0.4550231189575452,0,orig,0.5237393280511025,0.7346786008362474,0.6341011331419424
0.02,0.9590163934426229,0.7960992907801419,0.7614745870973629,0.4562194663660278,0.6765818656229615,0.41593106347204706,0,orig,0.5445611448928198,0.7175654721803386,0.6198317726919051
0.03,0.9532483302975107,0.776595744680851,0.74066976913952,0.4374295377677565,0.6493150684931507,0.39722572509457754,0,orig,0.5610220502426141,0.69606673819564,0.6206299804137265
0.04,0.949605343047966,0.7659574468085106,0.7284423761292089,0.4218338970311913,0.6333985649054142,0.38104245481294663,0,orig,0.572139303482587,0.6837932218574483,0.615085008004436
0.05,0.9432301153612629,0.7340425531914894,0.7054475773336983,0.3880120255543029,0.6032615786040444,0.3469945355191257,0,orig,0.5938824396535839,0.6600314632427815,0.6129519823276364
0.06,0.9341226472374013,0.725177304964539,0.6856465005931198,0.37128898910184144,0.5788649706457926,0.32934005884825557,0,orig,0.6083778637675819,0.6447423234083912,0.6041627538837165
0.07,0.9289617486338798,0.7056737588652482,0.6735103567843781,0.35212326193160465,0.5637312459230267,0.31021437578814626,0,orig,0.6193722744303175,0.6347694972891469,0.6045406169228981
0.08,0.9238008500303583,0.6861702127659575,0.6557167624783283,0.33483652762119503,0.540508806262231,0.2931904161412358,0,orig,0.6335605921012223,0.6167079562318727,0.6070202033752783
0.09,0.9168184578020644,0.6542553191489362,0.6460443471119628,0.3147313040210447,0.5296803652968036,0.2744850777637663,0,orig,0.6416067809102635,0.6128619074947392,0.6202297586148301
0.1,0.908621736490589,0.6312056737588653,0.6361894333424583,0.29988726042841035,0.5191128506196999,0.26061370323665406,0,orig,0.6481788587924575,0.610491114129111,0.6294080294777888
0.11,0.9001214329083181,0.6170212765957447,0.6185783374395474,0.281097331830139,0.49758643183300716,0.24127784783522488,0,orig,0.6617529635771758,0.597464998924689,0.6242565712394802
0.12,0.8940497874924105,0.6063829787234043,0.607993430057487,0.26832018038331457,0.48506196999347684,0.22824716267339218,0,orig,0.6698605736748356,0.5910121825010664,0.6218641839499879
0.13,0.8885853066180935,0.5815602836879432,0.5974997718769961,0.2463359639233371,0.47240704500978475,0.2065994115174443,0,orig,0.6801793501627664,0.5838217383916913,0.6250391278295011
0.14,0.8770491803278688,0.5673758865248227,0.5775161967332786,0.23318301390454715,0.44879321591650356,0.1935687263556116,0,orig,0.6922793440206375,0.5717440355886347,0.6261928398307889
0.15,0.8727990285367334,0.5531914893617021,0.5713112510265536,0.21739947388199926,0.4417482061317678,0.17759562841530055,0,orig,0.6989128431914502,0.5689491775950344,0.6244041390535984
0.16,0.8615664845173042,0.5443262411347518,0.5564376311707273,0.20574971815107101,0.4253098499673842,0.16561580496006725,0,orig,0.7075732448866777,0.56374336545008,0.6212895638253154
0.17,0.851244687310261,0.5372340425531915,0.5396477780819418,0.19898534385569336,0.40574037834311805,0.15889029003783103,0,orig,0.7164179104477612,0.554495691032857,0.6216562474846395
0.18,0.8412264723740134,0.524822695035461,0.5225841773884479,0.19015407741450582,0.38564905414220485,0.15048339638503572,0,orig,0.725876788895031,0.5444225817681915,0.6256607013495747
0.19,0.8342440801457195,0.5106382978723404,0.5140980016424856,0.17831642239759488,0.37651663405088065,0.13892391761244222,0,orig,0.7316503900251827,0.5422725539051612,0.6282856197401019
0.2,0.825136612021858,0.50177304964539,0.5050643306871064,0.1670424652386321,0.3675146771037182,0.1273644388398487,0,orig,0.7371168847122412,0.5423780650818603,0.6255913891944587
0.21,0.8184578020643595,0.49113475177304966,0.4978556437631171,0.15971439308530627,0.36007827788649704,0.12042875157629256,0,orig,0.7409250046065966,0.5416204758221376,0.6292939998032429
0.22,0.8142076502732241,0.4804964539007092,0.491650698056392,0.1544532130777903,0.3530332681017613,0.11580496006725514,0,orig,0.7443645967692403,0.5388256178285372,0.6353085061665459
0.23,0.8075288403157256,0.4645390070921986,0.47741582261155213,0.1429913566328448,0.3355512067840835,0.10487599831862127,0,orig,0.7538848965051287,0.5280223664683579,0.6403369912264226
0.24,0.7959927140255009,0.45567375886524825,0.46600967241536634,0.1373543780533634,0.3242009132420091,0.09962168978562422,0,orig,0.7581229654198145,0.5282081992165082,0.643947930920376
0.25,0.7817243472981178,0.44680851063829785,0.45186604617209597,0.13397219090567455,0.3101108936725375,0.09688944934846574,0,orig,0.7623610343345003,0.5283865463744197,0.6500809387101679
0.26,0.77565270188221,0.4379432624113475,0.4407336435806187,0.13134160090191657,0.2968036529680365,0.0949978982765868,0,orig,0.7676432651557029,0.5211509510858265,0.6570546358652393
0.27,0.7580449301760778,0.4326241134751773,0.42476503330595855,0.12852311161217586,0.28153946510110894,0.09247583018074822,0,orig,0.7718199127817702,0.5234945349250312,0.6598517167055709
0.28,0.7437765634486946,0.4237588652482269,0.40961766584542386,0.12495302517850432,0.2660143509458578,0.08953341740226986,0,orig,0.7767950371598796,0.5222377874971632,0.6657745521540429
0.29,0.7352762598664238,0.4166666666666667,0.4013139885026006,0.1176249530251785,0.257795172863666,0.08217738545607398,0,orig,0.7808488422087095,0.5225189129972423,0.6655107187894073
0.3,0.7249544626593807,0.4095744680851064,0.3911853271283876,0.1133032694475761,0.2477495107632094,0.07818411097099622,0,orig,0.7844112769485904,0.5227950481038287,0.6686096428858899
0.31,0.7146326654523376,0.39893617021276595,0.38023542294004925,0.11029688087185269,0.2365296803652968,0.07608238755779739,0,orig,0.7878508691112339,0.5218970149129591,0.6771462173450314
0.32,0.7052216150576807,0.3882978723404255,0.37311798521762934,0.10578729800826757,0.23039791258969342,0.07229928541403952,0,orig,0.7895706651925557,0.5251762975320128,0.684001413073614
0.33,0.6909532483302975,0.3882978723404255,0.3627155762387079,0.10372040586245772,0.22165688193085453,0.06998738965952081,0,orig,0.7914747251397334,0.5307036336005571,0.6816895173190952
0.34,0.6809350333940498,0.38652482269503546,0.3510356784378137,0.10108981585869974,0.20926288323548597,0.06725514922236234,0,orig,0.7960199004975125,0.5283278498414361,0.6807303265273268
0.35000000000000003,0.6733454766241651,0.3723404255319149,0.3437357423122548,0.09733183013904548,0.2020874103065884,0.06473308112652375,0,orig,0.7981082243105461,0.5287419336824233,0.6923926555946088
0.36,0.666970248937462,0.3670212765957447,0.335523314171001,0.09394964299135664,0.19308545335942595,0.061580496006725514,0,orig,0.8017935016276642,0.5261152044219639,0.6945592194109809
0.37,0.6536126290224651,0.35815602836879434,0.3235696687653983,0.09094325441563322,0.1817351598173516,0.05926860025220681,0,orig,0.8048031447699773,0.5281225307948865,0.7011125718834125
0.38,0.6411657559198543,0.35815602836879434,0.31307601058490736,0.08981585869973695,0.1720808871493803,0.058007566204287514,0,orig,0.807198575026104,0.530915131229526,0.6998515378354931
0.39,0.6311475409836066,0.35106382978723405,0.30458983483894514,0.0864336715520481,0.16425309849967384,0.055065153425809164,0,orig,0.8094711627049935,0.5331055575160673,0.7040013236385751
0.4,0.6223436551305404,0.3475177304964539,0.29947987955105393,0.08474257797820368,0.16073059360730593,0.053593947036569986,0,orig,0.8096554265708494,0.5383869384767656,0.7060762165401161
0.41000000000000003,0.6141469338190649,0.3421985815602837,0.29254494023177297,0.08229988726042842,0.154337899543379,0.051492223623371164,0,orig,0.8114366439407898,0.540190965724314,0.7092936420630874
0.42,0.600789313904068,0.3333333333333333,0.2827812756638379,0.07985719654265314,0.1461187214611872,0.04981084489281211,0,orig,0.8127879122903998,0.5453294075571192,0.7164775115594788
0.43,0.5907710989678203,0.3333333333333333,0.27484259512729264,0.07741450582487787,0.1390737116764514,0.047078604455653636,0,orig,0.8148762361034334,0.5483026127086311,0.7137452711223203
0.44,0.5816636308439587,0.32978723404255317,0.2677251574048727,0.0764750093949643,0.13281148075668622,0.04644808743169399,0,orig,0.8160432405871875,0.5511478499127276,0.7166608533891409
0.45,0.571645415907711,0.32269503546099293,0.2597864768683274,0.07422021796317174,0.12576647097195043,0.04476670870113493,0,orig,0.8175787728026535,0.5541210550642395,0.722071673240142
0.46,0.5643594414086217,0.32092198581560283,0.25495026918514463,0.07177752724539646,0.12198303979125896,0.04224464060529634,0,orig,0.8185615134205516,0.5576235983826372,0.7213226547896935
