thresholds,tpr_A,tpr_B,selection_A,selection_B,fpr_A,fpr_B,trial,lambda,acc_overall,eqodds_A,eqodds_B
0.0,1.0,1.0,1.0,1.0,1.0,1.0,0,orig,0.417958204179582,1.0,1.0
0.01,1.0,1.0,1.0,1.0,1.0,1.0,0,orig,0.417958204179582,1.0,1.0
0.02,1.0,1.0,1.0,1.0,1.0,1.0,0,orig,0.417958204179582,1.0,1.0
0.03,1.0,1.0,1.0,1.0,1.0,1.0,0,orig,0.417958204179582,1.0,1.0
0.04,1.0,1.0,1.0,1.0,1.0,1.0,0,orig,0.417958204179582,1.0,1.0
0.05,1.0,1.0,1.0,1.0,1.0,1.0,0,orig,0.417958204179582,1.0,1.0
0.06,1.0,1.0,1.0,1.0,1.0,1.0,0,orig,0.417958204179582,1.0,1.0
0.07,1.0,1.0,1.0,1.0,1.0,1.0,0,orig,0.417958204179582,1.0,1.0
0.08,1.0,1.0,0.9994537509104151,1.0,0.9990952955367913,1.0,0,orig,0.41825817418258177,0.9990952955367913,1.0
0.09,0.9995404411764706,0.9995009980039921,0.9989075018208303,0.9995564426702152,0.9984921592279855,0.9996007984031936,0,orig,0.4183581641835816,0.998951718051515,1.0000998003992017
0.1,0.9986213235294118,0.9995009980039921,0.997632920611799,0.9995564426702152,0.996984318455971,0.9996007984031936,0,orig,0.4186581341865813,0.9983629949265592,1.0000998003992017
0.11,0.9958639705882353,0.999001996007984,0.9949016751638747,0.9982257706808605,0.994270205066345,0.9976047904191617,0,orig,0.4193580641935806,0.9984062344781097,0.9986027944111777
0.12,0.9940257352941176,0.9970059880239521,0.992352512745812,0.9962297626968286,0.991254523522316,0.9956087824351297,0,orig,0.42005799420057993,0.9972287882281984,0.9986027944111776
0.13,0.9912683823529411,0.9950099800399201,0.9868900218499636,0.9935684187181193,0.9840168878166465,0.9924151696606787,0,orig,0.42225777422257776,0.9927485054637054,0.9974051896207585
0.14,0.9875919117647058,0.9945109780439122,0.9812454479242535,0.9902417387447328,0.97708082026538,0.9868263473053892,0,orig,0.42505749425057493,0.9894889085006742,0.992315369261477
0.15,0.9829963235294118,0.9930139720558883,0.9728696285506191,0.9846972721224219,0.9662243667068757,0.9780439121756487,0,orig,0.42955704429557046,0.9832280431774639,0.9850299401197604
0.16,0.9793198529411765,0.9905189620758483,0.9639475600873999,0.980261698824573,0.9538600723763571,0.9720558882235529,0,orig,0.43385661433856615,0.9745402194351805,0.9815369261477046
0.17,0.9728860294117647,0.9885229540918163,0.9490167516387472,0.9736083388778,0.9333534378769602,0.9616766467065868,0,orig,0.44145585441455854,0.9604674084651955,0.9731536926147705
