thresholds,tpr_A,tpr_B,selection_A,selection_B,fpr_A,fpr_B,trial,lambda,acc_overall,eqodds_A,eqodds_B
0.0,1.0,1.0,1.0,1.0,1.0,1.0,0,orig,0.417958204179582,1.0,1.0
0.01,0.9990808823529411,1.0,0.9898033503277495,0.9957862053670437,0.9837153196622437,0.9924151696606787,0,orig,0.42505749425057493,0.9846344373093026,0.9924151696606787
0.02,0.9986213235294118,0.999001996007984,0.9808812818645303,0.9906852960745176,0.9692400482509047,0.9840319361277445,0,orig,0.4316568343165683,0.9706187247214929,0.9850299401197605
0.03,0.9972426470588235,0.9975049900199601,0.9670429715950474,0.983810157462852,0.9472255729794934,0.9728542914171656,0,orig,0.44115588441155884,0.9499829259206699,0.9753493013972055
0.04,0.9935661764705882,0.9965069860279441,0.951019664967225,0.9740518962075848,0.9231001206272618,0.9560878243512974,0,orig,0.45235476452354767,0.9295339441566736,0.9595808383233533
0.05,0.9908088235294118,0.9935129740518962,0.9366351056081573,0.9654025282767797,0.9010856453558505,0.9429141716566867,0,orig,0.4617538246175382,0.9102768218264387,0.9494011976047905
0.06,0.9866727941176471,0.9895209580838323,0.9226147123088129,0.9529829230428033,0.8805790108564535,0.92375249500998,0,orig,0.47165283471652836,0.8939062167388064,0.9342315369261477
0.07,0.9834558823529411,0.9860279441117764,0.9067734887108522,0.9370148591705478,0.856453558504222,0.8978043912175648,0,orig,0.48475152484751527,0.8729976761512809,0.9117764471057884
0.08,0.9770220588235294,0.9780439121756487,0.8907501820830298,0.918385451319583,0.8341375150784077,0.8706586826347306,0,orig,0.49595040495950404,0.8571154562548783,0.8926147704590819
0.09,0.9719669117647058,0.9730538922155688,0.872177713037145,0.9033045021068973,0.8066948130277443,0.84750499001996,0,orig,0.5087491250874913,0.8347279012630384,0.8744510978043912
0.1,0.9673713235294118,0.968562874251497,0.8486890021849963,0.8866711022399645,0.7708082026537998,0.8211576846307386,0,orig,0.5253474652534746,0.803436879124388,0.8525948103792416
0.11,0.9604779411764706,0.9625748502994012,0.8310269482884195,0.8667110223996451,0.7460796139927623,0.7900199600798403,0,orig,0.5386461353864613,0.7856016728162918,0.8274451097804392
0.12,0.9545036764705882,0.9530938123752495,0.8104515659140568,0.8480816145486804,0.7159227985524729,0.7640718562874251,0,orig,0.551944805519448,0.7614191220818847,0.8109780439121757
0.13,0.9420955882352942,0.939620758483034,0.791332847778587,0.8292304280328232,0.6924004825090471,0.7409181636726547,0,orig,0.5601439856014399,0.7503048942737529,0.8012974051896208
0.14,0.9352022058823529,0.9331337325349301,0.7753095411507648,0.8101574628520737,0.6703860072376358,0.7117764471057885,0,orig,0.571942805719428,0.7351838013552828,0.7786427145708583
0.15,0.9204963235294118,0.9226546906187625,0.7514566642388929,0.7926369483255711,0.6405307599517491,0.688622754491018,0,orig,0.5823417658234177,0.7200344364223373,0.7659680638722555
0.16,0.9099264705882353,0.9121756487025948,0.7308812818645303,0.7757817697937458,0.6133896260554885,0.6666666666666666,0,orig,0.5924407559244076,0.7034631554672532,0.7544910179640718
0.17,0.8975183823529411,0.9021956087824351,0.7093954843408594,0.7589265912619206,0.5859469240048251,0.644311377245509,0,orig,0.6024397560243976,0.6884285416518839,0.7421157684630739
0.18,0.8887867647058824,0.8927145708582834,0.6919155134741443,0.7420714127300954,0.5627261761158022,0.6215568862275449,0,orig,0.6120387961203879,0.6739394114099199,0.7288423153692615
0.19,0.8805147058823529,0.8812375249500998,0.6760742898761836,0.7238855622089155,0.5419179734620024,0.5980039920159681,0,orig,0.6207379262073792,0.6614032675796495,0.7167664670658683
0.2,0.8745404411764706,0.8737524950099801,0.6622359796067007,0.7090263916611222,0.52291917973462,0.577245508982036,0,orig,0.6294370562943705,0.6483787385581494,0.7034930139720559
0.21,0.8653492647058824,0.8682634730538922,0.6465768390386016,0.6935018851186516,0.503015681544029,0.5536926147704591,0,orig,0.6388361163883611,0.6376664168381466,0.6854291417165669
0.22,0.8561580882352942,0.8607784431137725,0.6298252002913328,0.6770902639166112,0.4813027744270205,0.5301397205588823,0,orig,0.6484351564843516,0.6251446861917264,0.6693612774451098
