trial,adjust,score,label,group,group_multi
0,-0.0003983243363043787,0.97,False,1,1.0
0,-0.03271507785498429,0.645,False,0,8.0
0,0.027257359102316636,0.25,False,1,1.0
0,0.03063129589333452,0.27,True,1,1.0
0,-0.033396671283880464,0.77,False,0,3.0
0,0.03233846016564995,0.33,False,1,1.0
0,-0.034355648978854125,0.6,False,0,2.0
0,0.027354964645012803,0.26,False,1,1.0
0,-0.0008993176005660519,1.0,True,0,9.0
0,0.025028937493634884,0.43207142857142855,False,1,1.0
0,0.026504088954344696,0.12,False,1,1.0
0,0.027207899289880655,0.52,True,1,1.0
0,0.0032605708763995267,0.96,True,1,1.0
0,-0.028766159356556492,0.11,False,0,8.0
0,-0.037697583632302856,0.3,False,0,8.0
0,0.03299244183920824,0.17,False,1,1.0
0,0.013451912705705449,0.85,True,1,1.0
0,-0.032151972259592904,0.14333333333333334,False,0,6.0
0,0.026686482761491687,0.09837301587301588,False,1,1.0
0,-0.03428546731038218,0.5379999999999999,True,0,8.0
0,0.011434623506534014,0.88,True,1,1.0
0,0.030683663747699763,0.1611031746031746,True,1,1.0
0,0.024971479546665787,0.6123333333333334,True,1,1.0
0,0.02972099249707172,0.54,False,1,1.0
0,0.02995270844999781,0.4,True,1,1.0
0,-0.034689456257788326,0.21,False,0,6.0
0,0.008335609818856615,0.93,True,1,1.0
0,-0.03510458311656561,0.27,True,0,2.0
0,-0.034811308179707706,0.19,False,0,9.0
0,-0.03040401929118508,0.34,False,0,9.0
0,0.030737337702516687,0.47,False,1,1.0
0,0.02277358450203701,0.09,True,1,1.0
0,-0.03673165202255446,0.6,True,0,2.0
0,-0.04159661674166554,0.42,False,0,8.0
0,0.021984457684644132,0.05,False,1,1.0
0,-0.03329553059594756,0.13,False,0,6.0
0,-0.03121106180252914,0.2925,True,0,9.0
0,0.029521751961772313,0.37,True,1,1.0
0,-0.03247291020020904,0.29,False,0,6.0
0,-0.039427122285032035,0.4366666666666667,True,0,8.0
0,0.033366117984700155,0.2,False,1,1.0
0,0.02690768943395294,0.3,False,1,1.0
0,0.020380223969977962,0.76,True,1,1.0
0,-0.0321198166770591,0.7,False,0,8.0
0,0.029925868131360778,0.31,False,1,1.0
0,-0.03466079239147396,0.174,False,0,2.0
0,0.0338869419853115,0.17522727272727273,True,1,1.0
0,-0.007860915072455496,0.034,False,0,2.0
0,0.026832089198202014,0.49,False,1,1.0
0,0.03327736489844263,0.14666666666666667,True,1,1.0
0,-0.021905432947246117,0.84,True,0,2.0
0,0.03381519489665613,0.35,False,1,1.0
0,0.003974383948213034,0.98,True,1,1.0
0,0.026668659628537594,0.54,True,1,1.0
0,-0.022788999717147762,0.89,True,0,9.0
0,0.029063902063622804,0.21116666666666664,False,1,1.0
0,0.03256114548854,0.17,False,1,1.0
0,0.024162330266434662,0.6108333333333333,False,1,1.0
0,-0.03129637869777699,0.15,False,0,6.0
0,0.03488333012259914,0.35,False,1,1.0
0,0.011167521681668346,0.89,True,1,1.0
0,-0.01578755846253037,0.02,False,0,9.0
0,-0.002020856510530189,0.97,True,0,9.0
0,-0.031774901796476296,0.138,False,0,8.0
0,0.030127530655675167,0.19415151515151513,False,1,1.0
0,-0.03311749398440289,0.4833333333333333,False,0,8.0
0,0.028777234175892008,0.48,False,1,1.0
0,-0.038194156215101915,0.39,False,0,9.0
0,0.012152918946167289,0.02,False,1,1.0
0,-0.017511938847957348,0.07,False,0,6.0
0,-0.0016640552599516134,1.0,True,0,6.0
0,-0.021469636666005848,0.09,True,0,6.0
0,-0.011939326919814142,0.94,True,0,2.0
0,0.02761114063659531,0.42,False,1,1.0
0,0.030245036419107196,0.37,True,1,1.0
0,0.03412414003828823,0.36041269841269846,False,1,1.0
0,0.014858901449076652,0.04,False,1,1.0
0,-0.03676878390515981,0.20416666666666664,False,0,6.0
0,0.024424885404735558,0.08,False,1,1.0
0,-0.029205881110687226,0.65,True,0,8.0
0,0.02846700182215492,0.23,False,1,1.0
0,-0.023333585746965424,0.82,True,0,2.0
0,0.032730585718890454,0.18,False,1,1.0
0,0.02709209326273565,0.54,False,1,1.0
0,0.029991474777558647,0.2605454545454544,False,1,1.0
0,0.0024479869955851274,0.98,True,1,1.0
0,0.024986929054355067,0.7,False,1,1.0
0,-0.03463905912914006,0.324,True,0,9.0
0,-0.0413635246591354,0.41,False,0,9.0
0,0.02792211214538115,0.07,True,1,1.0
0,0.028030292742856455,0.11,False,1,1.0
0,-0.03565638066699861,0.24,True,0,6.0
0,0.027343834567680747,0.65,True,1,1.0
0,-0.03252320299723832,0.58,True,0,2.0
0,-0.03642881286888694,0.41,False,0,6.0
0,0.030466291440870902,0.18,False,1,1.0
0,-0.0356481412629861,0.49,True,0,8.0
0,0.01224037340051054,0.89,True,1,1.0
0,-0.03600291528242583,0.49166666666666664,False,0,6.0
0,0.0011077909098287098,0.99,True,1,1.0
0,0.0031059228309209264,0.94,True,1,1.0
0,-0.03603558963011222,0.5455,True,0,8.0
0,0.00039119321714187194,0.97,True,1,1.0
0,0.02931650472906777,0.56,True,1,1.0
0,0.03235870978677807,0.14666666666666667,False,1,1.0
0,0.02072290054853121,0.78,True,1,1.0
0,0.03379828139412855,0.19,False,1,1.0
0,0.026052353916017568,0.5086666666666667,False,1,1.0
0,-0.030274050234488287,0.14,True,0,6.0
0,-0.03962272789636001,0.25,False,0,8.0
0,0.02223483695789874,0.7366666666666666,False,1,1.0
0,-0.011962344481411868,0.94,True,0,8.0
0,0.011152001748671023,0.02,False,1,1.0
0,-0.029289773168114153,0.14,False,0,2.0
0,0.029841292173782286,0.27,False,1,1.0
0,-0.02632265534770184,0.09,False,0,6.0
0,0.014929634840489037,0.05,False,1,1.0
0,-0.010945880272411057,0.93,True,0,2.0
0,-0.03512886371439855,0.49,True,0,8.0
0,-0.03458090807250405,0.2,False,0,8.0
0,-0.03571655956668404,0.16,True,0,8.0
0,0.017444127543304044,0.7453888888888889,True,1,1.0
0,-0.03255829681988154,0.56,False,0,6.0
0,0.02405476370259424,0.09,True,1,1.0
0,0.021405473377734185,0.05,False,1,1.0
0,0.02174551500436339,0.7316666666666666,True,1,1.0
0,-0.03587023052218352,0.5115476190476191,True,0,8.0
0,0.006409210338641461,0.01,False,1,1.0
0,0.027908115645713827,0.28,False,1,1.0
0,0.02623662074392283,0.09,False,1,1.0
0,0.015001152839326737,0.05,False,1,1.0
0,-0.032442232922574976,0.7030833333333334,False,0,8.0
0,0.007352787512022691,0.0,False,1,1.0
0,-0.02332614470214571,0.11,False,0,6.0
0,0.02823694951437894,0.2708333333333333,True,1,1.0
0,0.03150584295550135,0.44,False,1,1.0
0,-0.034010264339316976,0.74,False,0,6.0
0,-0.02751102633095287,0.1,False,0,9.0
0,0.012454418047833052,0.03,False,1,1.0
0,-0.012452338044333995,0.02,False,0,6.0
0,0.019410899749625177,0.78,True,1,1.0
0,0.02889750581029013,0.14,False,1,1.0
0,-0.011693815893861759,0.94,True,0,9.0
0,0.005481881945138878,0.95,True,1,1.0
0,0.02656306696936006,0.59,False,1,1.0
0,0.0316385781925404,0.32,False,1,1.0
0,-0.01634541465507798,0.08,False,0,8.0
0,-0.035152140498175166,0.58,True,0,2.0
0,0.010804059444662478,0.0,False,1,1.0
0,0.03184524444122788,0.12010714285714286,False,1,1.0
0,-0.0375091739888625,0.47,True,0,3.0
0,0.02811890053579913,0.29,False,1,1.0
0,-0.037520573668685,0.38,False,0,9.0
0,0.018401265748645354,0.02,False,1,1.0
0,-0.026021446732595127,0.114,False,0,6.0
0,-0.030691901908482394,0.16,False,0,9.0
0,0.026600383220357404,0.49,False,1,1.0
0,-0.03643603912627502,0.52,False,0,2.0
0,0.029418477426068734,0.49666666666666665,False,1,1.0
0,-0.03383708511823527,0.15,False,0,3.0
0,0.0101852481006659,0.93,True,1,1.0
0,-0.03237947642745176,0.7569047619047621,True,0,2.0
0,-0.037017532530942254,0.25,True,0,6.0
0,0.01661039592464815,0.01,True,1,1.0
0,-0.036117198631970854,0.24,False,0,8.0
0,-0.007677455392974597,0.96,True,0,9.0
0,0.0257928646158571,0.08,False,1,1.0
0,-0.026709918517564032,0.10666666666666667,True,0,8.0
0,-0.0019170894086888435,0.99,True,0,6.0
0,0.03060637926831966,0.51,False,1,1.0
0,0.018837345983268694,0.78,True,1,1.0
0,-0.0345866287373533,0.61,False,0,9.0
0,0.010422439621880778,0.0,False,1,1.0
0,0.008939834146023631,0.01,False,1,1.0
0,-0.037361643181494264,0.285,True,0,2.0
0,0.02559709031548041,0.5825,False,1,1.0
0,-0.0018198835155258664,0.98,True,0,8.0
0,0.024258880235679237,0.08,True,1,1.0
0,-0.025191457752578972,0.06416666666666666,False,0,8.0
0,-0.011747744413280525,0.96,True,0,2.0
0,-0.0209068216066486,0.09,True,0,6.0
0,0.027281976795277663,0.55,False,1,1.0
0,-0.035503990047570044,0.17,False,0,6.0
0,-0.037458015776793196,0.35,False,0,6.0
0,-0.03508983196720622,0.47,True,0,8.0
0,0.03245254252595517,0.23,False,1,1.0
0,0.03032008056571922,0.45,False,1,1.0
0,0.03433053905910602,0.14,False,1,1.0
0,-0.03848003891317103,0.21,False,0,9.0
0,0.028623299538729996,0.54,False,1,1.0
0,0.003921010662209956,0.93,True,1,1.0
0,-0.03047384821628063,0.66,False,0,8.0
0,0.03134237800330408,0.33,False,1,1.0
0,0.03461579888527916,0.2,True,1,1.0
0,0.013475739241536444,0.87,True,1,1.0
0,0.029869196249659113,0.27,False,1,1.0
0,0.0316378520551433,0.4,False,1,1.0
0,0.01914244417707267,0.73,False,1,1.0
0,0.009018445832580994,0.01,False,1,1.0
0,-0.020186694894411383,0.87,True,0,9.0
0,-0.03466072699453393,0.31,True,0,6.0
0,0.002721946532882935,0.99,True,1,1.0
0,-0.03526538321689582,0.37,True,0,8.0
0,0.02740808998086075,0.27,True,1,1.0
0,0.023561283639240815,0.68,False,1,1.0
0,0.00021380001693249717,1.0,True,0,2.0
0,-0.01934824684046388,0.86,True,0,9.0
0,-0.03337535393367369,0.45,False,0,2.0
0,0.031272689147518296,0.33,False,1,1.0
0,-0.0024008098339498574,1.0,True,0,2.0
0,0.0314886513757881,0.32,True,1,1.0
0,0.03028355562581142,0.28,False,1,1.0
0,0.018098274506317624,0.76,True,1,1.0
0,0.009156115135324883,0.92,False,1,1.0
0,-0.03356488500699492,0.16,False,0,6.0
0,0.0016480129015011124,0.0,False,1,1.0
0,0.028795297901633377,0.43,True,1,1.0
0,-0.011085877977303954,0.02,False,0,6.0
0,0.02588320934407906,0.28,False,1,1.0
0,0.011362314797163764,0.88,True,1,1.0
0,0.028274715039819626,0.08,False,1,1.0
0,-0.014762380002306008,0.88,True,0,8.0
0,-0.010261365897788588,0.95,True,0,9.0
0,-0.03661650125027632,0.4663095238095238,False,0,8.0
0,-0.006799093956086959,0.02,False,0,6.0
0,0.01911066820202556,0.82,False,1,1.0
0,-0.0010057861127774625,1.0,True,0,3.0
0,0.02789259226258034,0.46624999999999994,False,1,1.0
0,-0.038552425669205304,0.23,False,0,6.0
0,0.03424784001976863,0.2,False,1,1.0
0,-0.033499071172631956,0.3,False,0,9.0
0,0.029418022672436983,0.31,True,1,1.0
0,-0.014758642129180544,0.03642857142857143,False,0,6.0
0,0.031037970984224728,0.34,False,1,1.0
0,0.02582211948720667,0.095,False,1,1.0
0,-0.032109318599189196,0.17,False,0,6.0
0,-0.04076521026405236,0.24,False,0,2.0
0,-0.03426706356496201,0.3,False,0,6.0
0,-0.0364088748863482,0.36,False,0,9.0
0,0.027679784891157022,0.12,False,1,1.0
0,0.034479028161014696,0.15,False,1,1.0
0,0.02262253929848712,0.64,False,1,1.0
0,-0.016359386067939463,0.03916666666666666,False,0,6.0
0,0.02795004762259823,0.6,True,1,1.0
0,-0.026513754341776608,0.77,True,0,2.0
0,0.02652255240778767,0.49,True,1,1.0
0,-0.018182929187298802,0.85,True,0,2.0
0,0.009113861004947266,0.8859999999999999,True,1,1.0
0,-0.025919892140892825,0.11,False,0,8.0
0,-0.03369088737216078,0.21,True,0,6.0
0,-0.01906896855489726,0.89,True,0,6.0
0,0.018966559346241474,0.8,True,1,1.0
0,0.022641813001605407,0.09,False,1,1.0
0,0.02554819583735099,0.08,False,1,1.0
0,-0.03901766939250029,0.245,True,0,6.0
0,0.023044804647338324,0.05,True,1,1.0
0,-0.03098099622927808,0.6178571428571429,True,0,8.0
0,0.028884478609270264,0.16,False,1,1.0
0,0.026912787609625344,0.53,False,1,1.0
0,0.0263308500097702,0.58,False,1,1.0
0,-0.029999079257487793,0.67,False,0,9.0
0,0.013964207729671135,0.02,False,1,1.0
0,-0.007017292366003125,0.94,True,0,8.0
0,0.02691269916198291,0.6106666666666667,False,1,1.0
0,0.008488293422777238,0.935,True,1,1.0
0,0.0003711913117374621,1.0,True,1,1.0
0,0.02514331202425768,0.65,True,1,1.0
0,0.016749690834683896,0.01,False,1,1.0
0,-0.028544794089816722,0.11,False,0,2.0
0,0.02852323753847308,0.3,False,1,1.0
0,0.02084158003320534,0.07,True,1,1.0
0,0.024840100061693016,0.7,False,1,1.0
0,0.025106209338745522,0.68,False,1,1.0
0,0.029994441387472648,0.5,True,1,1.0
0,0.028655478973955928,0.43,True,1,1.0
0,-0.0025376938288297346,0.98,True,0,2.0
0,0.029739667456039676,0.23,False,1,1.0
0,-0.03337359125196451,0.15,False,0,6.0
0,0.024124198987629075,0.69,True,1,1.0
0,0.030122561952393212,0.21,False,1,1.0
0,0.03057594381494,0.53,False,1,1.0
0,-0.031126245849627088,0.77,True,0,2.0
0,-0.029417814180859814,0.09,False,0,8.0
0,-0.03505041743640347,0.54,True,0,9.0
0,0.03117318594190266,0.14,False,1,1.0
0,-0.03729884736920991,0.28,True,0,6.0
0,0.017891252028714805,0.06,False,1,1.0
0,-0.03446909805162829,0.32,False,0,8.0
0,-0.02269909975365285,0.08,False,0,6.0
0,-0.015876819832574607,0.93,True,0,2.0
0,0.023434970724700008,0.08,False,1,1.0
0,0.026505705982689087,0.68,True,1,1.0
0,0.025972678799294435,0.67,False,1,1.0
0,-0.034045972213743836,0.5108333333333333,True,0,8.0
0,0.016251248699240217,0.7766666666666666,False,1,1.0
0,0.015320568705640115,0.01,True,1,1.0
0,-0.0010281471783597507,1.0,True,0,2.0
0,0.024269307085032513,0.08,False,1,1.0
0,-0.034620320960514483,0.32916666666666666,False,0,8.0
0,0.03076340665859245,0.33,True,1,1.0
0,-0.03191355883691649,0.5465,False,0,8.0
0,-0.028627898294863202,0.08,False,0,6.0
0,0.02569561284547317,0.59,False,1,1.0
0,-0.038594059839592965,0.2533333333333333,False,0,6.0
0,0.012156432948031815,0.89,True,1,1.0
0,0.01837720915699005,0.06,False,1,1.0
0,-0.028003013999567727,0.7,False,0,8.0
0,0.031586419663350795,0.19,False,1,1.0
0,-0.003754518823615771,1.0,True,0,6.0
0,-0.03947867431397667,0.4,False,0,8.0
0,0.02097452448608733,0.0425,False,1,1.0
0,0.008498550080050182,0.92,True,1,1.0
0,-0.03220466863591043,0.68,True,0,2.0
0,0.0013909208239444304,0.98,True,1,1.0
0,0.02820939317687493,0.12,False,1,1.0
0,-0.02947972872628804,0.15,False,0,6.0
0,0.02332701689461647,0.72,True,1,1.0
0,0.026390044820250175,0.11999999999999998,False,1,1.0
0,0.018836929134193298,0.03,False,1,1.0
0,0.00571766759891168,0.93,True,1,1.0
0,-0.0326797024693854,0.4506666666666667,False,0,8.0
0,0.028278569230829165,0.65,True,1,1.0
0,-0.03239409151419226,0.35,False,0,6.0
0,0.02929094936468546,0.3,False,1,1.0
0,-0.032625920361110394,0.3158333333333333,False,0,6.0
0,0.022682505996411778,0.03,False,1,1.0
0,0.020789994116658453,0.06,False,1,1.0
0,0.025310746244602333,0.11,False,1,1.0
0,-0.02963223306940499,0.72,True,0,8.0
0,-0.03899297980829469,0.205,True,0,7.0
0,0.02747205592167301,0.61,False,1,1.0
0,0.025496368272949654,0.41,False,1,1.0
0,0.027108362332191577,0.11,True,1,1.0
0,-0.027106531469572315,0.12,False,0,6.0
0,0.03214549397720001,0.38,True,1,1.0
0,0.0005395082766381787,0.96,True,1,1.0
0,0.02890113640232228,0.52,True,1,1.0
0,-0.02121205676128346,0.82,True,0,2.0
0,0.008350511870751198,0.94,True,1,1.0
0,0.004592798244429694,0.0,False,1,1.0
0,0.03313867831459705,0.36041269841269846,True,1,1.0
0,-0.007863402436063677,0.02,False,0,6.0
0,-0.0312440009804561,0.31,False,0,2.0
0,0.026854731518449748,0.62,False,1,1.0
0,0.008326521837006107,0.94,True,1,1.0
0,-0.023766998324487365,0.88,True,0,6.0
0,-0.04025810534428531,0.36,True,0,6.0
0,0.016872392158531167,0.0,False,1,1.0
0,-0.033376619249602224,0.54,True,0,8.0
0,0.0287180230862355,0.16,True,1,1.0
0,0.029904770167506978,0.195,False,1,1.0
0,0.01011922675899124,0.89,True,1,1.0
0,-0.026795340231221848,0.1061111111111111,True,0,2.0
0,0.007967900994688353,0.0,True,1,1.0
0,-0.03484547490699641,0.49,True,0,8.0
0,-0.0336261976153559,0.17,False,0,8.0
0,0.021926561921706722,0.05,False,1,1.0
0,-0.03220618966885119,0.14,False,0,9.0
0,0.032267347292121884,0.4,False,1,1.0
0,-0.037476217352254565,0.22,False,0,8.0
0,0.02784373575556698,0.3892142857142858,False,1,1.0
0,-0.034614548931921396,0.59,False,0,6.0
0,-0.03363084740085939,0.16,False,0,9.0
0,-0.030945469831893946,0.76,True,0,8.0
