thresholds,tpr_A,tpr_B,selection_A,selection_B,fpr_A,fpr_B,trial,lambda,acc_overall,eqodds_A,eqodds_B
0.0,1.0,1.0,1.0,1.0,1.0,1.0,0,orig,0.417958204179582,1.0,1.0
0.01,1.0,1.0,1.0,1.0,1.0,1.0,0,orig,0.417958204179582,1.0,1.0
0.02,1.0,1.0,1.0,1.0,1.0,1.0,0,orig,0.417958204179582,1.0,1.0
0.03,1.0,1.0,1.0,1.0,1.0,1.0,0,orig,0.417958204179582,1.0,1.0
0.04,1.0,1.0,1.0,1.0,1.0,1.0,0,orig,0.417958204179582,1.0,1.0
0.05,1.0,1.0,1.0,1.0,1.0,1.0,0,orig,0.417958204179582,1.0,1.0
0.06,1.0,1.0,1.0,1.0,1.0,1.0,0,orig,0.417958204179582,1.0,1.0
0.07,1.0,1.0,1.0,1.0,1.0,1.0,0,orig,0.417958204179582,1.0,1.0
0.08,1.0,1.0,1.0,1.0,1.0,1.0,0,orig,0.417958204179582,1.0,1.0
0.09,1.0,1.0,0.9998179169701383,1.0,0.9996984318455971,1.0,0,orig,0.41805819418058193,0.9996984318455971,1.0
0.1,1.0,1.0,0.9989075018208303,0.9997782213351075,0.9981905910735827,0.9996007984031936,0,orig,0.4186581341865813,0.9981905910735827,0.9996007984031936
0.11,1.0,1.0,0.9981791697013839,0.9991128853404303,0.996984318455971,0.9984031936127744,0,orig,0.4193580641935806,0.996984318455971,0.9984031936127744
0.12,1.0,1.0,0.9959941733430444,0.9988911066755378,0.9933655006031363,0.998003992015968,0,orig,0.4206579342065793,0.9933655006031363,0.998003992015968
0.13,0.9995404411764706,1.0,0.9943554260742898,0.9977822133510756,0.9909529553679132,0.9960079840319361,0,orig,0.42185781421857815,0.9914125141914426,0.9960079840319361
0.14,0.9995404411764706,0.999001996007984,0.9912600145666424,0.9957862053670437,0.9858262967430639,0.9932135728542915,0,orig,0.42405759424057593,0.9862858555665933,0.9942115768463075
0.15,0.9995404411764706,0.999001996007984,0.9898033503277495,0.9933466400532269,0.9834137515078407,0.9888223552894212,0,orig,0.42595740425957407,0.9838733103313702,0.9898203592814372
0.16,0.9986213235294118,0.9985029940119761,0.9854333576110706,0.9900199600798403,0.976779252110977,0.9832335329341317,0,orig,0.42925707429257076,0.9781579285815653,0.9847305389221557
0.17,0.9972426470588235,0.9970059880239521,0.9792425345957757,0.9846972721224219,0.9674306393244874,0.9748502994011976,0,orig,0.43385661433856615,0.9701879922656639,0.9778443113772455
0.18,0.9931066176470589,0.9935129740518962,0.9688638018936635,0.9767132401862941,0.9529553679131484,0.9632734530938124,0,orig,0.43995600439956006,0.9598487502660895,0.9697604790419162
