positivity_rate_differences,tpr_differences,fpr_differences,eqodds_differences,tpr_A,tpr_B,selection_A,selection_B,fpr_A,fpr_B,acc_A,acc_B,acc_overall,thresholds,trial
0.09375,0.0,0.1428571428571429,0.1428571428571429,1.0,1.0,1.0,0.90625,1.0,0.8571428571428571,0.3073394495412844,0.4375,0.324,0.0,0
0.125,0.09090909090909094,0.1428571428571429,0.23376623376623384,1.0,0.9090909090909091,1.0,0.875,1.0,0.8571428571428571,0.3073394495412844,0.40625,0.32,0.01,0
0.12041284403669728,0.09090909090909094,0.13623462630085148,0.22714371720994242,1.0,0.9090909090909091,0.9954128440366973,0.875,0.9933774834437086,0.8571428571428571,0.3119266055045872,0.40625,0.324,0.02,0
0.11123853211009171,0.09090909090909094,0.12298959318826874,0.21389868409735968,1.0,0.9090909090909091,0.9862385321100917,0.875,0.9801324503311258,0.8571428571428571,0.3211009174311927,0.40625,0.332,0.03,0
0.11123853211009171,0.09090909090909094,0.12298959318826874,0.21389868409735968,1.0,0.9090909090909091,0.9862385321100917,0.875,0.9801324503311258,0.8571428571428571,0.3211009174311927,0.40625,0.332,0.04,0
0.10665137614678899,0.09090909090909094,0.11636707663197732,0.20727616754106826,1.0,0.9090909090909091,0.981651376146789,0.875,0.9735099337748344,0.8571428571428571,0.3256880733944954,0.40625,0.336,0.05,0
0.10206422018348627,0.09090909090909094,0.109744560075686,0.20065365098477694,1.0,0.9090909090909091,0.9770642201834863,0.875,0.9668874172185431,0.8571428571428571,0.3302752293577982,0.40625,0.34,0.06,0
0.0928899082568807,0.09090909090909094,0.09649952696310315,0.1874086178721941,1.0,0.9090909090909091,0.9678899082568807,0.875,0.9536423841059603,0.8571428571428571,0.3394495412844037,0.40625,0.348,0.07,0
0.08830275229357798,0.09090909090909094,0.08987701040681173,0.18078610131590267,1.0,0.9090909090909091,0.963302752293578,0.875,0.9470198675496688,0.8571428571428571,0.3440366972477064,0.40625,0.352,0.08,0
0.09661697247706424,0.09090909090909094,0.10438347524440239,0.19529256615349333,1.0,0.9090909090909091,0.9403669724770642,0.84375,0.9139072847682119,0.8095238095238095,0.3669724770642202,0.4375,0.376,0.09,0
0.14076834862385323,0.18181818181818177,0.12551245663828448,0.30733063845646624,1.0,0.8181818181818182,0.9220183486238532,0.78125,0.8874172185430463,0.7619047619047619,0.3853211009174312,0.4375,0.392,0.1,0
0.15825688073394495,0.2727272727272727,0.10564490696941031,0.378372179696683,1.0,0.7272727272727273,0.908256880733945,0.75,0.8675496688741722,0.7619047619047619,0.39908256880733944,0.40625,0.4,0.11,0
0.17574541284403666,0.2727272727272727,0.1333964049195837,0.4061236776468564,1.0,0.7272727272727273,0.8944954128440367,0.71875,0.847682119205298,0.7142857142857143,0.41284403669724773,0.4375,0.416,0.12,0
0.18864678899082565,0.36363636363636365,0.10690633869441812,0.47054270233078177,1.0,0.6363636363636364,0.8761467889908257,0.6875,0.8211920529801324,0.7142857142857143,0.43119266055045874,0.40625,0.428,0.13,0
0.2107224770642202,0.34871099050203525,0.14790286975717448,0.4966138602592097,0.9850746268656716,0.6363636363636364,0.8669724770642202,0.65625,0.8145695364238411,0.6666666666666666,0.43119266055045874,0.4375,0.432,0.14,0
0.20154816513761464,0.34871099050203525,0.13465783664459163,0.4833688271466269,0.9850746268656716,0.6363636363636364,0.8577981651376146,0.65625,0.8013245033112583,0.6666666666666666,0.44036697247706424,0.4375,0.44,0.15,0
0.1786123853211009,0.33378561736770695,0.10816777041942605,0.441953387787133,0.9701492537313433,0.6363636363636364,0.8348623853211009,0.65625,0.7748344370860927,0.6666666666666666,0.4541284403669725,0.4375,0.452,0.16,0
0.1602637614678899,0.33378561736770695,0.08167770419426057,0.4154633215619675,0.9701492537313433,0.6363636363636364,0.8165137614678899,0.65625,0.7483443708609272,0.6666666666666666,0.4724770642201835,0.4375,0.468,0.17,0
0.1281536697247706,0.33378561736770695,0.03532008830022082,0.3691057056679278,0.9701492537313433,0.6363636363636364,0.7844036697247706,0.65625,0.7019867549668874,0.6666666666666666,0.5045871559633027,0.4375,0.496,0.18,0
0.10521788990825687,0.31886024423337855,0.008830022075055233,0.3276902663084338,0.9552238805970149,0.6363636363636364,0.7614678899082569,0.65625,0.6754966887417219,0.6666666666666666,0.518348623853211,0.4375,0.508,0.19,0
0.08228211009174313,0.30393487109905026,-0.017660044150110354,0.3215949152491606,0.9402985074626866,0.6363636363636364,0.7385321100917431,0.65625,0.6490066225165563,0.6666666666666666,0.5321100917431193,0.4375,0.52,0.2,0
0.07310779816513757,0.28900949796472186,-0.02428256070640178,0.31329205867112364,0.9253731343283582,0.6363636363636364,0.7293577981651376,0.65625,0.6423841059602649,0.6666666666666666,0.5321100917431193,0.4375,0.52,0.21,0
0.0593463302752294,0.28900949796472186,-0.04415011037527594,0.3331596083399978,0.9253731343283582,0.6363636363636364,0.7155963302752294,0.65625,0.6225165562913907,0.6666666666666666,0.5458715596330275,0.4375,0.532,0.22,0
0.027236238532110102,0.28900949796472186,-0.09050772626931569,0.37951722423403755,0.9253731343283582,0.6363636363636364,0.6834862385321101,0.65625,0.5761589403973509,0.6666666666666666,0.5779816513761468,0.4375,0.56,0.23,0
0.013474770642201817,0.28900949796472186,-0.11037527593818985,0.3993847739029117,0.9253731343283582,0.6363636363636364,0.6697247706422018,0.65625,0.5562913907284768,0.6666666666666666,0.591743119266055,0.4375,0.572,0.24,0
0.06221330275229353,0.27408412483039346,-0.02838221381267736,0.3024663386430708,0.9104477611940298,0.6363636363636364,0.6559633027522935,0.59375,0.543046357615894,0.5714285714285714,0.5963302752293578,0.5,0.584,0.25,0
0.03469036697247707,0.25915875169606517,-0.06149479659413426,0.32065354829019943,0.8955223880597015,0.6363636363636364,0.6284403669724771,0.59375,0.5099337748344371,0.5714285714285714,0.6146788990825688,0.5,0.6,0.26,0
0.0071674311926605005,0.24423337856173677,-0.09460737937559127,0.33884075793732804,0.8805970149253731,0.6363636363636364,0.6009174311926605,0.59375,0.4768211920529801,0.5714285714285714,0.6330275229357798,0.5,0.616,0.27,0
-0.0028669724770642446,0.18453188602442339,-0.08010091453800067,0.26463280056242405,0.8208955223880597,0.6363636363636364,0.5596330275229358,0.5625,0.44370860927152317,0.5238095238095238,0.6376146788990825,0.53125,0.624,0.28,0
-0.030389908256880704,0.16960651289009498,-0.11321349731945762,0.2828200102095526,0.8059701492537313,0.6363636363636364,0.5321100917431193,0.5625,0.4105960264900662,0.5238095238095238,0.6559633027522935,0.53125,0.64,0.29,0
-0.017488532110091715,0.16960651289009498,-0.09208451592557548,0.26169102881567047,0.8059701492537313,0.6363636363636364,0.5137614678899083,0.53125,0.3841059602649007,0.47619047619047616,0.6743119266055045,0.5625,0.66,0.3,0
-0.01376146788990823,0.20081411126187254,-0.10532954903815828,0.3061436603000308,0.746268656716418,0.5454545454545454,0.48623853211009177,0.5,0.3708609271523179,0.47619047619047616,0.6651376146788991,0.53125,0.648,0.31,0
-0.00544724770642202,0.15603799185888745,-0.07095553453169345,0.2269935263905809,0.7014925373134329,0.5454545454545454,0.463302752293578,0.46875,0.3576158940397351,0.42857142857142855,0.6605504587155964,0.5625,0.648,0.32,0
-0.03755733944954126,0.14111261872455905,-0.11069063386944178,0.2518032525940008,0.6865671641791045,0.5454545454545454,0.43119266055045874,0.46875,0.31788079470198677,0.42857142857142855,0.6834862385321101,0.5625,0.668,0.33,0
-0.05590596330275227,0.12618724559023076,-0.13055818353831594,0.2567454291285467,0.6716417910447762,0.5454545454545454,0.41284403669724773,0.46875,0.2980132450331126,0.42857142857142855,0.6926605504587156,0.5625,0.676,0.34,0
-0.033830275229357776,0.12618724559023076,-0.09618416903185112,0.22237141462208188,0.6716417910447762,0.5454545454545454,0.4036697247706422,0.4375,0.2847682119205298,0.38095238095238093,0.7018348623853211,0.59375,0.688,0.35000000000000003,0
-0.04300458715596328,0.12618724559023076,-0.10942920214443391,0.23561644773466467,0.6716417910447762,0.5454545454545454,0.3944954128440367,0.4375,0.271523178807947,0.38095238095238093,0.7110091743119266,0.59375,0.696,0.36,0
-0.03010321100917429,0.12618724559023076,-0.08830022075055186,0.2144874663407826,0.6716417910447762,0.5454545454545454,0.3761467889908257,0.40625,0.24503311258278146,0.3333333333333333,0.7293577981651376,0.625,0.716,0.37,0
-0.039277522935779796,0.11126187245590236,-0.09492273730684325,0.2061846097627456,0.6567164179104478,0.5454545454545454,0.3669724770642202,0.40625,0.23841059602649006,0.3333333333333333,0.7293577981651376,0.625,0.716,0.38,0
0.036123853211009194,0.18724559023066484,-0.019552191737622182,0.20679778196828702,0.6417910447761194,0.45454545454545453,0.3486238532110092,0.3125,0.2185430463576159,0.23809523809523808,0.7385321100917431,0.65625,0.728,0.39,0
0.022362385321100908,0.15739484396200815,-0.02617470829391358,0.18356955225592173,0.6119402985074627,0.45454545454545453,0.3348623853211009,0.3125,0.2119205298013245,0.23809523809523808,0.7339449541284404,0.65625,0.724,0.4,0
-0.0005733944954128267,0.14246947082767975,-0.05266477451907914,0.19513424534675888,0.5970149253731343,0.45454545454545453,0.3119266055045872,0.3125,0.18543046357615894,0.23809523809523808,0.7477064220183486,0.65625,0.736,0.41000000000000003,0
-0.023509174311926617,0.09769335142469476,-0.06590980763166193,0.1636031590563567,0.5522388059701493,0.45454545454545453,0.2889908256880734,0.3125,0.17218543046357615,0.23809523809523808,0.7431192660550459,0.65625,0.732,0.42,0
-0.04185779816513763,0.06784260515603796,-0.0791548407442447,0.14699744590028266,0.5223880597014925,0.45454545454545453,0.2706422018348624,0.3125,0.15894039735099338,0.23809523809523808,0.7431192660550459,0.65625,0.732,0.43,0
-0.03354357798165136,0.03799185888738127,-0.05140334279407127,0.08939520168145254,0.4925373134328358,0.45454545454545453,0.24770642201834864,0.28125,0.1390728476821192,0.19047619047619047,0.7477064220183486,0.6875,0.74,0.44,0
-0.05189220183486237,0.008141112618724577,-0.06464837590665404,0.07278948852537862,0.4626865671641791,0.45454545454545453,0.22935779816513763,0.28125,0.12582781456953643,0.19047619047619047,0.7477064220183486,0.6875,0.74,0.45,0
-0.06106651376146788,0.008141112618724577,-0.07789340901923682,0.0860345216379614,0.4626865671641791,0.45454545454545453,0.22018348623853212,0.28125,0.11258278145695365,0.19047619047619047,0.7568807339449541,0.6875,0.748,0.46,0
-0.03899082568807338,0.008141112618724577,-0.043519394512771994,0.05166050713149657,0.4626865671641791,0.45454545454545453,0.21100917431192662,0.25,0.09933774834437085,0.14285714285714285,0.7660550458715596,0.71875,0.76,0.47000000000000003,0
-0.030676605504587146,-0.006784260515603768,-0.022390413118889937,0.029174673634493706,0.44776119402985076,0.45454545454545453,0.18807339449541285,0.21875,0.0728476821192053,0.09523809523809523,0.7798165137614679,0.75,0.776,0.48,0
-0.05819954128440366,-0.05156037991858886,-0.04225796278776411,0.09381834270635298,0.40298507462686567,0.45454545454545453,0.16055045871559634,0.21875,0.052980132450331126,0.09523809523809523,0.7798165137614679,0.75,0.776,0.49,0
-0.03153669724770641,0.024423337856173677,-0.04225796278776411,0.06668130064393779,0.3880597014925373,0.36363636363636365,0.1559633027522936,0.1875,0.052980132450331126,0.09523809523809523,0.7752293577981652,0.71875,0.768,0.5,0
-0.036123853211009166,0.009497964721845331,-0.04225796278776411,0.05175592750960944,0.373134328358209,0.36363636363636365,0.15137614678899083,0.1875,0.052980132450331126,0.09523809523809523,0.7706422018348624,0.71875,0.764,0.51,0
-0.04071100917431192,0.009497964721845331,-0.0488804793440555,0.05837844406590083,0.373134328358209,0.36363636363636365,0.14678899082568808,0.1875,0.046357615894039736,0.09523809523809523,0.7752293577981652,0.71875,0.768,0.52,0
-0.014048165137614671,0.08548168249660787,-0.0488804793440555,0.13436216184066335,0.3582089552238806,0.2727272727272727,0.14220183486238533,0.15625,0.046357615894039736,0.09523809523809523,0.7706422018348624,0.6875,0.76,0.53,0
0.008027522935779824,0.17639077340569875,-0.06212551245663828,0.23851628586233703,0.3582089552238806,0.18181818181818182,0.13302752293577982,0.125,0.033112582781456956,0.09523809523809523,0.7798165137614679,0.65625,0.764,0.54,0
-0.005733944954128434,0.14654002713704206,-0.06874802901292967,0.21528805614997173,0.3283582089552239,0.18181818181818182,0.11926605504587157,0.125,0.026490066225165563,0.09523809523809523,0.7752293577981652,0.65625,0.76,0.55,0
-0.010321100917431186,0.13161465400271372,-0.06874802901292967,0.2003626830156434,0.31343283582089554,0.18181818181818182,0.11467889908256881,0.125,0.026490066225165563,0.09523809523809523,0.7706422018348624,0.65625,0.756,0.56,0
0.04759174311926606,0.20759837177747623,-0.021128981393882054,0.22872735317135828,0.29850746268656714,0.09090909090909091,0.11009174311926606,0.0625,0.026490066225165563,0.047619047619047616,0.7660550458715596,0.65625,0.752,0.5700000000000001,0
0.07884174311926606,0.20759837177747623,0.026490066225165563,0.23408843800264179,0.29850746268656714,0.09090909090909091,0.11009174311926606,0.03125,0.026490066225165563,0.0,0.7660550458715596,0.6875,0.756,0.58,0
0.07884174311926606,0.20759837177747623,0.026490066225165563,0.23408843800264179,0.29850746268656714,0.09090909090909091,0.11009174311926606,0.03125,0.026490066225165563,0.0,0.7660550458715596,0.6875,0.756,0.59,0
0.07425458715596331,0.20759837177747623,0.019867549668874173,0.2274659214463504,0.29850746268656714,0.09090909090909091,0.10550458715596331,0.03125,0.019867549668874173,0.0,0.7706422018348624,0.6875,0.76,0.6,0
0.0650802752293578,0.17774762550881953,0.019867549668874173,0.1976151751776937,0.26865671641791045,0.09090909090909091,0.0963302752293578,0.03125,0.019867549668874173,0.0,0.7614678899082569,0.6875,0.752,0.61,0
0.04673165137614679,0.1180461329715061,0.019867549668874173,0.13791368264038026,0.208955223880597,0.09090909090909091,0.0779816513761468,0.03125,0.019867549668874173,0.0,0.7431192660550459,0.6875,0.736,0.62,0
0.03755733944954129,0.08819538670284938,0.019867549668874173,0.10806293637172355,0.1791044776119403,0.09090909090909091,0.06880733944954129,0.03125,0.019867549668874173,0.0,0.7339449541284404,0.6875,0.728,0.63,0
0.03755733944954129,0.08819538670284938,0.019867549668874173,0.10806293637172355,0.1791044776119403,0.09090909090909091,0.06880733944954129,0.03125,0.019867549668874173,0.0,0.7339449541284404,0.6875,0.728,0.64,0
0.028383027522935783,0.05834464043419266,0.019867549668874173,0.07821219010306683,0.14925373134328357,0.09090909090909091,0.05963302752293578,0.03125,0.019867549668874173,0.0,0.7247706422018348,0.6875,0.72,0.65,0
0.014621559633027525,0.028493894165535952,0.013245033112582781,0.04173892727811873,0.11940298507462686,0.09090909090909091,0.045871559633027525,0.03125,0.013245033112582781,0.0,0.7201834862385321,0.6875,0.716,0.66,0
0.010034403669724773,0.028493894165535952,0.006622516556291391,0.03511641072182734,0.11940298507462686,0.09090909090909091,0.04128440366972477,0.03125,0.006622516556291391,0.0,0.7247706422018348,0.6875,0.72,0.67,0
0.00544724770642202,0.013568521031207592,0.006622516556291391,0.020191037587498982,0.1044776119402985,0.09090909090909091,0.03669724770642202,0.03125,0.006622516556291391,0.0,0.7201834862385321,0.6875,0.716,0.68,0
-0.0037270642201834847,-0.016282225237449127,0.006622516556291391,0.022904741793740517,0.07462686567164178,0.09090909090909091,0.027522935779816515,0.03125,0.006622516556291391,0.0,0.7110091743119266,0.6875,0.708,0.6900000000000001,0
-0.008314220183486237,-0.03120759837177748,0.006622516556291391,0.03783011492806887,0.05970149253731343,0.09090909090909091,0.022935779816513763,0.03125,0.006622516556291391,0.0,0.7064220183486238,0.6875,0.704,0.7000000000000001,0
-0.017488532110091742,-0.04613297150610584,0.0,0.04613297150610584,0.04477611940298507,0.09090909090909091,0.013761467889908258,0.03125,0.0,0.0,0.7064220183486238,0.6875,0.704,0.71,0
-0.022075688073394495,-0.06105834464043419,0.0,0.06105834464043419,0.029850746268656716,0.09090909090909091,0.009174311926605505,0.03125,0.0,0.0,0.7018348623853211,0.6875,0.7,0.72,0
-0.026662844036697247,-0.07598371777476255,0.0,0.07598371777476255,0.014925373134328358,0.09090909090909091,0.0045871559633027525,0.03125,0.0,0.0,0.6972477064220184,0.6875,0.696,0.73,0
-0.026662844036697247,-0.07598371777476255,0.0,0.07598371777476255,0.014925373134328358,0.09090909090909091,0.0045871559633027525,0.03125,0.0,0.0,0.6972477064220184,0.6875,0.696,0.74,0
-0.026662844036697247,-0.07598371777476255,0.0,0.07598371777476255,0.014925373134328358,0.09090909090909091,0.0045871559633027525,0.03125,0.0,0.0,0.6972477064220184,0.6875,0.696,0.75,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6926605504587156,0.65625,0.688,0.76,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6926605504587156,0.65625,0.688,0.77,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6926605504587156,0.65625,0.688,0.78,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6926605504587156,0.65625,0.688,0.79,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6926605504587156,0.65625,0.688,0.8,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6926605504587156,0.65625,0.688,0.81,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6926605504587156,0.65625,0.688,0.8200000000000001,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6926605504587156,0.65625,0.688,0.8300000000000001,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6926605504587156,0.65625,0.688,0.84,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6926605504587156,0.65625,0.688,0.85,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6926605504587156,0.65625,0.688,0.86,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6926605504587156,0.65625,0.688,0.87,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6926605504587156,0.65625,0.688,0.88,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6926605504587156,0.65625,0.688,0.89,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6926605504587156,0.65625,0.688,0.9,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6926605504587156,0.65625,0.688,0.91,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6926605504587156,0.65625,0.688,0.92,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6926605504587156,0.65625,0.688,0.93,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6926605504587156,0.65625,0.688,0.9400000000000001,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6926605504587156,0.65625,0.688,0.9500000000000001,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6926605504587156,0.65625,0.688,0.96,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6926605504587156,0.65625,0.688,0.97,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6926605504587156,0.65625,0.688,0.98,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6926605504587156,0.65625,0.688,0.99,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6926605504587156,0.65625,0.688,1.0,0
-0.004545454545454519,0.0,-0.0062893081761006275,0.0062893081761006275,1.0,1.0,0.9954545454545455,1.0,0.9937106918238994,1.0,0.2818181818181818,0.4666666666666667,0.304,0.0,1
-0.009090909090909038,0.0,-0.012578616352201255,0.012578616352201255,1.0,1.0,0.990909090909091,1.0,0.9874213836477987,1.0,0.2863636363636364,0.4666666666666667,0.308,0.01,1
-0.009090909090909038,0.0,-0.012578616352201255,0.012578616352201255,1.0,1.0,0.990909090909091,1.0,0.9874213836477987,1.0,0.2863636363636364,0.4666666666666667,0.308,0.02,1
-0.018181818181818188,0.0,-0.02515723270440251,0.02515723270440251,1.0,1.0,0.9818181818181818,1.0,0.9748427672955975,1.0,0.29545454545454547,0.4666666666666667,0.316,0.03,1
