trial,adjust,score,label,group,repaired_score
0,0.0,1.0,0,white,1.0
0,-1.0,26.0,1,white,25.0
0,0.5,89.5,1,white,90.0
0,-0.5,42.0,1,white,41.5
0,0.5,83.5,1,white,84.0
0,0.0,58.0,1,white,58.0
0,-0.5,54.0,1,white,53.5
0,0.0,2.5,0,white,2.5
0,-1.0,59.5,1,white,58.5
0,-0.5,43.0,1,white,42.5
0,-0.5,8.0,0,white,7.5
0,-1.0,44.0,0,white,43.0
0,1.0,86.5,1,white,87.5
0,-1.0,4.5,0,white,3.5
0,-0.5,58.5,1,white,58.0
0,0.0,20.0,0,white,20.0
0,0.5,85.0,1,white,85.5
0,16.5,14.5,1,hispanic,31.0
0,-0.5,11.5,0,white,11.0
0,42.5,40.5,1,black,83.0
0,0.0,12.0,0,white,12.0
0,0.5,91.5,1,white,92.0
0,0.5,89.5,1,white,90.0
0,0.0,39.0,1,white,39.0
0,0.5,92.0,1,white,92.5
0,31.0,13.0,0,black,44.0
0,0.0,83.0,1,white,83.0
0,-1.0,51.0,1,white,50.0
0,0.0,25.0,1,white,25.0
0,0.0,66.0,1,white,66.0
0,-0.5,64.5,1,white,64.0
0,0.0,17.5,0,white,17.5
0,-0.5,51.5,1,white,51.0
0,-0.5,43.5,0,white,43.0
0,-4.5,21.0,1,asian,16.5
0,0.0,38.0,1,white,38.0
0,2.0,66.5,1,asian,68.5
0,41.5,21.5,1,black,63.0
0,0.0,3.5,0,white,3.5
0,-0.5,26.5,0,white,26.0
0,0.0,69.5,1,white,69.5
0,-0.5,63.5,1,white,63.0
0,-0.5,78.0,0,white,77.5
0,0.0,77.0,0,white,77.0
0,5.0,91.5,1,black,96.5
0,16.5,14.5,0,hispanic,31.0
0,-0.5,76.0,1,white,75.5
0,-1.0,31.0,0,white,30.0
0,13.0,3.5,0,black,16.5
0,0.5,94.5,1,white,95.0
0,2.0,89.5,1,asian,91.5
0,-1.0,33.5,1,white,32.5
0,2.0,56.0,1,asian,58.0
0,0.0,55.0,1,white,55.0
0,-0.5,47.0,1,white,46.5
0,34.5,17.5,0,black,52.0
0,-0.5,54.0,1,white,53.5
0,-0.5,78.0,1,white,77.5
0,0.0,49.0,1,white,49.0
0,0.5,89.5,1,white,90.0
0,16.0,79.0,1,black,95.0
0,26.5,45.0,1,hispanic,71.5
0,-0.5,44.5,0,white,44.0
0,0.5,88.0,1,white,88.5
0,0.0,84.5,1,white,84.5
0,-0.5,29.5,0,white,29.0
0,0.0,63.0,1,white,63.0
0,2.0,50.0,1,asian,52.0
0,1.0,89.0,1,white,90.0
0,0.0,62.0,0,white,62.0
0,0.0,16.5,0,white,16.5
0,2.5,1.0,0,hispanic,3.5
0,1.5,97.0,1,white,98.5
0,0.5,94.5,1,asian,95.0
0,0.0,77.0,1,white,77.0
0,-0.5,1.5,0,white,1.0
0,-0.5,59.0,1,white,58.5
0,0.0,50.0,1,white,50.0
0,-0.5,17.0,1,white,16.5
0,-1.0,16.0,0,white,15.0
0,-1.0,74.0,1,white,73.0
0,23.5,56.0,1,hispanic,79.5
0,-0.5,1.5,0,white,1.0
0,0.0,60.0,1,white,60.0
0,5.0,1.0,0,black,6.0
0,38.5,20.0,0,black,58.5
0,0.5,91.0,1,white,91.5
0,0.5,91.5,1,white,92.0
0,23.0,30.0,0,hispanic,53.0
0,-1.0,35.5,0,white,34.5
0,0.0,82.5,1,white,82.5
0,0.0,49.0,1,white,49.0
0,0.0,85.5,1,white,85.5
0,-0.5,11.5,0,white,11.0
0,-0.5,38.5,1,white,38.0
0,14.0,82.0,1,black,96.0
0,0.0,63.0,1,white,63.0
0,20.0,67.5,0,hispanic,87.5
0,-0.5,5.5,0,white,5.0
0,0.0,85.5,1,white,85.5
0,-1.0,53.0,1,white,52.0
0,0.5,82.0,1,white,82.5
0,0.0,57.0,1,white,57.0
0,0.0,46.5,1,white,46.5
0,-1.0,74.0,1,white,73.0
0,0.5,88.5,1,white,89.0
0,-0.5,40.5,1,white,40.0
0,-1.0,51.0,1,white,50.0
0,0.5,93.0,1,white,93.5
0,28.0,12.0,0,black,40.0
0,-0.5,74.5,1,white,74.0
0,0.5,93.0,1,white,93.5
0,0.5,92.5,1,white,93.0
0,0.5,94.0,1,white,94.5
0,0.0,76.5,1,white,76.5
0,-0.5,80.5,1,white,80.0
0,0.0,49.0,1,white,49.0
0,0.0,27.0,0,white,27.0
0,-1.0,30.0,0,white,29.0
0,0.0,55.0,1,white,55.0
0,-0.5,55.5,1,white,55.0
0,21.5,6.5,0,black,28.0
0,44.5,28.5,0,black,73.0
0,-0.5,48.5,1,white,48.0
0,0.0,2.5,0,white,2.5
0,1.0,87.5,1,white,88.5
0,-0.5,49.5,1,white,49.0
0,-0.5,46.0,1,white,45.5
0,0.5,82.0,1,white,82.5
0,-1.0,75.5,1,white,74.5
0,-1.0,61.0,0,white,60.0
0,42.5,36.0,1,black,78.5
0,0.0,71.5,1,white,71.5
0,-1.0,33.5,1,white,32.5
0,0.5,91.5,1,white,92.0
0,-1.0,52.0,1,white,51.0
0,0.0,84.5,1,white,84.5
0,44.0,33.0,1,black,77.0
0,20.5,74.0,1,black,94.5
0,-0.5,27.5,1,white,27.0
0,-1.0,52.0,1,white,51.0
0,-0.5,53.5,1,white,53.0
0,1.5,97.0,1,white,98.5
0,-0.5,34.0,0,white,33.5
0,0.5,87.0,1,white,87.5
