thresholds,tpr_A,tpr_B,selection_A,selection_B,fpr_A,fpr_B,trial,lambda,acc_overall,eqodds_A,eqodds_B
0.0,1.0,1.0,1.0,1.0,1.0,1.0,0,orig,0.22087791220877911,1.0,1.0
0.01,0.9829302987197724,0.9953519256308101,0.9543650793650794,0.9851691642206086,0.9472566371681416,0.9820817394805718,0,orig,0.24277572242775722,0.9643263384483691,0.9867298138497617
0.02,0.972972972972973,0.9907038512616202,0.9098639455782312,0.9689479375868995,0.8941592920353982,0.9623515200322126,0,orig,0.26617338266173385,0.9211863190624252,0.9716476687705924
0.03,0.957325746799431,0.9833997343957503,0.8679138321995464,0.9484010505175344,0.8456637168141593,0.9377894101067042,0,orig,0.28987101289871015,0.8883379700147283,0.9543896757109539
0.04,0.9374110953058321,0.9767596281540505,0.824546485260771,0.9232195272671095,0.7964601769911505,0.9069861083148782,0,orig,0.31666833316668336,0.8590490816853183,0.9302264801608278
0.05,0.903271692745377,0.9667994687915007,0.7769274376417233,0.8947937586899428,0.7454867256637168,0.8729615462049527,0,orig,0.34406559344065596,0.8422150329183398,0.906162077413452
0.06,0.8847795163584637,0.9561752988047809,0.735827664399093,0.8611154024409083,0.6987610619469027,0.8322931346889471,0,orig,0.3745625437456254,0.8139815455884389,0.8761178358841661
0.07,0.8691322901849218,0.9482071713147411,0.6984126984126984,0.8300633400278078,0.655929203539823,0.7942419971813972,0,orig,0.4032596740325967,0.7867969133549012,0.8460348258666561
0.08,0.8534850640113798,0.9395750332005313,0.6624149659863946,0.7980843503784952,0.6148672566371681,0.7551842158244413,0,orig,0.43185681431856815,0.7613821926257883,0.81560918262391
0.09,0.8392603129445235,0.9189907038512616,0.6267006802721088,0.7679592152016067,0.5738053097345133,0.7221662975639219,0,orig,0.4557544245575442,0.7345449967899897,0.8031755937126603
0.1,0.8250355618776671,0.900398406374502,0.5992063492063492,0.7375251042793141,0.5430088495575222,0.6881417354539964,0,orig,0.47755224477552244,0.717973287679855,0.7877433290794944
0.11,0.8008534850640113,0.8818061088977424,0.5677437641723356,0.7066275297389155,0.5097345132743363,0.6535131870344272,0,orig,0.49965003499650035,0.708881028210325,0.7717070781366848
0.12,0.7852062588904695,0.8652058432934927,0.5388321995464853,0.6757299551985169,0.47752212389380533,0.6182806523052145,0,orig,0.5226477352264773,0.6923158650033359,0.7530748090117217
0.13,0.7624466571834992,0.8466135458167331,0.5110544217687075,0.6445234049127143,0.44849557522123895,0.5832494463458828,0,orig,0.5438456154384561,0.6860489180377397,0.7366359005291497
0.14,0.748221906116643,0.8280212483399735,0.4846938775510204,0.6154796848447397,0.4191150442477876,0.5510368431648882,0,orig,0.5643435656434357,0.6708931381311447,0.7230155948249147
0.15,0.7382645803698435,0.8074369189907038,0.46201814058956914,0.585045573922447,0.39327433628318587,0.5176162673646064,0,orig,0.5844415558444156,0.6550097559133423,0.7101793483739026
0.16,0.7183499288762447,0.7841965471447543,0.43565759637188206,0.5519851691642206,0.3653097345132743,0.4815784175558687,0,orig,0.6053394660533946,0.6469598056370296,0.6973818704111144
0.17,0.6941678520625889,0.7729083665338645,0.40958049886621317,0.5286575003862197,0.33876106194690264,0.4546003623917858,0,orig,0.6228377162283771,0.6445932098843137,0.6816919958579213
