thresholds,tpr_A,tpr_B,selection_A,selection_B,fpr_A,fpr_B,trial,lambda,acc_overall,eqodds_A,eqodds_B
0.0,0.9985775248933144,1.0,0.9946145124716553,0.9958288274370461,0.9936283185840707,0.9945641232132072,0,orig,0.22527747225277472,0.9950507936907563,0.9945641232132072
0.01,0.9957325746799431,0.9953519256308101,0.979875283446712,0.9874864823111386,0.975929203539823,0.98510167102879,0,orig,0.23407659234076592,0.9801966288598799,0.9897497453979799
0.02,0.9943100995732574,0.9920318725099602,0.9552154195011338,0.9720376950409393,0.9454867256637168,0.9659754378900745,0,orig,0.2515748425157484,0.9511766260904594,0.9739435653801143
0.03,0.984352773826458,0.9853917662682603,0.9277210884353742,0.9513363200988723,0.9136283185840708,0.9410106704248037,0,orig,0.2712728727127287,0.9292755447576128,0.9556189041565434
0.04,0.972972972972973,0.9814077025232404,0.8922902494331065,0.9312528966476131,0.872212389380531,0.9160459029595329,0,orig,0.293970602939706,0.899239416407558,0.9346382004362925
0.05,0.9587482219061166,0.9734395750332006,0.8611111111111112,0.9037540553066584,0.8368141592920354,0.882625327159251,0,orig,0.3183681631836816,0.8780659373859188,0.9091857521260505
0.06,0.9473684210526315,0.9601593625498008,0.83078231292517,0.8767186775838097,0.8017699115044248,0.8514193678276626,0,orig,0.34096590340965904,0.8544014904517933,0.8912600052778618
0.07,0.9260312944523471,0.951527224435591,0.7939342403628118,0.8456666151707091,0.7610619469026548,0.813569559089994,0,orig,0.36846315368463156,0.8350306524503077,0.8620423346544029
0.08,0.914651493598862,0.9395750332005313,0.7559523809523809,0.8175498223389464,0.7164601769911504,0.7805516408294745,0,orig,0.39486051394860516,0.8018086833922884,0.8409766076289432
0.09,0.8961593172119487,0.9223107569721115,0.7202380952380952,0.7860342963077398,0.6764601769911505,0.7447151197906181,0,orig,0.42005799420057993,0.7803008597792017,0.8224043628185066
0.1,0.8748221906116643,0.9030544488711819,0.6819727891156463,0.7486482311138576,0.6339823008849558,0.7018320918059191,0,orig,0.44895510448955106,0.7591601102732914,0.7987776429347372
0.11,0.8605974395448079,0.8891102257636122,0.6454081632653061,0.7179051444461609,0.591858407079646,0.6659955707670626,0,orig,0.47555244475552444,0.731260967534838,0.7768853450034504
0.12,0.833570412517781,0.8731739707835325,0.6105442176870748,0.6849992275606365,0.5550442477876106,0.6279444332595128,0,orig,0.5005499450054994,0.7214738352698297,0.7547704624759802
0.13,0.8165007112375533,0.8545816733067729,0.572562358276644,0.65193882280241,0.511858407079646,0.5904972820616066,0,orig,0.5273472652734726,0.6953576958420927,0.7359156087548336
0.14,0.7809388335704125,0.8452855245683931,0.5385487528344671,0.6219681754982234,0.47823008849557525,0.5542581034829878,0,orig,0.5509449055094491,0.6972912549251628,0.7089725789145946
0.15,0.7553342816500711,0.8266932270916335,0.5062358276643991,0.5896802101035069,0.44424778761061945,0.5178175961344876,0,orig,0.5740425957404259,0.6889135059605483,0.6911243690428541
0.16,0.7411095305832148,0.798804780876494,0.47278911564625853,0.5620268808898502,0.40601769911504426,0.490235554660761,0,orig,0.5933406659334066,0.6649081685318294,0.6914307737842671
0.17,0.7197724039829303,0.7808764940239044,0.44246031746031744,0.5305113548586436,0.3734513274336283,0.4546003623917858,0,orig,0.6160383961603839,0.653678923450698,0.6737238683678815
0.18,0.6998577524893315,0.7695883134130146,0.4155328798185941,0.5050208558628148,0.3447787610619469,0.4248037044493658,0,orig,0.6358364163583642,0.6449210085726154,0.6552153910363512
