thresholds,tpr_A,tpr_B,selection_A,selection_B,fpr_A,fpr_B,trial,lambda,acc_overall,eqodds_A,eqodds_B
0.0,1.0,1.0,1.0,1.0,1.0,1.0,0,orig,0.22087791220877911,1.0,1.0
0.01,1.0,1.0,1.0,1.0,1.0,1.0,0,orig,0.22087791220877911,1.0,1.0
0.02,1.0,1.0,1.0,1.0,1.0,1.0,0,orig,0.22087791220877911,1.0,1.0
0.03,1.0,1.0,1.0,1.0,1.0,1.0,0,orig,0.22087791220877911,1.0,1.0
0.04,1.0,1.0,1.0,1.0,1.0,1.0,0,orig,0.22087791220877911,1.0,1.0
0.05,1.0,1.0,1.0,1.0,1.0,1.0,0,orig,0.22087791220877911,1.0,1.0
0.06,1.0,1.0,1.0,1.0,1.0,1.0,0,orig,0.22087791220877911,1.0,1.0
0.07,1.0,0.99867197875166,0.9997165532879818,0.999536536381894,0.9996460176991151,0.9997986712301188,0,orig,0.22087791220877911,0.9996460176991151,1.0011266924784588
0.08,0.9985775248933144,0.99867197875166,0.9988662131519275,0.999536536381894,0.9989380530973452,0.9997986712301188,0,orig,0.22097790220977903,1.0003605282040309,1.0011266924784588
0.09,0.9971550497866287,0.99867197875166,0.9977324263038548,0.999382048509192,0.9978761061946902,0.9995973424602376,0,orig,0.22127787221277873,1.0007210564080615,1.0009253637085775
0.1,0.9957325746799431,0.99800796812749,0.9971655328798186,0.9983006334002781,0.9975221238938053,0.9983893698409503,0,orig,0.22177782221777823,1.0017895492138622,1.0003814017134602
0.11,0.9943100995732574,0.9966799468791501,0.9946145124716553,0.9969102425459602,0.9946902654867257,0.9969800684517818,0,orig,0.22297770222977703,1.0003801659134681,1.0003001215726317
0.12,0.9886201991465149,0.9960159362549801,0.9872448979591837,0.9952108759462382,0.9869026548672566,0.9949667807529696,0,orig,0.22567743225677434,0.9982824557207417,0.9989508444979895
0.13,0.9715504978662873,0.9900398406374502,0.971655328798186,0.9882589216746486,0.9716814159292035,0.9877189450372458,0,orig,0.23147685231476853,1.0001309180629163,0.9976791043997956
0.14,0.9416785206258891,0.9774236387782205,0.9277210884353742,0.9695658890777074,0.9242477876106194,0.9671834105093617,0,orig,0.25107489251074894,0.9825692669847303,0.9897597717311413
0.15,0.8819345661450925,0.9455511288180611,0.828798185941043,0.9094701065966322,0.8155752212389381,0.8985302999798671,0,orig,0.30686931306869314,0.9336406550938456,0.952979171161806
0.16,0.7297297297297297,0.8320053120849934,0.558390022675737,0.7095627993202533,0.5157522123893805,0.6724380914032615,0,orig,0.47605239476052397,0.7860224826596508,0.8404327793182681
0.17,0.5135135135135135,0.5956175298804781,0.2471655328798186,0.304341109222926,0.1808849557522124,0.21602577008254478,0,orig,0.7465253474652535,0.6673714422386989,0.6204082402020666
0.18,0.4594594594594595,0.5630810092961488,0.19444444444444445,0.26201143210257993,0.12849557522123894,0.1707267968592712,0,orig,0.7751224877512248,0.6690361157617795,0.6076457875631224
0.19,0.42816500711237554,0.5391766268260292,0.1689342403628118,0.24192800865132086,0.10442477876106195,0.15180189249043688,0,orig,0.7855214478552145,0.6762597716486864,0.6126252656644077
0.2,0.4139402560455192,0.5219123505976095,0.15192743764172337,0.22678819712652556,0.08672566371681416,0.13730622105898932,0,orig,0.7941205879412059,0.6727854076712949,0.6153938704613797
0.21,0.39544807965860596,0.5073041168658698,0.1377551020408163,0.21396570369226015,0.07362831858407079,0.12502516609623515,0,orig,0.8004199580041996,0.6781802389254649,0.6177210492303653
0.22,0.38975817923186346,0.49734395750332006,0.1292517006802721,0.20515989494824657,0.06442477876106195,0.11656935776122408,0,orig,0.8053194680531947,0.6746665995291985,0.6192254002579041
0.23,0.38264580369843526,0.4853917662682603,0.12018140589569161,0.19697203769504093,0.05486725663716814,0.10952285081538152,0,orig,0.8092190780921907,0.6722214529387329,0.6241310845471212
