auc_roc_A,auc_roc_B,auc_roc_overall,trial,lambda
0.8028867713004484,0.7264899853444065,0.7723647231128528,0,orig
0.8067825112107623,0.725696140693698,0.7759767248545304,0,full
0.8041199551569507,0.7261846604787493,0.7732850413648418,0,tpr
0.8068385650224216,0.7256350757205666,0.7760361002256265,0,fpr
0.8050448430493273,0.7252076209086467,0.7745022364723112,0,eo_1
0.7984865470852018,0.725818270639961,0.7662886434706883,0,eo_2
0.7894966615305599,0.8277072192513368,0.807918219812493,1,orig
0.7877503852080124,0.8322192513368984,0.8079020832324798,1,full
0.7869029275808936,0.8356868315508021,0.8076035565022349,1,tpr
0.7878787878787878,0.8319268048128343,0.8079424246825129,1,fpr
0.7869029275808936,0.8356868315508021,0.8076035565022349,1,eo_1
0.7870826913199795,0.8348930481283423,0.8076519662422745,1,eo_2
0.7961266762452106,0.7515408962185574,0.7619209334726575,2,orig
0.798611111111111,0.746751624187906,0.7763758272378962,2,full
0.7981022509578544,0.7472930201565885,0.7756530825496344,2,tpr
0.7976532567049808,0.7472930201565884,0.7742859630790665,2,fpr
0.7981022509578544,0.7471680826253541,0.775783699059561,2,eo_1
0.7990900383141762,0.7463351657504581,0.7771159874608152,2,eo_2
0.7469688841201716,0.7867275553828216,0.7634402908680151,3,orig
0.748980686695279,0.7909055577147298,0.7659995058067706,3,full
0.751931330472103,0.7963952584531675,0.7689293656676903,3,tpr
0.7484710300429185,0.7901768363777691,0.7656465106428042,3,fpr
0.7508851931330471,0.7949378157792459,0.7682586748561544,3,eo_1
0.7517167381974249,0.7957636999611348,0.7685675456246249,3,eo_2
0.8123028883684622,0.7600574712643677,0.7928748780704088,4,orig
0.8118345042935207,0.7619047619047619,0.793406934468387,4,full
0.8118345042935207,0.7619047619047619,0.793406934468387,4,tpr
0.8118345042935207,0.7619047619047619,0.793406934468387,4,fpr
0.8118345042935207,0.7619047619047619,0.793406934468387,4,eo_1
0.8118345042935207,0.7619047619047619,0.793406934468387,4,eo_2
0.8363185723727693,0.7252977148374637,0.7861543248288737,5,orig
0.8346331791143424,0.7216500375496192,0.7852727649865173,5,full
0.8294117647058823,0.7111361441905375,0.775295581829496,5,tpr
0.834699272967614,0.7217573221757323,0.7853557353246214,5,fpr
0.8346992729676141,0.7216500375496192,0.7853038788633063,5,eo_1
0.8342366159947125,0.7205771912884883,0.7845571458203692,5,eo_2
0.7900032811987312,0.7991098059009774,0.7920323928944618,6,orig
0.7889915782565898,0.8033313449272702,0.7952194357366772,6,full
0.7889368916110686,0.8031936860459781,0.7950278648554511,6,tpr
0.789292354806956,0.8003487358326067,0.7931034482758621,6,fpr
0.7889368916110686,0.803147799752214,0.7950365726227796,6,eo_1
0.7884173684786174,0.8046161611526638,0.7957070707070707,6,eo_2
0.8373811731973104,0.792634740003161,0.806817420435511,7,orig
0.8372072803153258,0.7938596491228069,0.8167671691792296,7,full
0.8370623695803385,0.7940572151098467,0.8174204355108878,7,tpr
0.8370333874333411,0.7941362415046626,0.8172948073701843,7,fpr
0.8370333874333411,0.7940572151098466,0.8172780569514237,7,eo_1
0.8375840482262926,0.7938201359253991,0.8153433835845897,7,eo_2
0.7905179929651566,0.6875884016973126,0.7457689402445746,8,orig
0.7900369780236297,0.6892385667138142,0.748371884123063,8,full
0.7902173586267023,0.6885313531353134,0.7482698078925343,8,tpr
0.7901271683251662,0.6902993870815654,0.7487393585529674,8,fpr
0.7901271683251662,0.68988684582744,0.7485658289610682,8,eo_1
0.7890749481405765,0.6944837340876946,0.7503725782414308,8,eo_2
0.7630773000122505,0.7483042635658914,0.7572884012539185,9,orig
0.7624954061006982,0.7467700258397933,0.7570619993033786,9,full
0.7602597084405243,0.7440649224806202,0.7549198885405783,9,tpr
0.7626179100820776,0.747860142118863,0.7570097526994078,9,fpr
0.7601984564498346,0.7448724160206718,0.755599094392198,9,eo_1
0.7605965943893177,0.7454780361757106,0.7561650992685476,9,eo_2
