thresholds,tpr_A,tpr_B,selection_A,selection_B,fpr_A,fpr_B,trial,lambda,acc_overall,eqodds_A,eqodds_B
0.0,1.0,1.0,1.0,1.0,1.0,1.0,0,orig,0.03779244151169766,1.0,1.0
0.01,0.95,0.9130434782608695,0.8175965665236051,0.8666666666666667,0.8116591928251121,0.8651685393258427,0,orig,0.19376124775044992,0.8616591928251122,0.9521250610649732
0.02,0.925,0.9130434782608695,0.5182403433476395,0.5700680272108843,0.5,0.5589887640449438,0,orig,0.4907018596280744,0.575,0.6459452857840743
0.03,0.825,0.782608695652174,0.36802575107296137,0.39183673469387753,0.3475336322869955,0.3792134831460674,0,orig,0.644871025794841,0.5225336322869956,0.5966047874938935
0.04,0.8,0.6956521739130435,0.27253218884120173,0.30612244897959184,0.24887892376681614,0.29353932584269665,0,orig,0.7324535092981403,0.4488789237668161,0.5978871519296531
0.05,0.775,0.5652173913043478,0.22424892703862662,0.24761904761904763,0.19955156950672645,0.23735955056179775,0,orig,0.7804439112177565,0.42455156950672646,0.6721421592574499
0.06,0.65,0.4782608695652174,0.1781115879828326,0.2054421768707483,0.15695067264573992,0.19662921348314608,0,orig,0.8164367126574685,0.5069506726457399,0.7183683439179287
0.07,0.5,0.43478260869565216,0.1459227467811159,0.18639455782312925,0.13004484304932734,0.17837078651685392,0,orig,0.8344331133773245,0.6300448430493273,0.7435881778212018
0.08,0.45,0.34782608695652173,0.1223175965665236,0.15510204081632653,0.10762331838565023,0.14887640449438203,0,orig,0.856628674265147,0.6576233183856502,0.8010503175378603
0.09,0.425,0.34782608695652173,0.1148068669527897,0.1346938775510204,0.10089686098654709,0.12780898876404495,0,orig,0.8686262747450509,0.675896860986547,0.7799829018075233
0.1,0.375,0.2608695652173913,0.0944206008583691,0.11972789115646258,0.08183856502242152,0.1151685393258427,0,orig,0.8818236352729454,0.7068385650224215,0.8542989741084513
0.11,0.375,0.2608695652173913,0.08261802575107297,0.11156462585034013,0.06950672645739911,0.10674157303370786,0,orig,0.8920215956808638,0.6945067264573991,0.8458720078163166
0.12,0.35,0.21739130434782608,0.07725321888412018,0.10068027210884353,0.06502242152466367,0.09691011235955056,0,orig,0.8974205158968206,0.7150224215246637,0.8795188080117246
0.13,0.25,0.13043478260869565,0.06759656652360516,0.08979591836734693,0.05941704035874439,0.08848314606741572,0,orig,0.9004199160167966,0.8094170403587444,0.95804836345872
0.14,0.25,0.13043478260869565,0.06223175965665236,0.08299319727891157,0.053811659192825115,0.08146067415730338,0,orig,0.9064187162567486,0.8038116591928252,0.9510258915486077
0.15,0.175,0.13043478260869565,0.05257510729613734,0.0761904761904762,0.04708520179372197,0.07443820224719101,0,orig,0.9112177564487103,0.872085201793722,0.9440034196384953
0.16,0.15,0.13043478260869565,0.048283261802575105,0.06802721088435375,0.043721973094170405,0.06601123595505617,0,orig,0.9160167966406718,0.8937219730941703,0.9355764533463605
0.17,0.15,0.13043478260869565,0.04721030042918455,0.06802721088435375,0.042600896860986545,0.06601123595505617,0,orig,0.9166166766646671,0.8926008968609865,0.9355764533463605
0.18,0.125,0.13043478260869565,0.04184549356223176,0.05986394557823129,0.03811659192825112,0.05758426966292135,0,orig,0.9220155968806238,0.9131165919282511,0.9271494870542256
0.19,0.1,0.13043478260869565,0.03862660944206009,0.058503401360544216,0.03587443946188341,0.056179775280898875,0,orig,0.9232153569286142,0.9358744394618834,0.9257449926722032
0.2,0.1,0.08695652173913043,0.03648068669527897,0.04897959183673469,0.033632286995515695,0.047752808988764044,0,orig,0.9274145170965807,0.9336322869955157,0.9607962872496336
0.21,0.1,0.08695652173913043,0.03648068669527897,0.04353741496598639,0.033632286995515695,0.042134831460674156,0,orig,0.9298140371925615,0.9336322869955157,0.9551783097215438
0.22,0.1,0.08695652173913043,0.034334763948497854,0.03537414965986395,0.03139013452914798,0.033707865168539325,0,orig,0.9346130773845231,0.931390134529148,0.9467513434294089
0.23,0.1,0.08695652173913043,0.034334763948497854,0.02857142857142857,0.03139013452914798,0.026685393258426966,0,orig,0.937612477504499,0.931390134529148,0.9397288715192966
0.24,0.1,0.08695652173913043,0.032188841201716736,0.02585034013605442,0.02914798206278027,0.023876404494382022,0,orig,0.9400119976004799,0.9291479820627803,0.9369198827552516
0.25,0.1,0.043478260869565216,0.023605150214592276,0.02312925170068027,0.020179372197309416,0.02247191011235955,0,orig,0.9448110377924415,0.9201793721973094,0.9789936492427944
0.26,0.1,0.043478260869565216,0.0203862660944206,0.02040816326530612,0.016816143497757848,0.019662921348314606,0,orig,0.9478104379124175,0.9168161434977579,0.9761846604787494
0.27,0.1,0.043478260869565216,0.019313304721030045,0.013605442176870748,0.01569506726457399,0.012640449438202247,0,orig,0.9514097180563887,0.9156950672645741,0.969162188568637
0.28,0.075,0.043478260869565216,0.018240343347639486,0.013605442176870748,0.01569506726457399,0.012640449438202247,0,orig,0.9508098380323935,0.9406950672645741,0.969162188568637
0.29,0.05,0.043478260869565216,0.016094420600858368,0.010884353741496598,0.014573991031390135,0.009831460674157303,0,orig,0.9520095980803839,0.9645739910313901,0.9663531998045921
0.3,0.05,0.043478260869565216,0.016094420600858368,0.009523809523809525,0.014573991031390135,0.008426966292134831,0,orig,0.9526094781043791,0.9645739910313901,0.9649487054225696
