thresholds,tpr_A,tpr_B,selection_A,selection_B,fpr_A,fpr_B,trial,lambda,acc_overall,eqodds_A,eqodds_B
0.0,1.0,1.0,1.0,1.0,1.0,1.0,0,orig,0.03673163418290855,1.0,1.0
0.01,0.9583333333333334,0.8,0.5045395590142672,0.42451154529307283,0.4899598393574297,0.4070631970260223,0,orig,0.5569715142428786,0.5316265060240963,0.6070631970260223
0.02,0.9166666666666666,0.76,0.3631647211413748,0.3623445825932504,0.3453815261044177,0.34386617100371747,0,orig,0.6619190404797601,0.42871485943775106,0.5838661710037174
0.03,0.8333333333333334,0.76,0.3009079118028534,0.30017761989342806,0.2838018741633199,0.2788104089219331,0,orig,0.7211394302848576,0.45046854082998655,0.5188104089219331
0.04,0.75,0.76,0.2529182879377432,0.27708703374777977,0.23694779116465864,0.25464684014869887,0,orig,0.7556221889055472,0.48694779116465864,0.49464684014869886
0.05,0.75,0.68,0.20492866407263294,0.23978685612788633,0.18741633199464525,0.21933085501858737,0,orig,0.7961019490254873,0.43741633199464525,0.5393308550185874
0.06,0.7083333333333334,0.68,0.18417639429312582,0.216696269982238,0.16733601070950468,0.19516728624535315,0,orig,0.8163418290854573,0.4590026773761713,0.5151672862453531
0.07,0.7083333333333334,0.68,0.16861219195849547,0.19538188277087035,0.15127175368139223,0.17286245353159851,0,orig,0.8343328335832084,0.44293842034805886,0.49286245353159847
0.08,0.7083333333333334,0.64,0.1569390402075227,0.1847246891651865,0.1392235609103079,0.16356877323420074,0,orig,0.8440779610194903,0.43089022757697454,0.5235687732342007
0.09,0.7083333333333334,0.6,0.1504539559014267,0.15630550621669628,0.13253012048192772,0.13568773234200743,0,orig,0.8583208395802099,0.4241967871485943,0.5356877323420075
0.1,0.7083333333333334,0.6,0.14007782101167315,0.152753108348135,0.12182061579651941,0.13197026022304834,0,orig,0.8658170914542729,0.41348728246318606,0.5319702602230484
0.11,0.7083333333333334,0.6,0.1309987029831388,0.14742451154529307,0.11244979919678715,0.12639405204460966,0,orig,0.8733133433283359,0.4041164658634538,0.5263940520446097
0.12,0.7083333333333334,0.6,0.11284046692607004,0.13676731793960922,0.09370816599732262,0.11524163568773234,0,orig,0.8883058470764618,0.38537483266398925,0.5152416356877324
0.13,0.5416666666666666,0.6,0.10246433203631647,0.13321492007104796,0.08835341365461848,0.11152416356877323,0,orig,0.8898050974512743,0.5466867469879518,0.5115241635687733
0.14,0.5416666666666666,0.6,0.09987029831387809,0.13321492007104796,0.0856760374832664,0.11152416356877323,0,orig,0.8913043478260869,0.5440093708165997,0.5115241635687733
0.15,0.5416666666666666,0.6,0.09857328145265888,0.12966252220248667,0.08433734939759036,0.10780669144981413,0,orig,0.8935532233883059,0.5426706827309238,0.5078066914498142
0.16,0.5416666666666666,0.6,0.08819714656290532,0.1261101243339254,0.07362784471218206,0.10408921933085502,0,orig,0.9010494752623688,0.5319611780455155,0.504089219330855
0.17,0.4166666666666667,0.6,0.08300907911802853,0.12078152753108348,0.07228915662650602,0.09851301115241635,0,orig,0.9017991004497751,0.6556224899598393,0.49851301115241636
0.18,0.4166666666666667,0.56,0.07522697795071336,0.11367673179396093,0.0642570281124498,0.09293680297397769,0,orig,0.9077961019490255,0.6475903614457831,0.5329368029739776
0.19,0.4166666666666667,0.56,0.06614785992217899,0.108348134991119,0.05488621151271754,0.08736059479553904,0,orig,0.9152923538230885,0.6382195448460508,0.527360594795539
0.2,0.375,0.56,0.0609597924773022,0.0994671403197158,0.050870147255689425,0.07806691449814127,0,orig,0.9205397301349325,0.6758701472556894,0.5180669144981412
0.21,0.3333333333333333,0.44,0.05966277561608301,0.0941385435168739,0.050870147255689425,0.07806691449814127,0,orig,0.9175412293853074,0.7175368139223561,0.6380669144981413
0.22,0.3333333333333333,0.44,0.057068741893644616,0.08880994671403197,0.04819277108433735,0.0724907063197026,0,orig,0.9212893553223388,0.7148594377510041,0.6324907063197026
0.23,0.25,0.44,0.04539559014267185,0.08703374777975133,0.038821954484605084,0.07063197026022305,0,orig,0.9257871064467766,0.7888219544846051,0.6306319702602231
0.24,0.25,0.36,0.041504539559014265,0.0763765541740675,0.03480589022757698,0.06319702602230483,0,orig,0.9295352323838081,0.784805890227577,0.7031970260223048
0.25,0.25,0.36,0.040207522697795074,0.07282415630550622,0.03346720214190094,0.05947955390334572,0,orig,0.931784107946027,0.7834672021419009,0.6994795539033457
0.26,0.16666666666666666,0.36,0.0311284046692607,0.07104795737122557,0.02677376171352075,0.05762081784386617,0,orig,0.9347826086956522,0.8601070950468541,0.6976208178438662
0.27,0.16666666666666666,0.36,0.029831387808041506,0.06216696269982238,0.025435073627844713,0.048327137546468404,0,orig,0.93928035982009,0.8587684069611781,0.6883271375464685
0.28,0.125,0.36,0.023346303501945526,0.06216696269982238,0.020080321285140562,0.048327137546468404,0,orig,0.9415292353823088,0.8950803212851406,0.6883271375464685
0.29,0.125,0.36,0.020752269779507133,0.06039076376554174,0.01740294511378849,0.046468401486988845,0,orig,0.9437781109445277,0.8924029451137885,0.6864684014869888
0.3,0.125,0.28,0.019455252918287938,0.056838365896980464,0.01606425702811245,0.046468401486988845,0,orig,0.9430284857571214,0.8910642570281124,0.7664684014869888
0.31,0.125,0.28,0.019455252918287938,0.056838365896980464,0.01606425702811245,0.046468401486988845,0,orig,0.9430284857571214,0.8910642570281124,0.7664684014869888
0.32,0.125,0.28,0.019455252918287938,0.05328596802841918,0.01606425702811245,0.04275092936802974,0,orig,0.9445277361319341,0.8910642570281124,0.7627509293680297
0.33,0.125,0.28,0.019455252918287938,0.05328596802841918,0.01606425702811245,0.04275092936802974,0,orig,0.9445277361319341,0.8910642570281124,0.7627509293680297
0.34,0.125,0.2,0.016861219195849545,0.04440497335701599,0.013386880856760375,0.03717472118959108,0,orig,0.946776611694153,0.8883868808567603,0.8371747211895911
0.35000000000000003,0.125,0.2,0.016861219195849545,0.04262877442273535,0.013386880856760375,0.03531598513011153,0,orig,0.9475262368815592,0.8883868808567603,0.8353159851301115
0.36,0.125,0.2,0.016861219195849545,0.04262877442273535,0.013386880856760375,0.03531598513011153,0,orig,0.9475262368815592,0.8883868808567603,0.8353159851301115
0.37,0.125,0.2,0.014267185473411154,0.04262877442273535,0.0107095046854083,0.03531598513011153,0,orig,0.9490254872563718,0.8857095046854083,0.8353159851301115
0.38,0.125,0.2,0.014267185473411154,0.037300177619893425,0.0107095046854083,0.02973977695167286,0,orig,0.9512743628185907,0.8857095046854083,0.8297397769516729
0.39,0.125,0.2,0.011673151750972763,0.035523978685612786,0.008032128514056224,0.027881040892193308,0,orig,0.9535232383808095,0.8830321285140562,0.8278810408921934
0.4,0.125,0.16,0.011673151750972763,0.03019538188277087,0.008032128514056224,0.024163568773234202,0,orig,0.954272863568216,0.8830321285140562,0.8641635687732342
0.41000000000000003,0.125,0.16,0.010376134889753566,0.028419182948490232,0.006693440428380187,0.022304832713754646,0,orig,0.9557721139430285,0.8816934404283802,0.8623048327137546
0.42,0.125,0.12,0.010376134889753566,0.019538188277087035,0.006693440428380187,0.01486988847583643,0,orig,0.9580209895052474,0.8816934404283802,0.8948698884758365
0.43,0.125,0.12,0.010376134889753566,0.017761989342806393,0.006693440428380187,0.013011152416356878,0,orig,0.9587706146926537,0.8816934404283802,0.8930111524163569
0.44,0.125,0.12,0.010376134889753566,0.017761989342806393,0.006693440428380187,0.013011152416356878,0,orig,0.9587706146926537,0.8816934404283802,0.8930111524163569
