thresholds,tpr_A,tpr_B,selection_A,selection_B,fpr_A,fpr_B,trial,lambda,acc_overall,eqodds_A,eqodds_B
0.0,0.9166666666666666,0.88,0.490272373540856,0.5470692717584369,0.47657295850066933,0.5315985130111525,0,orig,0.5149925037481259,0.5599062918340028,0.6515985130111525
0.01,0.9166666666666666,0.88,0.3955901426718547,0.4547069271758437,0.3788487282463186,0.4349442379182156,0,orig,0.6086956521739131,0.46218206157965197,0.5549442379182157
0.02,0.9166666666666666,0.84,0.3527885862516213,0.3765541740674956,0.33467202141900937,0.3550185873605948,0,orig,0.6649175412293853,0.41800535475234274,0.5150185873605948
0.03,0.875,0.8,0.29961089494163423,0.31261101243339257,0.28112449799196787,0.2899628252788104,0,orig,0.719640179910045,0.40612449799196787,0.48996282527881035
0.04,0.8333333333333334,0.8,0.2607003891050584,0.2664298401420959,0.24230254350736277,0.241635687732342,0,orig,0.760119940029985,0.40896921017402943,0.44163568773234196
0.05,0.8333333333333334,0.76,0.22827496757457846,0.22202486678507993,0.20883534136546184,0.1970260223048327,0,orig,0.7961019490254873,0.37550200803212846,0.4370260223048327
0.06,0.8333333333333334,0.76,0.20363164721141375,0.2113676731793961,0.18340026773761714,0.18587360594795538,0,orig,0.8148425787106447,0.35006693440428377,0.42587360594795537
0.07,0.8333333333333334,0.76,0.1880674448767834,0.19182948490230906,0.16733601070950468,0.1654275092936803,0,orig,0.8320839580209896,0.3340026773761713,0.4054275092936803
0.08,0.8333333333333334,0.76,0.16731517509727625,0.17229129662522202,0.1459170013386881,0.1449814126394052,0,orig,0.8523238380809596,0.31258366800535475,0.3849814126394052
0.09,0.75,0.76,0.1504539559014267,0.15630550621669628,0.13119143239625167,0.12825278810408922,0,orig,0.8658170914542729,0.38119143239625164,0.36825278810408923
0.1,0.7083333333333334,0.76,0.13878080415045396,0.1438721136767318,0.12048192771084337,0.11524163568773234,0,orig,0.876311844077961,0.41214859437751,0.3552416356877323
0.11,0.7083333333333334,0.76,0.125810635538262,0.13143872113676733,0.107095046854083,0.10223048327137546,0,orig,0.889055472263868,0.3987617135207496,0.34223048327137545
0.12,0.625,0.76,0.10505836575875487,0.13143872113676733,0.08835341365461848,0.10223048327137546,0,orig,0.8980509745127436,0.46335341365461846,0.34223048327137545
0.13,0.625,0.76,0.0959792477302205,0.12433392539964476,0.07898259705488621,0.09479553903345725,0,orig,0.9062968515742129,0.4539825970548862,0.33479553903345727
