auc_roc_A,auc_roc_B,auc_roc_overall,trial,lambda
0.7979820627802691,0.784990229604299,0.7914242172346913,0,orig
0.7927690582959641,0.7842574499267221,0.7902960851838657,0,full
0.7915919282511211,0.7831582804103567,0.7894153505126074,0,tpr
0.7950392376681614,0.7845017098192478,0.7903851482405099,0,fpr
0.7922365470852017,0.7840131900341962,0.7899695206428374,0,eo_1
0.7923206278026906,0.7840131900341964,0.7900486878042988,0,eo_2
0.8234463276836159,0.6795203877005347,0.7655354924077391,1,orig
0.8254750898818696,0.6800217245989305,0.7640912684965547,1,full
0.8276065742167438,0.6791026069518716,0.7574429975311032,1,tpr
0.8266563944530047,0.6800635026737968,0.7630908005357343,1,fpr
0.8256805341551104,0.6798963903743316,0.7639218344064158,1,eo_1
0.8253210066769389,0.6801470588235294,0.7647205951170709,1,eo_2
0.8083692528735633,0.7653673163418291,0.7837077673284569,2,orig
0.8024425287356323,0.7754456105280694,0.7855538140020898,2,full
0.8018738026819924,0.776111944027986,0.7853012887495645,2,tpr
0.8019636015325671,0.7761952357154756,0.7853187042842215,2,fpr
0.8018738026819924,0.776111944027986,0.7853012887495645,2,eo_1
0.8024425287356323,0.7754456105280694,0.7855538140020898,2,eo_2
0.7436695278969957,0.8180625728721337,0.7790603268735218,3,orig
0.7465128755364806,0.8111640108822387,0.7736683257439373,3,full
0.7288358369098712,0.7149242129809561,0.7147622577570687,3,tpr
0.7483369098712447,0.8082005441119315,0.7722298704507748,3,fpr
0.7511266094420601,0.7572872133696075,0.7482791485756646,3,eo_1
0.7505096566523605,0.7942090944422853,0.7652140915669455,3,eo_2
0.7660577673692428,0.6918445539135194,0.7352021814312317,4,orig
0.7654332552693208,0.6932129173508483,0.7357342378292099,4,full
0.7653708040593287,0.693486590038314,0.7357342378292098,4,tpr
0.7661826697892272,0.6914340448823207,0.7351245898731933,4,fpr
0.7653708040593287,0.693486590038314,0.7357342378292098,4,eo_1
0.7666510538641685,0.6947865353037767,0.7377848718630842,4,eo_2
0.7162590879048248,0.6647891857096877,0.6970649242895665,5,orig
0.727428949107733,0.6625898508743697,0.7030491599253267,5,full
0.7288169200264375,0.6620534277438044,0.7030284173408007,5,tpr
0.7251487111698612,0.6632335586310482,0.7023542833437048,5,fpr
0.7253469927296762,0.6633408432571613,0.7024579962663348,5,eo_1
0.721447455386649,0.6645746164574616,0.7011512134411948,5,eo_2
0.6924149622662147,0.6906346074427568,0.6905607802159526,6,orig
0.6919501257792846,0.6876061120543294,0.6883838383838383,6,full
0.6919227824565242,0.6876519983480935,0.6882532218739116,6,tpr
0.6457399103139013,0.6901298582113523,0.6622169975618252,6,fpr
0.6919227824565242,0.6876519983480935,0.6882532218739116,6,eo_1
0.6919501257792846,0.6876061120543294,0.6883838383838383,6,eo_2
0.6310572687224669,0.7596412201675361,0.6967336683417086,7,orig
0.6179863204266173,0.7600363521416154,0.6916164154103853,7,full
0.6159865522837932,0.7591670617986407,0.6898994974874372,7,tpr
0.6136100162300022,0.758455824245298,0.6877554438860971,7,fpr
0.6144215163459308,0.7586533902323376,0.6885092127303183,7,eo_1
0.6016983538140506,0.7510273431326064,0.6748408710217756,7,eo_2
0.6170519796771188,0.7229490806223479,0.6649245656656391,8,orig
0.6112497369449539,0.7239509665252241,0.6546863197435846,8,full
0.6112497369449539,0.7239509665252241,0.6546863197435846,8,tpr
0.6086342182004029,0.725129655822725,0.65012351223894,8,fpr
0.6112497369449539,0.7239509665252241,0.6546863197435846,8,eo_1
0.6073715539788956,0.7256600660066006,0.6475001531143456,8,eo_2
0.6766813671444322,0.7268653100775193,0.7042668059909439,9,orig
0.6728224917309813,0.7186288759689923,0.6921194705677463,9,full
0.6764057331863286,0.7268249354005167,0.7024991292232672,9,tpr
0.672669361754257,0.7202034883720929,0.6939742250087078,9,fpr
0.6737106455959819,0.725048449612403,0.7004528039010798,9,eo_1
0.6712911919637388,0.71156330749354,0.6797370254266805,9,eo_2
