thresholds,tpr_A,tpr_B,selection_A,selection_B,fpr_A,fpr_B,trial,lambda,acc_overall,eqodds_A,eqodds_B
0.0,1.0,1.0,1.0,1.0,1.0,1.0,0,orig,0.03673163418290855,1.0,1.0
0.01,1.0,1.0,1.0,0.9964476021314387,1.0,0.9962825278810409,0,orig,0.03823088455772114,1.0,0.9962825278810409
0.02,1.0,1.0,0.9922178988326849,0.9875666074600356,0.9919678714859438,0.9869888475836431,0,orig,0.046476761619190406,0.9919678714859438,0.9869888475836431
0.03,1.0,0.92,0.9636835278858625,0.7904085257548845,0.9625167336010709,0.7843866171003717,0,orig,0.1431784107946027,0.9625167336010709,0.8643866171003717
0.04,0.9166666666666666,0.84,0.8625162127107653,0.5310834813499112,0.8607764390896921,0.516728624535316,0,orig,0.30509745127436283,0.9441097724230255,0.676728624535316
0.05,0.7083333333333334,0.76,0.46433203631647213,0.32326820603907636,0.4564926372155288,0.30297397769516726,0,orig,0.6124437781109445,0.7481593038821954,0.5429739776951672
0.06,0.4583333333333333,0.72,0.125810635538262,0.20071047957371227,0.11512717536813923,0.17657992565055763,0,orig,0.8493253373313343,0.656793842034806,0.45657992565055766
0.07,0.2916666666666667,0.56,0.057068741893644616,0.0941385435168739,0.049531459170013385,0.0724907063197026,0,orig,0.9220389805097451,0.7578647925033466,0.5124907063197025
0.08,0.20833333333333334,0.56,0.042801556420233464,0.08880994671403197,0.03748326639892905,0.06691449814126393,0,orig,0.9295352323838081,0.8291499330655957,0.5069144981412639
0.09,0.20833333333333334,0.36,0.040207522697795074,0.06571936056838366,0.03480589022757698,0.05204460966542751,0,orig,0.9332833583208395,0.8264725568942436,0.6920446096654276
0.1,0.20833333333333334,0.36,0.03501945525291829,0.0586145648312611,0.029451137884872823,0.04460966542750929,0,orig,0.93928035982009,0.8211178045515395,0.6846096654275093
0.11,0.16666666666666666,0.32,0.0324254215304799,0.0497335701598579,0.028112449799196786,0.03717472118959108,0,orig,0.9415292353823088,0.8614457831325302,0.717174721189591
0.12,0.16666666666666666,0.28,0.028534370946822308,0.047957371225577264,0.024096385542168676,0.03717472118959108,0,orig,0.9430284857571214,0.857429718875502,0.7571747211895911
0.13,0.16666666666666666,0.28,0.02594033722438392,0.046181172291296625,0.0214190093708166,0.03531598513011153,0,orig,0.9452773613193404,0.85475234270415,0.7553159851301114
0.14,0.16666666666666666,0.28,0.02464332036316472,0.04262877442273535,0.020080321285140562,0.031598513011152414,0,orig,0.9475262368815592,0.853413654618474,0.7515985130111524
0.15,0.125,0.28,0.019455252918287938,0.04262877442273535,0.01606425702811245,0.031598513011152414,0,orig,0.9490254872563718,0.8910642570281124,0.7515985130111524
0.16,0.125,0.28,0.019455252918287938,0.04262877442273535,0.01606425702811245,0.031598513011152414,0,orig,0.9490254872563718,0.8910642570281124,0.7515985130111524
0.17,0.125,0.24,0.019455252918287938,0.04085257548845471,0.01606425702811245,0.031598513011152414,0,orig,0.9482758620689655,0.8910642570281124,0.7915985130111525
0.18,0.125,0.24,0.018158236057068743,0.04085257548845471,0.014725568942436412,0.031598513011152414,0,orig,0.9490254872563718,0.8897255689424364,0.7915985130111525
0.19,0.125,0.2,0.018158236057068743,0.037300177619893425,0.014725568942436412,0.02973977695167286,0,orig,0.9490254872563718,0.8897255689424364,0.8297397769516729
0.2,0.125,0.2,0.016861219195849545,0.037300177619893425,0.013386880856760375,0.02973977695167286,0,orig,0.9497751124437781,0.8883868808567603,0.8297397769516729
0.21,0.125,0.2,0.016861219195849545,0.037300177619893425,0.013386880856760375,0.02973977695167286,0,orig,0.9497751124437781,0.8883868808567603,0.8297397769516729
0.22,0.125,0.2,0.016861219195849545,0.03197158081705151,0.013386880856760375,0.024163568773234202,0,orig,0.952023988005997,0.8883868808567603,0.8241635687732343
0.23,0.125,0.2,0.016861219195849545,0.02664298401420959,0.013386880856760375,0.01858736059479554,0,orig,0.954272863568216,0.8883868808567603,0.8185873605947955
0.24,0.125,0.2,0.016861219195849545,0.02664298401420959,0.013386880856760375,0.01858736059479554,0,orig,0.954272863568216,0.8883868808567603,0.8185873605947955
0.25,0.125,0.2,0.016861219195849545,0.02664298401420959,0.013386880856760375,0.01858736059479554,0,orig,0.954272863568216,0.8883868808567603,0.8185873605947955
0.26,0.125,0.2,0.01556420233463035,0.02664298401420959,0.012048192771084338,0.01858736059479554,0,orig,0.9550224887556222,0.8870481927710844,0.8185873605947955
