auc_roc_A,auc_roc_B,auc_roc_overall,trial,lambda
0.8138695362258859,0.8223622311827957,0.8299047354679346,0,orig
0.8146168172725392,0.8156586021505376,0.803325810331857,0,full
0.8145171797996521,0.8160954301075268,0.812063756431764,0,tpr
0.8144520322212259,0.8162298387096774,0.8148496807753116,0,fpr
0.8144711932737041,0.8161962365591398,0.8141738175410648,0,eo_1
0.8144520322212259,0.8162298387096774,0.8148496807753116,0,eo_2
0.8161043624054919,0.7987745995804336,0.8371124031007753,1,orig
0.8165037486950744,0.7982751157137624,0.7956395348837209,1,full
0.816468159817785,0.7983417135626519,0.8145570897932818,1,tpr
0.816515611654171,0.7983084146382072,0.809780765503876,1,fpr
0.8164958400556768,0.7983084146382072,0.812796753875969,1,eo_1
0.8163613931859163,0.7986747028070993,0.8203104812661499,1,eo_2
0.7861941718024804,0.795167004048583,0.8151311610962647,2,orig
0.7859088488168605,0.7903050896471949,0.7771000355515078,2,full
0.7861218899794568,0.7921847888953152,0.7970448308507196,2,tpr
0.7860648253823329,0.7916425679583575,0.7904078836467059,2,fpr
0.7860762383017578,0.7918956043956044,0.7950355714805006,2,eo_1
0.786000152172259,0.7911364950838635,0.7861776536803801,2,eo_2
0.8038444363252547,0.8229746444032158,0.8268775688130526,3,orig
0.8037794828076158,0.8199752628324057,0.7985178727114212,3,full
0.8038200787561401,0.8201607915893631,0.8072674056545024,3,tpr
0.803885032273779,0.8201607915893631,0.8102627973595715,3,fpr
0.8038931514634838,0.8201917130488559,0.809152239797401,3,eo_1
0.8037794828076158,0.8199443413729128,0.7991219329929008,3,eo_2
0.8126786060134149,0.8011022044088176,0.8274274013108481,4,orig
0.8124908597199221,0.7969367306040653,0.7997675576955007,4,full
0.812506669934111,0.7981105067277411,0.8184420040637871,4,tpr
0.8124987648270164,0.7973947895791583,0.8120360048385948,4,fpr
0.8125145750412053,0.7979673632980245,0.8173390890475399,4,eo_1
0.8125106224876582,0.7980532493558545,0.8203256564123241,4,eo_2
0.81524739819689,0.8863933996856994,0.8541222726994927,5,orig
0.8151396200157318,0.8860223502706478,0.8112127447185609,5,full
0.8151963453742361,0.8861096560153658,0.8188624279340763,5,tpr
0.815200127064803,0.8862842675048018,0.823450200664127,5,fpr
0.8151963453742361,0.8861096560153658,0.8208975899932772,5,eo_1
0.8151963453742361,0.8861096560153658,0.8208975899932772,5,eo_2
0.7924579533941236,0.767934433553936,0.8108954940185561,6,orig
0.792774062816616,0.7695959342101589,0.7762274730627132,6,full
0.7925876393110437,0.7697076317332663,0.7941262656861929,6,tpr
0.7926443768996961,0.7697355561140431,0.7883230177681155,6,fpr
0.7926241134751772,0.76976348049482,0.7912256317046223,6,eo_1
0.792774062816616,0.7695959342101589,0.7762274730627132,6,eo_2
0.8228864254499892,0.813761620185923,0.842646378652117,7,orig
0.8229074351373651,0.8099269588313412,0.8060840525857812,7,full
0.8229952938300278,0.8113545816733069,0.8285513824541599,7,tpr
0.8229418146257983,0.8107569721115538,0.8159811230529228,7,fpr
0.8229876539437093,0.8110557768924302,0.8252530122370906,7,eo_1
0.8229952938300278,0.8113545816733069,0.8285513824541599,7,eo_2
0.8165916169462268,0.8296075273909886,0.825758025747334,8,orig
0.8169011970430409,0.8329386505004578,0.8139951134712172,8,full
0.8167623550602274,0.8331280982602381,0.8259837406100636,8,tpr
0.8168749296408871,0.8328755012471978,0.8211585904304817,8,fpr
0.8167961274344252,0.8330017997537179,0.8235761154076133,8,eo_1
0.8167510976021615,0.8327176281140476,0.8321691198308327,8,eo_2
0.8048151245903891,0.8192945817380206,0.8258193835966383,9,orig
0.8042070216694749,0.8132904049193642,0.7917778019157504,9,full
0.804489860237342,0.8146826778048498,0.8144755421992107,9,tpr
0.8043282381985607,0.8137544958811928,0.8043939156216936,9,fpr
0.8044494547276466,0.8143636152685926,0.8120094459932977,9,eo_1
0.8043322787495303,0.8138125072514213,0.7998921837221559,9,eo_2
