thresholds,tpr_A,tpr_B,selection_A,selection_B,fpr_A,fpr_B,trial,lambda,acc_overall,eqodds_A,eqodds_B
0.0,1.0,1.0,1.0,1.0,1.0,1.0,0,orig,0.23335332933413316,1.0,1.0
0.01,1.0,1.0,1.0,0.9797047970479705,1.0,0.9770833333333333,0,orig,0.23995200959808038,1.0,0.9770833333333333
0.02,1.0,1.0,0.9955555555555555,0.9188191881918819,0.993734335839599,0.9083333333333333,0,orig,0.262747450509898,0.993734335839599,0.9083333333333333
0.03,1.0,1.0,0.9866666666666667,0.8136531365313653,0.981203007518797,0.7895833333333333,0,orig,0.30293941211757647,0.981203007518797,0.7895833333333333
0.04,1.0,0.9838709677419355,0.9715555555555555,0.6992619926199262,0.9598997493734336,0.6625,0,orig,0.34913017396520696,0.9598997493734336,0.6786290322580645
0.05,1.0,0.9516129032258065,0.9591111111111111,0.6512915129151291,0.9423558897243107,0.6125,0,orig,0.3707258548290342,0.9423558897243107,0.6608870967741935
0.06,1.0,0.9354838709677419,0.9475555555555556,0.5498154981549815,0.9260651629072681,0.5,0,orig,0.41031793641271747,0.9260651629072681,0.5645161290322581
0.07,1.0,0.9032258064516129,0.9244444444444444,0.496309963099631,0.893483709273183,0.44375,0,orig,0.4409118176364727,0.893483709273183,0.5405241935483871
0.08,1.0,0.8548387096774194,0.904,0.44649446494464945,0.8646616541353384,0.39375,0,orig,0.4673065386922616,0.8646616541353384,0.5389112903225806
0.09,0.9938837920489296,0.7741935483870968,0.8906666666666667,0.3874538745387454,0.8483709273182958,0.3375,0,orig,0.4871025794841032,0.8544871352693661,0.5633064516129033
0.1,0.9938837920489296,0.7096774193548387,0.8675555555555555,0.3339483394833948,0.8157894736842105,0.28541666666666665,0,orig,0.5152969406118776,0.8219056816352809,0.5757392473118279
0.11,0.9938837920489296,0.6935483870967742,0.8435555555555555,0.3044280442804428,0.7819548872180451,0.25416666666666665,0,orig,0.5398920215956808,0.7880710951691154,0.5606182795698924
0.12,0.9908256880733946,0.6774193548387096,0.8186666666666667,0.28413284132841327,0.7481203007518797,0.23333333333333334,0,orig,0.5608878224355129,0.7572946126784852,0.5559139784946237
0.13,0.981651376146789,0.6774193548387096,0.784,0.24538745387453875,0.7030075187969925,0.18958333333333333,0,orig,0.5932813437312537,0.7213561426502035,0.5121639784946237
0.14,0.9785932721712538,0.6129032258064516,0.7582222222222222,0.20848708487084872,0.6679197994987469,0.15625,0,orig,0.6166766646670666,0.6893265273274931,0.5433467741935484
0.15,0.9724770642201835,0.5483870967741935,0.7368888888888889,0.17712177121771217,0.6403508771929824,0.12916666666666668,0,orig,0.6340731853629274,0.6678738129727989,0.5807795698924731
0.16,0.9602446483180428,0.5161290322580645,0.7128888888888889,0.15867158671586715,0.6115288220551378,0.1125,0,orig,0.6490701859628074,0.651284173737095,0.5963709677419355
0.17,0.9541284403669725,0.46774193548387094,0.688,0.13653136531365315,0.5789473684210527,0.09375,0,orig,0.6670665866826635,0.6248189280540801,0.626008064516129
0.18,0.9418960244648318,0.43548387096774194,0.656,0.12546125461254612,0.5388471177944862,0.08541666666666667,0,orig,0.6850629874025195,0.5969510933296545,0.6499327956989247
0.19,0.9113149847094801,0.4032258064516129,0.6302222222222222,0.1088560885608856,0.5150375939849624,0.07083333333333333,0,orig,0.6934613077384523,0.6037226092754823,0.6676075268817204
0.2,0.8960244648318043,0.3870967741935484,0.6035555555555555,0.0996309963099631,0.48370927318295737,0.0625,0,orig,0.707258548290342,0.587684808351153,0.6754032258064516
0.21,0.8837920489296636,0.3387096774193548,0.5813333333333334,0.08856088560885608,0.4573934837092732,0.05625,0,orig,0.7174565086982604,0.5736014347796097,0.7175403225806453
0.22,0.8715596330275229,0.3225806451612903,0.5653333333333334,0.08302583025830258,0.4398496240601504,0.052083333333333336,0,orig,0.7240551889622076,0.5682899910326275,0.7295026881720431
0.23,0.8623853211009175,0.3225806451612903,0.5493333333333333,0.07749077490774908,0.42105263157894735,0.04583333333333333,0,orig,0.7330533893221356,0.5586673104780299,0.723252688172043
0.24,0.8440366972477065,0.3225806451612903,0.5351111111111111,0.07380073800738007,0.40852130325814534,0.041666666666666664,0,orig,0.7366526694661067,0.5644846060104389,0.7190860215053764
0.25,0.8318042813455657,0.3064516129032258,0.5155555555555555,0.06273062730627306,0.38596491228070173,0.03125,0,orig,0.7474505098980204,0.554160630935136,0.7247983870967742
0.26,0.8073394495412844,0.2903225806451613,0.4888888888888889,0.055350553505535055,0.3583959899749373,0.025,0,orig,0.7570485902819436,0.5510565404336529,0.7346774193548388
0.27,0.7981651376146789,0.27419354838709675,0.4746666666666667,0.04981549815498155,0.34210526315789475,0.020833333333333332,0,orig,0.7636472705458909,0.5439401255432159,0.7466397849462366
0.28,0.7859327217125383,0.25806451612903225,0.45955555555555555,0.04428044280442804,0.3258145363408521,0.016666666666666666,0,orig,0.7696460707858428,0.5398818146283139,0.7586021505376345
0.29,0.764525993883792,0.24193548387096775,0.44177777777777777,0.04059040590405904,0.30952380952380953,0.014583333333333334,0,orig,0.7732453509298141,0.5449978156400175,0.7726478494623655
0.3,0.746177370030581,0.24193548387096775,0.42577777777777776,0.04059040590405904,0.29448621553884713,0.014583333333333334,0,orig,0.7768446310737852,0.5483088455082661,0.7726478494623655
0.31,0.7400611620795107,0.22580645161290322,0.41244444444444445,0.03874538745387454,0.2781954887218045,0.014583333333333334,0,orig,0.7828434313137372,0.5381343266422938,0.78877688172043
0.32,0.7247706422018348,0.1935483870967742,0.4008888888888889,0.03505535055350553,0.2681704260651629,0.014583333333333334,0,orig,0.7834433113377325,0.543399783863328,0.821034946236559
0.33,0.7033639143730887,0.16129032258064516,0.38133333333333336,0.027675276752767528,0.24937343358395989,0.010416666666666666,0,orig,0.788242351529694,0.5460095192108713,0.8491263440860215
0.34,0.691131498470948,0.14516129032258066,0.3688888888888889,0.023985239852398525,0.23684210526315788,0.008333333333333333,0,orig,0.7918416316736653,0.5457106067922098,0.8631720430107527
0.35000000000000003,0.672782874617737,0.12903225806451613,0.34933333333333333,0.02214022140221402,0.21679197994987467,0.008333333333333333,0,orig,0.7972405518896221,0.5440091053321376,0.8793010752688172
0.36,0.654434250764526,0.12903225806451613,0.3377777777777778,0.02029520295202952,0.20802005012531327,0.00625,0,orig,0.7984403119376124,0.5535857993607873,0.8772177419354839
0.37,0.6238532110091743,0.12903225806451613,0.31822222222222224,0.016605166051660517,0.19298245614035087,0.0020833333333333333,0,orig,0.8008398320335933,0.5691292451311765,0.8730510752688172
0.38,0.6055045871559633,0.11290322580645161,0.3075555555555556,0.014760147601476014,0.18546365914786966,0.0020833333333333333,0,orig,0.8002399520095981,0.5799590719919063,0.8891801075268817
0.39,0.5963302752293578,0.0967741935483871,0.296,0.012915129151291513,0.17293233082706766,0.0020833333333333333,0,orig,0.8038392321535693,0.5766020555977098,0.9053091397849462
0.4,0.5749235474006116,0.0967741935483871,0.2862222222222222,0.01107011070110701,0.16791979949874686,0.0,0,orig,0.8026394721055788,0.5929962520981353,0.9032258064516129
0.41000000000000003,0.5596330275229358,0.08064516129032258,0.272,0.00922509225092251,0.15413533834586465,0.0,0,orig,0.8056388722255549,0.5945023108229289,0.9193548387096774
0.42,0.5443425076452599,0.08064516129032258,0.25955555555555554,0.00922509225092251,0.14285714285714285,0.0,0,orig,0.8080383923215357,0.5985146352118829,0.9193548387096774
0.43,0.5290519877675841,0.08064516129032258,0.24533333333333332,0.00922509225092251,0.12907268170426064,0.0,0,orig,0.8116376724655069,0.6000206939366766,0.9193548387096774
0.44,0.5107033639143731,0.06451612903225806,0.23466666666666666,0.007380073800738007,0.12155388471177944,0.0,0,orig,0.8110377924415118,0.6108505207974063,0.935483870967742
0.45,0.4892966360856269,0.06451612903225806,0.21688888888888888,0.007380073800738007,0.10526315789473684,0.0,0,orig,0.8146370725854829,0.6159665218091099,0.935483870967742
0.46,0.4709480122324159,0.06451612903225806,0.20622222222222222,0.007380073800738007,0.09774436090225563,0.0,0,orig,0.8146370725854829,0.6267963486698398,0.935483870967742
0.47000000000000003,0.45871559633027525,0.06451612903225806,0.1991111111111111,0.007380073800738007,0.09273182957393483,0.0,0,orig,0.8146370725854829,0.6340162332436596,0.935483870967742
0.48,0.43730886850152906,0.06451612903225806,0.18666666666666668,0.007380073800738007,0.08395989974937343,0.0,0,orig,0.8146370725854829,0.6466510312478444,0.935483870967742
0.49,0.41590214067278286,0.04838709677419355,0.17422222222222222,0.005535055350553505,0.07518796992481203,0.0,0,orig,0.8140371925614877,0.6592858292520292,0.9516129032258065
0.5,0.39755351681957185,0.04838709677419355,0.16622222222222222,0.005535055350553505,0.07142857142857142,0.0,0,orig,0.8122375524895021,0.6738750546089995,0.9516129032258065
0.51,0.3730886850152905,0.04838709677419355,0.15733333333333333,0.005535055350553505,0.06892230576441102,0.0,0,orig,0.8086382723455309,0.6958336207491205,0.9516129032258065
0.52,0.3547400611620795,0.04838709677419355,0.14755555555555555,0.005535055350553505,0.06265664160401002,0.0,0,orig,0.8080383923215357,0.7079165804419305,0.9516129032258065
0.53,0.3486238532110092,0.04838709677419355,0.144,0.005535055350553505,0.06015037593984962,0.0,0,orig,0.8080383923215357,0.7115265227288404,0.9516129032258065
0.54,0.3241590214067278,0.04838709677419355,0.13155555555555556,0.005535055350553505,0.05263157894736842,0.0,0,orig,0.8068386322735452,0.7284725575406406,0.9516129032258065
0.55,0.308868501529052,0.03225806451612903,0.12444444444444444,0.0036900369003690036,0.04887218045112782,0.0,0,orig,0.8050389922015597,0.7400036789220759,0.967741935483871
0.56,0.30275229357798167,0.03225806451612903,0.12,0.0036900369003690036,0.045112781954887216,0.0,0,orig,0.8056388722255549,0.7423604883769056,0.967741935483871
0.5700000000000001,0.28134556574923547,0.03225806451612903,0.112,0.0036900369003690036,0.042606516290726815,0.0,0,orig,0.8026394721055788,0.7612609505414913,0.967741935483871
0.58,0.26605504587155965,0.03225806451612903,0.10755555555555556,0.0036900369003690036,0.042606516290726815,0.0,0,orig,0.7996400719856028,0.7765514704191672,0.967741935483871
0.59,0.25076452599388377,0.016129032258064516,0.10133333333333333,0.0018450184501845018,0.040100250626566414,0.0,0,orig,0.7972405518896221,0.7893357246326826,0.9838709677419355
0.6,0.23853211009174313,0.016129032258064516,0.09333333333333334,0.0018450184501845018,0.03383458646616541,0.0,0,orig,0.7978404319136173,0.7953024763744223,0.9838709677419355
0.61,0.22629969418960244,0.016129032258064516,0.08888888888888889,0.0018450184501845018,0.03258145363408521,0.0,0,orig,0.7960407918416317,0.8062817594444827,0.9838709677419355
0.62,0.22324159021406728,0.016129032258064516,0.08711111111111111,0.0018450184501845018,0.03132832080200501,0.0,0,orig,0.7960407918416317,0.8080867305879377,0.9838709677419355
0.63,0.22018348623853212,0.016129032258064516,0.08266666666666667,0.0018450184501845018,0.02631578947368421,0.0,0,orig,0.7978404319136173,0.8061323032351521,0.9838709677419355
0.64,0.21712538226299694,0.016129032258064516,0.08,0.0018450184501845018,0.023809523809523808,0.0,0,orig,0.7984403119376124,0.8066841415465269,0.9838709677419355
0.65,0.20795107033639143,0.016129032258064516,0.07555555555555556,0.0018450184501845018,0.021303258145363407,0.0,0,orig,0.7978404319136173,0.813352187808972,0.9838709677419355
0.66,0.20489296636085627,0.016129032258064516,0.07377777777777778,0.0018450184501845018,0.020050125313283207,0.0,0,orig,0.7978404319136173,0.8151571589524269,0.9838709677419355
0.67,0.18654434250764526,0.0,0.06755555555555555,0.0,0.018796992481203006,0.0,0,orig,0.794241151769646,0.8322526499735577,1.0
0.68,0.18042813455657492,0.0,0.06311111111111112,0.0,0.015037593984962405,0.0,0,orig,0.7948410317936413,0.8346094594283875,1.0
0.6900000000000001,0.1651376146788991,0.0,0.057777777777777775,0.0,0.013784461152882205,0.0,0,orig,0.7924415116976604,0.8486468464739831,1.0
0.7000000000000001,0.1559633027522936,0.0,0.05422222222222222,0.0,0.012531328320802004,0.0,0,orig,0.79124175164967,0.8565680255685084,1.0
0.71,0.1529051987767584,0.0,0.051555555555555556,0.0,0.010025062656641603,0.0,0,orig,0.7918416316736653,0.8571198638798831,1.0
0.72,0.1437308868501529,0.0,0.04888888888888889,0.0,0.010025062656641603,0.0,0,orig,0.7900419916016796,0.8662941758064887,1.0
0.73,0.13149847094801223,0.0,0.044444444444444446,0.0,0.008771929824561403,0.0,0,orig,0.788242351529694,0.8772734588765492,1.0
0.74,0.1162079510703364,0.0,0.04,0.0,0.008771929824561403,0.0,0,orig,0.785242951409718,0.892563978754225,1.0
0.75,0.1162079510703364,0.0,0.04,0.0,0.008771929824561403,0.0,0,orig,0.785242951409718,0.892563978754225,1.0
0.76,0.11009174311926606,0.0,0.037333333333333336,0.0,0.007518796992481203,0.0,0,orig,0.7846430713857229,0.8974270538732152,1.0
0.77,0.10091743119266056,0.0,0.03288888888888889,0.0,0.005012531328320802,0.0,0,orig,0.7840431913617276,0.9040951001356602,1.0
0.78,0.09785932721712538,0.0,0.032,0.0,0.005012531328320802,0.0,0,orig,0.7834433113377325,0.9071532041111954,1.0
0.79,0.0856269113149847,0.0,0.027555555555555555,0.0,0.0037593984962406013,0.0,0,orig,0.7816436712657469,0.918132487181256,1.0
0.8,0.0764525993883792,0.0,0.024888888888888887,0.0,0.0037593984962406013,0.0,0,orig,0.7798440311937612,0.9273067991078614,1.0
0.81,0.07033639143730887,0.0,0.02311111111111111,0.0,0.0037593984962406013,0.0,0,orig,0.7786442711457708,0.9334230070589318,1.0
0.8200000000000001,0.06116207951070336,0.0,0.020444444444444446,0.0,0.0037593984962406013,0.0,0,orig,0.7768446310737852,0.9425973189855372,1.0
0.8300000000000001,0.06116207951070336,0.0,0.019555555555555555,0.0,0.002506265664160401,0.0,0,orig,0.7774445110977805,0.941344186153457,1.0
0.84,0.06116207951070336,0.0,0.018666666666666668,0.0,0.0012531328320802004,0.0,0,orig,0.7780443911217756,0.9400910533213768,1.0
0.85,0.06116207951070336,0.0,0.018666666666666668,0.0,0.0012531328320802004,0.0,0,orig,0.7780443911217756,0.9400910533213768,1.0
0.86,0.0581039755351682,0.0,0.016888888888888887,0.0,0.0,0.0,0,orig,0.7780443911217756,0.9418960244648318,1.0
0.87,0.05198776758409786,0.0,0.015111111111111112,0.0,0.0,0.0,0,orig,0.7768446310737852,0.9480122324159022,1.0
0.88,0.05198776758409786,0.0,0.015111111111111112,0.0,0.0,0.0,0,orig,0.7768446310737852,0.9480122324159022,1.0
