auc_roc_A,auc_roc_B,auc_roc_overall,trial,lambda
0.8421397530523556,0.8540826612903225,0.8572470239891219,0,orig
0.8425919538908434,0.8477150537634408,0.8295255681475315,0,full
0.8425153096809301,0.848252688172043,0.8439640987886761,0,tpr
0.8425268063124172,0.8480846774193549,0.8422442682372441,0,fpr
0.8425344707334085,0.8481518817204301,0.8428597865398618,0,eo_1
0.8422815448406951,0.8496639784946236,0.8548563589477454,0,eo_2
0.8354686659707063,0.8538510206120342,0.8611999354005169,1,orig
0.8355121634873937,0.8522193733142419,0.8190891472868217,1,full
0.8355200721267912,0.8525856614831341,0.8401586724806202,1,tpr
0.8355398437252856,0.8526522593320236,0.8358385820413435,1,fpr
0.8355437980449844,0.8526189604075788,0.83859415374677,1,eo_1
0.8355082091676949,0.8526189604075789,0.85078125,1,eo_2
0.8141900631514876,0.8484492481203006,0.8456355531055639,2,orig
0.813950391843567,0.8419968189705033,0.8074086945406466,2,full
0.8141025641025641,0.8430812608444188,0.8299159945833883,2,tpr
0.8140873468766645,0.8423944476576055,0.821621308535158,2,fpr
0.8140911511831393,0.8428282244071718,0.8275592092385986,2,eo_1
0.8139922392147911,0.8422860034702141,0.8162506341350396,2,eo_2
0.825607924329152,0.8572356215213357,0.8524847428073236,3,orig
0.8256972354159055,0.850278293135436,0.8216942749200813,3,full
0.825607924329152,0.8512368583797156,0.8350749366878399,3,tpr
0.8255916859497423,0.8512987012987013,0.8354984016274338,3,fpr
0.8255916859497423,0.8512987012987013,0.8354984016274338,3,eo_1
0.825607924329152,0.8522572665429808,0.8438659858014697,3,eo_2
0.8377338429492374,0.845820211852276,0.8547275127882797,4,orig
0.8373208011035529,0.8387918694531922,0.8240059929002317,4,full
0.8375263338880083,0.8410249069567708,0.8459437236624684,4,tpr
0.8375065711202723,0.839965645576868,0.8400417447403998,4,fpr
0.8375263338880083,0.8406241053535642,0.8434275752472664,4,eo_1
0.837087600444267,0.8381906670483825,0.7973541898911315,4,eo_2
0.8382741120590549,0.8991836912868867,0.870448387556787,5,orig
0.8381020451382587,0.8974157499563471,0.8343329191028175,5,full
0.838151207115629,0.8975030557010653,0.8505347648053457,5,tpr
0.8381322986627942,0.8974594028287061,0.8439322020086785,5,fpr
0.8381020451382586,0.8975030557010651,0.8485362723327969,5,eo_1
0.8382041507835662,0.897503055701065,0.854114123902459,5,eo_2
0.8210455927051672,0.7983999329814861,0.836866562917028,6,orig
0.8215400202634245,0.7977437100332301,0.8049288998182401,6,full
0.821304964539007,0.7977716344140069,0.8247027097663256,6,tpr
0.821369807497467,0.79774371003323,0.8169393064613849,6,fpr
0.8213211752786221,0.7976878612716763,0.8237899505407258,6,eo_1
0.8212441742654508,0.7984697439334283,0.8349509565162296,6,eo_2
0.843846453564771,0.8553950863213812,0.8667168379545793,7,orig
0.8444595544418299,0.8520916334661354,0.8300310434843958,7,full
0.8441157595574977,0.8527556440903055,0.8535958702758637,7,tpr
0.8443105766586194,0.8524900398406374,0.842513111168599,7,fpr
0.844089019955383,0.8528884462151394,0.851545902808808,7,eo_1
0.8439553219448095,0.8540836653386454,0.8642278717182883,7,eo_2
0.8472944575781456,0.8758012061507374,0.8619535819364752,8,orig
0.8474051559157944,0.8782166650879353,0.8446527357037354,8,full
0.8473413636534204,0.8783745382210855,0.8579085340017661,8,tpr
0.8473826409996623,0.8782798143411954,0.8542891763783458,8,fpr
0.8473751360276184,0.8782482397145654,0.8567918394177347,8,eo_1
0.847476453150212,0.877900918821635,0.829995129310857,8,eo_2
0.8318868160862415,0.8603956375449587,0.8569694373036276,9,orig
0.8314201324492608,0.8549135630583594,0.8214393473092194,9,full
0.8316302410996764,0.8563638473140736,0.844949732671953,9,tpr
0.8315090245705904,0.8554646710755308,0.8347212667608048,9,fpr
0.831650443854524,0.8562768302587307,0.8433083505316388,9,eo_1
0.8314928623667124,0.8554066597053022,0.8307968347071862,9,eo_2
