auc_roc_A,auc_roc_B,auc_roc_overall,trial,lambda
0.8008821748561005,0.8367607526881721,0.8257540099207068,0,orig
0.8025760118951814,0.8230174731182796,0.7906091217398651,0,full
0.8024610455803116,0.8250000000000001,0.8060272517711239,0,tpr
0.8024955354747726,0.8236895161290323,0.7979651689054637,0,fpr
0.8024763744222941,0.8245631720430108,0.8048364451203077,0,eo_1
0.80227709947652,0.8276209677419354,0.8167203736558166,0,eo_2
0.7831688336338616,0.8108288102294297,0.8141048934108527,1,orig
0.7838371136629654,0.8117278811894376,0.779156572997416,1,full
0.7838568852614597,0.8115613865672139,0.790889454134367,1,tpr
0.7838410679826642,0.811161799473877,0.7938791989664082,1,fpr
0.7838410679826642,0.811161799473877,0.7938791989664082,1,eo_1
0.7837580272689886,0.8120275715094402,0.7684794896640826,1,eo_2
0.7689416419386746,0.8362312030075189,0.8050818683315957,2,orig
0.7697481549113596,0.8234528629265471,0.7585513359777263,2,full
0.7701590200106521,0.8278629265471371,0.781350238274993,2,tpr
0.7700334778969794,0.826417004048583,0.7724324022033945,2,fpr
0.770101955413528,0.8267423366107577,0.7773197358802594,2,eo_1
0.7702655405919502,0.8307547715442452,0.7943525031856546,2,eo_2
0.7829862379734502,0.8095856524427953,0.8123168098974551,3,orig
0.7823691795558804,0.7902597402597402,0.7719869639224478,3,full
0.7823610603661755,0.7913419913419912,0.7874455100261553,3,tpr
0.7823691795558803,0.791156462585034,0.783908332295429,3,fpr
0.782357000771323,0.7911255411255411,0.7847428073234526,3,eo_1
0.7824666098323388,0.7940321583178725,0.8015381741188193,3,eo_2
0.7992478290599643,0.8112797022616662,0.8173311828467068,4,orig
0.79876364125043,0.7949613512739765,0.7799032281018002,4,full
0.7988703601962048,0.7964500429430289,0.796567522908217,4,tpr
0.7988743127497521,0.7959919839679358,0.7935967679450994,4,fpr
0.7988901229639409,0.7963355281992556,0.7954231003375948,4,eo_1
0.7988585025355631,0.7956770684225594,0.7906497315844816,4,eo_2
0.7957698009318087,0.8402959664745941,0.8260629087131011,5,orig
0.7966168996188056,0.8432425353588267,0.792865728196875,5,full
0.7965942094754038,0.8434171468482626,0.8023814859331391,5,tpr
0.7965299207357657,0.8432425353588267,0.8044003503982724,5,fpr
0.7965942094754038,0.8433734939759037,0.8028337441685172,5,eo_1
0.7965563925697343,0.8433734939759037,0.7992869802595393,5,eo_2
0.786437689969605,0.7877747060958924,0.8058169096071374,6,orig
0.7881864235055723,0.7889196057077433,0.7735208746648926,6,full
0.7875420466058765,0.7906509173159086,0.7947440116262954,6,tpr
0.7879067882472137,0.7892826226578425,0.7829078410175383,6,fpr
0.7876960486322188,0.7900365809388177,0.7901307166248897,6,eo_1
0.7875055724417426,0.7908743123621236,0.7956211316630433,6,eo_2
0.8148588149008342,0.8234893758300132,0.8372314072262333,7,orig
0.8148511750145158,0.8148406374501992,0.8079360786434938,7,full
0.8150765516609113,0.8170650730411686,0.8229129920117902,7,tpr
0.8150230724566817,0.8157370517928286,0.8159850426847909,7,fpr
0.8150803716040704,0.8163346613545817,0.8207081990859418,7,eo_1
0.8150918314335484,0.8164010624169986,0.821253027915618,7,eo_2
0.8107433674809561,0.8317703893151465,0.833286804392332,8,orig
0.8100491575668881,0.8450001578731332,0.8113974125948893,8,full
0.8100979398851739,0.8450633071263932,0.8215130023640661,8,tpr
0.810067919996998,0.8450948817530233,0.8194340496810293,8,fpr
0.8100566625389322,0.8451264563796533,0.8202973100332238,8,eo_1
0.8100491575668882,0.8450317324997632,0.8109459828694299,8,eo_2
0.7567224666755559,0.7954519085740805,0.7806330987926992,9,orig
0.7551102868387134,0.7877073906485671,0.7501679600597012,9,full
0.7553244360400984,0.7926383571179951,0.7676559212458411,9,tpr
0.7553042332852506,0.7885775612019956,0.7578961343036799,9,fpr
0.7553486793459157,0.7908400046409098,0.7653386758712802,9,eo_1
0.7554335309162759,0.7956549483698805,0.7721938601043565,9,eo_2
