thresholds,tpr_A,tpr_B,selection_A,selection_B,fpr_A,fpr_B,trial,lambda,acc_overall,eqodds_A,eqodds_B
0.0,0.9555555555555556,0.9166666666666666,0.7928026172300982,0.6067146282973621,0.7248840803709428,0.5663956639566395,0,orig,0.47976011994003,0.7693285248153872,0.6497289972899729
0.01,0.9444444444444444,0.875,0.7415485278080698,0.5227817745803357,0.6568778979907264,0.47696476964769646,0,orig,0.5337331334332833,0.712433453546282,0.6019647696476964
0.02,0.9111111111111111,0.8541666666666666,0.6990185387131952,0.46522781774580335,0.6105100463678517,0.4146341463414634,0,orig,0.5659670164917541,0.6993989352567406,0.5604674796747968
0.03,0.8925925925925926,0.8333333333333334,0.6663031624863686,0.44364508393285373,0.5718701700154559,0.39295392953929537,0,orig,0.5862068965517241,0.6792775774228633,0.5596205962059619
0.04,0.8851851851851852,0.8125,0.6466739367502726,0.4244604316546763,0.5471406491499228,0.37398373983739835,0,orig,0.6011994002998501,0.6619554639647376,0.5614837398373984
0.05,0.8740740740740741,0.8125,0.6292257360959651,0.4052757793764988,0.527047913446677,0.3523035230352303,0,orig,0.6146926536731634,0.6529738393726029,0.5398035230352303
0.06,0.8555555555555555,0.8125,0.613958560523446,0.3932853717026379,0.5131375579598145,0.33875338753387535,0,orig,0.6214392803598201,0.657582002404259,0.5262533875338753
0.07,0.8407407407407408,0.8125,0.5954198473282443,0.38369304556354916,0.49304482225656876,0.32791327913279134,0,orig,0.631184407796102,0.652304081515828,0.5154132791327913
0.08,0.825925925925926,0.8125,0.5779716466739367,0.37170263788968827,0.47449768160741884,0.3143631436314363,0,orig,0.6409295352323838,0.648571755681493,0.5018631436314362
0.09,0.8222222222222222,0.8125,0.5736095965103599,0.3501199040767386,0.46986089644513135,0.2899728997289973,0,orig,0.6491754122938531,0.6476386742229092,0.4774728997289973
0.1,0.8222222222222222,0.7916666666666666,0.5583424209378408,0.3333333333333333,0.4482225656877898,0.27371273712737126,0,orig,0.6634182908545727,0.6260003434655677,0.48204607046070463
0.11,0.8074074074074075,0.7916666666666666,0.5376226826608506,0.328537170263789,0.4250386398763524,0.2682926829268293,0,orig,0.6731634182908546,0.6176312324689449,0.47662601626016265
0.12,0.8,0.7916666666666666,0.5288985823336968,0.31654676258992803,0.41576506955177744,0.25474254742547425,0,orig,0.6799100449775113,0.6157650695517773,0.4630758807588076
0.13,0.7888888888888889,0.7916666666666666,0.520174482006543,0.3117505995203837,0.4080370942812983,0.24932249322493225,0,orig,0.6829085457271364,0.6191482053924094,0.45765582655826564
0.14,0.7851851851851852,0.7916666666666666,0.5158124318429662,0.30455635491606714,0.4034003091190108,0.24119241192411925,0,orig,0.6866566716641679,0.6182151239338256,0.4495257452574526
0.15,0.7851851851851852,0.7916666666666666,0.5092693565976009,0.2997601918465228,0.3941267387944359,0.23577235772357724,0,orig,0.6926536731634183,0.6089415536092506,0.4441056910569106
0.16,0.7666666666666667,0.75,0.49073064340239914,0.28776978417266186,0.3755795981452859,0.22764227642276422,0,orig,0.6986506746626686,0.6089129314786192,0.47764227642276424
0.17,0.7555555555555555,0.75,0.4732824427480916,0.27817745803357313,0.3554868624420402,0.21680216802168023,0,orig,0.7091454272863568,0.5999313068864847,0.46680216802168023
0.18,0.7481481481481481,0.75,0.46346782988004365,0.27577937649880097,0.3446676970633694,0.2140921409214092,0,orig,0.7136431784107946,0.5965195489152213,0.4640921409214092
0.19,0.7407407407407407,0.75,0.4525627044711014,0.26618705035971224,0.3323029366306028,0.2032520325203252,0,orig,0.7211394302848576,0.591562195889862,0.4532520325203252
0.2,0.737037037037037,0.75,0.4416575790621592,0.2637889688249401,0.31839258114374036,0.2005420054200542,0,orig,0.7278860569715142,0.5813555441067033,0.4505420054200542
0.21,0.737037037037037,0.75,0.43838604143947657,0.26139088729016785,0.31375579598145287,0.1978319783197832,0,orig,0.7308845577211395,0.5767187589444158,0.44783197831978316
0.22,0.7333333333333333,0.75,0.42529989094874593,0.24940047961630696,0.29675425038639874,0.1842818428184282,0,orig,0.7421289355322339,0.5634209170530655,0.4342818428184282
0.23,0.725925925925926,0.7083333333333334,0.4198473282442748,0.2446043165467626,0.2921174652241113,0.1842818428184282,0,orig,0.7413793103448276,0.5661915392981853,0.4759485094850948
0.24,0.7074074074074074,0.7083333333333334,0.4034896401308615,0.23501199040767387,0.27666151468315303,0.17344173441734417,0,orig,0.7481259370314842,0.5692541072757457,0.4651084010840108
0.25,0.7,0.6875,0.39585605234460197,0.22541966426858512,0.2689335394126739,0.16531165311653118,0,orig,0.7518740629685158,0.568933539412674,0.4778116531165312
0.26,0.6777777777777778,0.6666666666666666,0.3816793893129771,0.22302158273381295,0.2581143740340031,0.16531165311653118,0,orig,0.7518740629685158,0.5803365962562252,0.49864498644986455
0.27,0.674074074074074,0.6666666666666666,0.376226826608506,0.21103117505995203,0.25193199381761977,0.15176151761517614,0,orig,0.7578710644677661,0.5778579197435457,0.4850948509485095
0.28,0.674074074074074,0.6666666666666666,0.3718647764449291,0.19664268585131894,0.24574961360123648,0.13550135501355012,0,orig,0.7653673163418291,0.5716755395271624,0.46883468834688347
0.29,0.6666666666666666,0.6666666666666666,0.366412213740458,0.19424460431654678,0.241112828438949,0.13279132791327913,0,orig,0.7668665667166417,0.5744461617722824,0.4661246612466125
0.3,0.6666666666666666,0.6666666666666666,0.36205016357688113,0.19424460431654678,0.23493044822256567,0.13279132791327913,0,orig,0.7698650674662668,0.5682637815558991,0.4661246612466125
0.31,0.662962962962963,0.6041666666666666,0.35659760087241005,0.17985611510791366,0.2287480680061824,0.12466124661246612,0,orig,0.7721139430284858,0.5657851050432194,0.5204945799457995
0.32,0.6518518518518519,0.5833333333333334,0.3500545256270447,0.1774580335731415,0.2241112828438949,0.12466124661246612,0,orig,0.7713643178410795,0.572259430992043,0.5413279132791328
0.33,0.6481481481481481,0.5833333333333334,0.346782988004362,0.17266187050359713,0.22102009273570325,0.11924119241192412,0,orig,0.7736131934032984,0.5728719445875551,0.5359078590785907
0.34,0.6407407407407407,0.5625,0.34133042529989094,0.1630695443645084,0.21638330757341576,0.1111111111111111,0,orig,0.7758620689655172,0.575642566832675,0.5486111111111112
0.35000000000000003,0.6259259259259259,0.5625,0.3326063249727372,0.1630695443645084,0.21020092735703247,0.1111111111111111,0,orig,0.7758620689655172,0.5842750014311066,0.5486111111111112
0.36,0.6185185185185185,0.5625,0.3173391494002181,0.1606714628297362,0.19165378670788252,0.10840108401084012,0,orig,0.7841079460269865,0.573135268189364,0.5459010840108401
0.37,0.6111111111111112,0.5416666666666666,0.3075245365321701,0.15587529976019185,0.18083462132921174,0.10569105691056911,0,orig,0.787856071964018,0.5697235102181006,0.5640243902439025
0.38,0.5888888888888889,0.5416666666666666,0.29770992366412213,0.1510791366906475,0.17619783616692428,0.1002710027100271,0,orig,0.7871064467766117,0.5873089472780354,0.5586043360433605
0.39,0.5851851851851851,0.5416666666666666,0.29443838604143946,0.1510791366906475,0.1731066460587326,0.1002710027100271,0,orig,0.787856071964018,0.5879214608735475,0.5586043360433605
0.4,0.5814814814814815,0.5,0.28789531079607417,0.14628297362110312,0.16537867078825347,0.1002710027100271,0,orig,0.7893553223388305,0.5838971893067719,0.6002710027100271
0.41000000000000003,0.5814814814814815,0.4791666666666667,0.2857142857142857,0.1366906474820144,0.16228748068006182,0.0921409214092141,0,orig,0.7923538230884558,0.5808059991985803,0.6129742547425474
0.42,0.5814814814814815,0.4375,0.2813522355507088,0.1223021582733813,0.1561051004636785,0.08130081300813008,0,orig,0.7968515742128935,0.574623618982197,0.6438008130081301
0.43,0.5740740740740741,0.4166666666666667,0.2748091603053435,0.11031175059952038,0.14992272024729522,0.07046070460704607,0,orig,0.800599700149925,0.5758486461732212,0.6537940379403793
0.44,0.5666666666666667,0.3958333333333333,0.26717557251908397,0.09352517985611511,0.14219474497681608,0.05420054200542006,0,orig,0.8065967016491754,0.5755280783101494,0.6583672086720868
0.45,0.5592592592592592,0.3958333333333333,0.2649945474372955,0.09112709832134293,0.14219474497681608,0.051490514905149054,0,orig,0.8058470764617691,0.5829354857175568,0.6556571815718157
0.46,0.5518518518518518,0.3958333333333333,0.2584514721919302,0.09112709832134293,0.13601236476043277,0.051490514905149054,0,orig,0.8073463268365817,0.584160512908581,0.6556571815718157
0.47000000000000003,0.5481481481481482,0.3958333333333333,0.257360959651036,0.08872901678657075,0.13601236476043277,0.04878048780487805,0,orig,0.8073463268365817,0.5878642166122846,0.6529471544715448
