auc_roc_A,auc_roc_B,auc_roc_overall,trial,lambda
0.8267764211752624,0.7747143817204301,0.8179081630600513,0,orig
0.8271902999087933,0.7213037634408602,0.7935217704398341,0,full
0.827217125382263,0.7224126344086022,0.7960904530295168,0,tpr
0.8270331792784713,0.7248319892473118,0.8024407513346288,0,fpr
0.8272247898032543,0.7227150537634409,0.7968729256429753,0,eo_1
0.8270370114889671,0.7236895161290322,0.8000571265352756,0,eo_2
0.8295312549428996,0.8423961906030436,0.8179475532945737,1,orig
0.8284022966688811,0.7781958642735841,0.8004521963824289,1,full
0.8285921040144253,0.7795611201758184,0.8037447512919896,1,tpr
0.8285921040144253,0.7795611201758184,0.8037447512919896,1,fpr
0.8285921040144253,0.7795611201758184,0.8037447512919896,1,eo_1
0.8287225965644869,0.7805933868336052,0.8049378229974161,1,eo_2
0.8075515483527353,0.842520965876229,0.8121811848638457,2,orig
0.8062124324735601,0.7889314632735684,0.7875497820972195,2,full
0.8065700372822036,0.7933776749566224,0.7952213181220815,2,tpr
0.8065472114433538,0.7928716020821285,0.7945062934157808,2,fpr
0.8065700372822036,0.7933776749566224,0.7952213181220815,2,eo_1
0.8062124324735601,0.7889314632735684,0.7875497820972195,2,eo_2
0.8223034141192709,0.8379097093382808,0.8324241291983228,3,orig
0.8223521292575,0.7794990723562153,0.8065657823722341,3,full
0.822303414119271,0.7807359307359308,0.8123012413334995,3,tpr
0.8222749969553039,0.7817254174397033,0.8160792128534062,3,fpr
0.822303414119271,0.7808286951144094,0.8118964586706523,3,eo_1
0.8222749969553038,0.7808286951144093,0.8130900485739195,3,eo_2
0.8348129058778424,0.8250930432293158,0.843100456187788,4,orig
0.8340994699625692,0.7963927855711423,0.8154218353454614,4,full
0.8343366231754026,0.8008016032064128,0.8274076358087648,4,tpr
0.8343366231754026,0.8008016032064128,0.8274076358087648,4,fpr
0.8343366231754026,0.8008016032064128,0.8274076358087648,4,eo_1
0.8340085612309833,0.7959347265960492,0.8116406947969292,4,eo_2
0.8325316149331398,0.8801073860660031,0.8408183429421232,5,orig
0.8323652205481938,0.824864676095687,0.8213335506345876,5,full
0.8324030374538633,0.8253885105639951,0.8238780125084035,5,tpr
0.8323803473104616,0.8253012048192772,0.82357854421741,5,fpr
0.832418164216131,0.8253885105639952,0.8244688002933567,5,eo_1
0.8323690022387608,0.824908328968046,0.8216717257114918,5,eo_2
0.8049118541033433,0.7890173410404624,0.81414064015903,6,orig
0.8063262411347517,0.7915444975007678,0.7908672598611655,6,full
0.805953394123607,0.793275809108933,0.8009729498556615,6,tpr
0.8060952380952381,0.7930524140627182,0.7989593356855198,6,fpr
0.8060141843971631,0.7931361872050487,0.8000681104498062,6,eo_1
0.8056575481256332,0.7955376839518584,0.8071365495721319,6,eo_2
0.8350281147816521,0.7766434262948207,0.8308512264528115,7,orig
0.8354139290407359,0.724601593625498,0.8035578498467424,7,full
0.8354292088133729,0.7263280212483401,0.8092315169759257,7,tpr
0.8353528099501879,0.7254316069057105,0.8066092832561166,7,fpr
0.8354292088133729,0.7263280212483401,0.8092315169759257,7,eo_1
0.8351885523943403,0.7344953519256309,0.8195068319183461,7,eo_2
0.8284325865886151,0.8550566764548009,0.8315107848145377,8,orig
0.8286314683477806,0.8343279340721795,0.8187410654533502,8,full
0.8288190926488799,0.8350857251113005,0.8221802471775742,8,tpr
0.8287290329843521,0.83470682959174,0.8205111451663358,8,fpr
0.8288190926488799,0.8350857251113005,0.8221802471775742,8,eo_1
0.8288153401628578,0.8376432698683338,0.8257322863331631,8,eo_2
0.8229632592700342,0.7587887225896276,0.8110962260279758,9,orig
0.8222076762387318,0.6355145608539274,0.7744668525290561,9,full
0.8224460687459342,0.6364137370924701,0.7799582413073126,9,tpr
0.8224622309498122,0.6363557257222414,0.7805435871441158,9,fpr
0.8224460687459342,0.6364137370924701,0.7799582413073126,9,eo_1
0.8224420281949646,0.6388502146420698,0.7851881353818426,9,eo_2
