auc_roc_A,auc_roc_B,auc_roc_overall,trial,lambda
0.8327577036016933,0.8418184729035874,0.836640378548896,0,orig
0.8324043106651802,0.8415383032007959,0.8335579089680036,0,full
0.8328123519939377,0.841744142166112,0.8366696710229834,0,tpr
0.832579185520362,0.8416183516873078,0.8348490310950878,0,fpr
0.8327613468278431,0.8416183516873076,0.8360612888688599,0,eo_1
0.8328706436123314,0.8416526581815271,0.8351892744479495,0,eo_2
0.8269371582921115,0.833415719228868,0.8307343481965608,1,orig
0.8267785082009893,0.8337284493629384,0.8260815802549074,1,full
0.8268273236136423,0.8336880970875744,0.8282848721528635,1,tpr
0.8268110518094247,0.8336981851564156,0.8273248663973255,1,fpr
0.8268273236136423,0.8336780090187337,0.8274327827351846,1,eo_1
0.8269086826347305,0.8336073925368466,0.8302453522906366,1,eo_2
0.8432277325990907,0.8472090040137377,0.8460738692563619,2,orig
0.8433277838253187,0.8477365829436835,0.8456208974013129,2,full
0.8432957674329257,0.8467538378780982,0.8464751371279562,2,tpr
0.8433678043158097,0.8477469276285845,0.8457377933639062,2,fpr
0.8433037715310239,0.847488310506062,0.845944609297725,2,eo_1
0.8430316321956841,0.8474055530268548,0.8436516500314721,2,eo_2
0.8448706619537274,0.8330430327868852,0.839261752521614,3,orig
0.8446497429305913,0.8331352459016393,0.8385671829971182,3,full
0.8446095758354755,0.8331045081967212,0.8377431556195966,3,tpr
0.8449309125964009,0.8330840163934425,0.8394249819884726,3,fpr
0.84469794344473,0.8332786885245903,0.8388643731988473,3,eo_1
0.8446015424164525,0.8331045081967213,0.8372861131123919,3,eo_2
0.8344664228723404,0.792673333529996,0.8151956516359236,4,orig
0.8346658909574468,0.7929044121262181,0.8139616503445529,4,full
0.8345744680851063,0.792904412126218,0.8147490714055915,4,tpr
0.8346742021276595,0.7930322428390219,0.8127220246170321,4,fpr
0.8345994015957447,0.7928650795992015,0.8146590804271872,4,eo_1
0.8344830452127661,0.7928945789944639,0.8148840578731982,4,eo_2
0.8384994903160041,0.8173856960022573,0.8291390192587798,5,orig
0.8388012232415902,0.8169120536928984,0.8268328208447968,5,full
0.8387849133537206,0.817143836099606,0.8283972595349841,5,tpr
0.8388012232415902,0.8169120536928984,0.8268328208447968,5,fpr
0.838809378185525,0.8169422861807298,0.8274891658125192,5,eo_1
0.8386870540265035,0.8172949985387631,0.8288962615309919,5,eo_2
0.8303568659077515,0.8091406079160289,0.820517750448062,6,orig
0.8308880548404107,0.8087032582549748,0.8192056092630198,6,full
0.8308337727597009,0.8087141919965013,0.819410244820584,6,tpr
0.8307096994323645,0.8089109993439756,0.819781287315069,6,fpr
0.8308260181767425,0.8087469932210802,0.8194327322444923,6,eo_1
0.8309733552529545,0.8084080472337634,0.8184365393653599,6,eo_2
0.8269463545288316,0.7920548654244306,0.812610437235543,7,orig
0.8269935700979507,0.7924814048002453,0.8098843441466855,7,full
0.827027908693674,0.7922417759374281,0.8119582510578279,7,tpr
0.8270536626404663,0.7922705314009663,0.8116039492242595,7,fpr
0.8270450779915355,0.7922801165554788,0.8116874471086036,7,eo_1
0.8270193240447433,0.7924430641821946,0.8074787023977432,7,eo_2
0.8333847387576337,0.814021718218935,0.826475678834742,8,orig
0.8335466658441799,0.8135567858746073,0.8256855781334291,8,full
0.8333847387576336,0.8139094931703041,0.8264520769645749,8,tpr
0.8334849793350194,0.8135460977747377,0.8258271893544327,8,fpr
0.8333924495712788,0.8137064192727816,0.8263823952526524,8,eo_1
0.8333770279439887,0.8140377503687395,0.8262632620032369,8,eo_2
0.8443654900749209,0.8355788992920758,0.8394731222675523,9,orig
0.8444084000583576,0.8359404734718733,0.8399563932252156,9,full
0.8443740720716082,0.8358167770419425,0.8399429065938389,9,tpr
0.8441681041511118,0.8360546547918094,0.8397653326140463,9,fpr
0.8443740720716083,0.8360546547918094,0.839882216752644,9,eo_1
0.8443912360649828,0.8359309583618786,0.8399339155062544,9,eo_2
