thresholds,tpr_A,tpr_B,selection_A,selection_B,fpr_A,fpr_B,trial,lambda,acc_overall,eqodds_A,eqodds_B
0.0,1.0,1.0,1.0,1.0,1.0,1.0,0,orig,0.4752623688155922,1.0,1.0
0.01,0.9971509971509972,1.0,0.9353099730458221,0.9712837837837838,0.8797953964194374,0.9449838187702265,0,orig,0.5224887556221889,0.8826443992684402,0.9449838187702265
0.02,0.9914529914529915,0.9929328621908127,0.931266846361186,0.9375,0.8772378516624041,0.8867313915857605,0,orig,0.5337331334332833,0.8857848602094126,0.8937985293949479
0.03,0.9914529914529915,0.9929328621908127,0.9272237196765498,0.9256756756756757,0.8695652173913043,0.8640776699029126,0,orig,0.5412293853073463,0.8781122259383128,0.8711448077120999
0.04,0.9886039886039886,0.9929328621908127,0.9164420485175202,0.8969594594594594,0.8516624040920716,0.8090614886731392,0,orig,0.5584707646176912,0.863058415488083,0.8161286264823265
0.05,0.9857549857549858,0.9858657243816255,0.9083557951482479,0.8733108108108109,0.8388746803069054,0.7702265372168284,0,orig,0.5689655172413793,0.8531196945519196,0.784360812835203
0.06,0.9829059829059829,0.9858657243816255,0.894878706199461,0.856418918918919,0.8158567774936062,0.7378640776699029,0,orig,0.5824587706146926,0.8329507945876233,0.7519983532882775
0.07,0.9829059829059829,0.9858657243816255,0.8840970350404312,0.8462837837837838,0.7953964194373402,0.7184466019417476,0,orig,0.5929535232383808,0.8124904365313573,0.7325808775601221
0.08,0.9829059829059829,0.9752650176678446,0.866576819407008,0.8226351351351351,0.7621483375959079,0.6828478964401294,0,orig,0.6086956521739131,0.7792423546899251,0.7075828787722849
0.09,0.98005698005698,0.9717314487632509,0.8584905660377359,0.8091216216216216,0.7493606138107417,0.6601941747572816,0,orig,0.616191904047976,0.7693036337537617,0.6884627259940307
0.1,0.9715099715099715,0.9646643109540636,0.8463611859838275,0.7888513513513513,0.7340153452685422,0.627831715210356,0,orig,0.6244377811094453,0.7625053737585706,0.6631674042562924
0.11,0.9629629629629629,0.9611307420494699,0.8261455525606469,0.7736486486486487,0.7033248081841432,0.6019417475728155,0,orig,0.636431784107946,0.7403618452211803,0.6408110055233456
0.12,0.9544159544159544,0.9575971731448764,0.8113207547169812,0.7618243243243243,0.6828644501278772,0.5825242718446602,0,orig,0.643928035982009,0.7284484957119228,0.6249270986997838
0.13,0.9487179487179487,0.9540636042402827,0.7951482479784366,0.7567567567567568,0.6572890025575447,0.5760517799352751,0,orig,0.6506746626686657,0.7085710538395961,0.6219881756949924
0.14,0.9401709401709402,0.9540636042402827,0.7789757412398922,0.7449324324324325,0.6342710997442456,0.5533980582524272,0,orig,0.6604197901049476,0.6941001595733054,0.5993344540121445
0.15,0.9401709401709402,0.9469964664310954,0.761455525606469,0.7381756756756757,0.6010230179028133,0.5469255663430421,0,orig,0.6701649175412294,0.6608520777318732,0.5999290999119468
0.16,0.9344729344729344,0.9469964664310954,0.7520215633423181,0.7297297297297297,0.5882352941176471,0.5307443365695793,0,orig,0.6761619190404797,0.6537623596447126,0.583747870138484
0.17,0.9202279202279202,0.9328621908127208,0.7371967654986523,0.7111486486486487,0.5728900255754475,0.5080906148867314,0,orig,0.679160419790105,0.6526621053475273,0.5752284240740105
0.18,0.9202279202279202,0.9257950530035336,0.7331536388140162,0.6976351351351351,0.5652173913043478,0.4886731391585761,0,orig,0.684407796101949,0.6449894710764276,0.5628780861550424
0.19,0.9145299145299145,0.9222614840989399,0.7183288409703504,0.6908783783783784,0.5421994884910486,0.47896440129449835,0,orig,0.6911544227886057,0.6276695739611341,0.5567029171955584
0.2,0.9116809116809117,0.9187279151943463,0.7075471698113207,0.6824324324324325,0.5242966751918159,0.46601941747572817,0,orig,0.6979010494752623,0.6126157635109042,0.5472915022813819
0.21,0.9088319088319088,0.9151943462897526,0.7008086253369272,0.6807432432432432,0.5140664961636828,0.46601941747572817,0,orig,0.699400299850075,0.605234587331774,0.5508250711859756
0.22,0.9088319088319088,0.9151943462897526,0.6967654986522911,0.6739864864864865,0.5063938618925832,0.45307443365695793,0,orig,0.704647676161919,0.5975619530606744,0.5378800873672054
0.23,0.905982905982906,0.9151943462897526,0.6859838274932615,0.668918918918919,0.4884910485933504,0.44336569579288027,0,orig,0.7113943028485757,0.5825081426104444,0.5281713495031277
0.24,0.8974358974358975,0.9045936395759717,0.6805929919137467,0.660472972972973,0.4859335038363171,0.4368932038834951,0,orig,0.7091454272863568,0.5884976064004197,0.5322995643075235
0.25,0.8974358974358975,0.901060070671378,0.6684636118598383,0.6537162162162162,0.4629156010230179,0.42718446601941745,0,orig,0.717391304347826,0.5654797035871204,0.5261243953480395
0.26,0.8945868945868946,0.8975265017667845,0.6630727762803235,0.652027027027027,0.45524296675191817,0.42718446601941745,0,orig,0.7181409295352323,0.5606560721650236,0.5296579642526329
0.27,0.8888888888888888,0.8869257950530035,0.6590296495956873,0.6469594594594594,0.45268542199488493,0.42718446601941745,0,orig,0.7151424287856072,0.5637965331059961,0.5402586709664139
0.28,0.886039886039886,0.8833922261484098,0.6536388140161725,0.6385135135135135,0.44501278772378516,0.41423948220064727,0,orig,0.7188905547226386,0.5589729016838991,0.5308472560522375
0.29,0.8831908831908832,0.8798586572438163,0.6455525606469003,0.6334459459459459,0.4322250639386189,0.4077669902912621,0,orig,0.7226386806596702,0.5490341807477357,0.5279083330474459
0.3,0.8803418803418803,0.8798586572438163,0.6428571428571429,0.625,0.4296675191815857,0.39158576051779936,0,orig,0.7263868065967016,0.5493256388397054,0.5117271032739831
0.31,0.8774928774928775,0.872791519434629,0.637466307277628,0.6165540540540541,0.4219948849104859,0.3818770226537217,0,orig,0.7286356821589205,0.5445020074176083,0.5090855032190927
0.32,0.8717948717948718,0.8657243816254417,0.6253369272237197,0.606418918918919,0.4040920716112532,0.36893203883495146,0,orig,0.7338830584707646,0.5322971998163815,0.5032076572095097
0.33,0.8717948717948718,0.8621908127208481,0.6172506738544474,0.597972972972973,0.3887468030690537,0.3559870550161812,0,orig,0.7406296851574213,0.5169519312741819,0.49379624229533314
0.34,0.8632478632478633,0.8551236749116607,0.6091644204851752,0.5929054054054054,0.38107416879795397,0.35275080906148865,0,orig,0.739880059970015,0.5178263055500907,0.4976271341498279
0.35000000000000003,0.8632478632478633,0.8445229681978799,0.6064690026954178,0.5861486486486487,0.37595907928388744,0.34951456310679613,0,orig,0.739880059970015,0.5127112160360241,0.5049915949089163
0.36,0.8575498575498576,0.8445229681978799,0.5929919137466307,0.5827702702702703,0.3554987212276215,0.343042071197411,0,orig,0.7458770614692654,0.4979488636777639,0.4985191029995311
0.37,0.8490028490028491,0.8409893992932862,0.5822102425876011,0.5743243243243243,0.34271099744245526,0.3300970873786408,0,orig,0.7496251874062968,0.4937081484396062,0.4891076880853546
0.38,0.8461538461538461,0.8409893992932862,0.5741239892183289,0.5709459459459459,0.329923273657289,0.32362459546925565,0,orig,0.7541229385307346,0.4837694275034429,0.48263519617596945
0.39,0.8376068376068376,0.8303886925795053,0.5579514824797843,0.5625,0.3069053708439898,0.31715210355987056,0,orig,0.7578710644677661,0.46929853323715215,0.48676341098036524
0.4,0.8290598290598291,0.8268551236749117,0.5444743935309974,0.5591216216216216,0.289002557544757,0.313915857605178,0,orig,0.7608695652173914,0.4599427284849279,0.48706073393026633
0.41000000000000003,0.8176638176638177,0.8268551236749117,0.5336927223719676,0.5574324324324325,0.27877237851662406,0.3106796116504854,0,orig,0.7616191904047976,0.4611085608528064,0.48382448797557376
0.42,0.8176638176638177,0.8127208480565371,0.5256064690026954,0.5405405405405406,0.26342710997442453,0.2912621359223301,0,orig,0.767616191904048,0.44576329231060685,0.478541287865793
0.43,0.8148148148148148,0.7985865724381626,0.5215633423180593,0.5287162162162162,0.25831202046035806,0.2815533980582524,0,orig,0.767616191904048,0.4434972056455433,0.48296682562008986
0.44,0.8062678062678063,0.7915194346289752,0.5134770889487871,0.5202702702702703,0.2506393861892583,0.27184466019417475,0,orig,0.7683658170914542,0.44437157992145204,0.4803252255651995
0.45,0.8005698005698005,0.784452296819788,0.5080862533692723,0.5135135135135135,0.24552429667519182,0.26537216828478966,0,orig,0.7683658170914542,0.4449544961053913,0.48091987146500165
0.46,0.7834757834757835,0.7703180212014135,0.49865229110512127,0.5016891891891891,0.24296675191815856,0.255663430420712,0,orig,0.7638680659670165,0.459490968442375,0.48534540921929853
0.47000000000000003,0.7806267806267806,0.7667844522968198,0.4946091644204852,0.49155405405405406,0.23785166240409208,0.23948220064724918,0,orig,0.767616191904048,0.45722488177731146,0.4726977483504294
0.48,0.7749287749287749,0.7561837455830389,0.48517520215633425,0.4831081081081081,0.22506393861892582,0.23300970873786409,0,orig,0.7691154422788605,0.45013516369015094,0.47682596315482517
0.49,0.7549857549857549,0.7385159010600707,0.47304582210242585,0.47297297297297297,0.21994884910485935,0.2297734627831715,0,orig,0.7623688155922039,0.4649630941191044,0.4912575617231008
0.5,0.7492877492877493,0.7385159010600707,0.46765498652291104,0.46790540540540543,0.21483375959079284,0.22006472491909385,0,orig,0.7646176911544228,0.46554601030304354,0.48154882385902315
0.51,0.7378917378917379,0.7314487632508834,0.46226415094339623,0.46452702702702703,0.21483375959079284,0.22006472491909385,0,orig,0.760119940029985,0.476942021699055,0.4886159616682105
0.52,0.7264957264957265,0.7314487632508834,0.4528301886792453,0.46283783783783783,0.2071611253196931,0.2168284789644013,0,orig,0.760119940029985,0.48066539882396664,0.4853797157135179
0.53,0.7207977207977208,0.7243816254416962,0.4420485175202156,0.4527027027027027,0.1918158567774936,0.20388349514563106,0,orig,0.7646176911544228,0.4710181359797728,0.47950186970393494
0.54,0.7065527065527065,0.7173144876325088,0.431266846361186,0.44425675675675674,0.18414322250639387,0.1941747572815534,0,orig,0.7638680659670165,0.47759051595368734,0.4768602696490446
0.55,0.6752136752136753,0.7137809187279152,0.40700808625336926,0.4375,0.16624040920716113,0.18446601941747573,0,orig,0.7623688155922039,0.49102673399348584,0.4706851006895606
0.56,0.6552706552706553,0.7031802120141343,0.39622641509433965,0.43243243243243246,0.1636828644501279,0.18446601941747573,0,orig,0.7556221889055472,0.5084122091794726,0.4812858074033415
0.5700000000000001,0.6353276353276354,0.6890459363957597,0.38409703504043125,0.42567567567567566,0.1585677749360614,0.18446601941747573,0,orig,0.7488755622188905,0.5232401396084261,0.49542008302171603
0.58,0.6239316239316239,0.6607773851590106,0.37870619946091644,0.40709459459459457,0.1585677749360614,0.17475728155339806,0,orig,0.7421289355322339,0.5346361510044375,0.5139798963943875
0.59,0.6182336182336182,0.6466431095406361,0.3746630727762803,0.3969594594594595,0.15601023017902813,0.16828478964401294,0,orig,0.739880059970015,0.5377766119454099,0.5216416801033769
0.6,0.603988603988604,0.6254416961130742,0.36522911051212936,0.38682432432432434,0.15089514066496162,0.16828478964401294,0,orig,0.7331334332833583,0.5469065366763577,0.5428430935309387
0.61,0.5811965811965812,0.6254416961130742,0.3504043126684636,0.38344594594594594,0.1432225063938619,0.16181229773462782,0,orig,0.7308845577211395,0.5620259251972807,0.5363706016215536
0.62,0.5754985754985755,0.6254416961130742,0.3450134770889488,0.38006756756756754,0.13810741687979539,0.1553398058252427,0,orig,0.732383808095952,0.5626088413812198,0.5298981097121684
0.63,0.5669515669515669,0.6219081272084805,0.33827493261455527,0.3766891891891892,0.1329923273657289,0.15210355987055016,0,orig,0.7316341829085458,0.566040760414162,0.5301954326620696
0.64,0.5641025641025641,0.6183745583038869,0.33557951482479786,0.3733108108108108,0.13043478260869565,0.1488673139158576,0,orig,0.7316341829085458,0.5663322185061316,0.5304927556119707
0.65,0.5612535612535613,0.6113074204946997,0.3328840970350404,0.36655405405405406,0.1278772378516624,0.1423948220064725,0,orig,0.7316341829085458,0.5666236765981011,0.5310874015117728
