auc_roc_A,auc_roc_B,auc_roc_overall,trial,lambda
0.872800402212167,0.8619277962651662,0.8676949076160433,0,orig
0.8726109544523867,0.8619163607670932,0.8636615592609282,0,full
0.8727056783322769,0.861893489770947,0.8672487607030193,0,tpr
0.8726109544523866,0.8618477477786546,0.865815682739973,0,fpr
0.8726036680000875,0.8618248767825083,0.8662528165840468,0,eo_1
0.872800402212167,0.8619277962651662,0.8676949076160433,0,eo_2
0.87454845743296,0.8534254037749553,0.864970806382352,1,orig
0.8741864097891175,0.8532387745013972,0.8619705073641659,1,full
0.8742433611038791,0.8531479818818283,0.8635375425201612,1,tpr
0.8742189533975527,0.8531782460883515,0.8632430208480875,1,fpr
0.8742352252017703,0.8531479818818284,0.8633959023267211,1,eo_1
0.8741945456912262,0.8532488625702381,0.8620986580153734,1,eo_2
0.8656832298136645,0.8671949352422726,0.867886206276414,2,orig
0.8660274060318882,0.8673087267761824,0.866976890567395,2,full
0.8658593199718256,0.8674018289402905,0.8677277223271288,2,tpr
0.8659553691490044,0.8673914842553896,0.8673118424602104,2,fpr
0.8659553691490043,0.8673811395704887,0.8672916104666846,2,eo_1
0.8660113978356919,0.8673087267761824,0.8669476665767466,2,eo_2
0.8615440231362467,0.8733555327868854,0.8669364643371759,3,orig
0.8614717223650386,0.8734426229508196,0.8662306376080691,3,full
0.8614556555269922,0.873452868852459,0.8661495857348702,3,tpr
0.8613030205655526,0.8734118852459016,0.8667597262247839,3,fpr
0.8614958226221079,0.8733094262295082,0.866973613112392,3,eo_1
0.8614877892030848,0.873329918032787,0.8666944344380404,3,eo_2
0.8689702460106383,0.8480486150033925,0.8594273424089236,4,orig
0.8687084441489361,0.8483632752195247,0.8579199935206495,4,full
0.8688996010638298,0.8483731083512788,0.8588918960874172,4,tpr
0.8687084441489361,0.8483632752195247,0.8579199935206495,4,fpr
0.86875,0.8483534420877705,0.8581539700645011,4,eo_1
0.8686751994680851,0.848392774614787,0.8566646193719079,4,eo_2
0.8732721712538226,0.8665386824681803,0.8707303860746973,5,orig
0.8734515800203875,0.8664127137688827,0.8684635234036432,5,full
0.8733700305810398,0.8664328687607703,0.8707112801424179,5,tpr
0.8734597349643222,0.8663925587769951,0.8685601769434106,5,fpr
0.8734434250764527,0.8663320938013324,0.8690277103450756,5,eo_1
0.8735331294597349,0.8664127137688827,0.8671755587923252,5,eo_2
0.8626275628896678,0.8474961731904658,0.8573195440449928,6,orig
0.8622941158224511,0.8470588235294119,0.8542769955902162,6,full
0.8624492074816217,0.8471681609446752,0.8559680498681114,6,tpr
0.8623018704054095,0.8471025584955172,0.8546277994031836,6,fpr
0.8622941158224511,0.84712442597857,0.8547222465835982,6,eo_1
0.8621545333291974,0.8468948174065165,0.8520170094874442,6,eo_2
0.8756856988333462,0.8348477877463385,0.8585173483779972,7,orig
0.8751276966528454,0.8347711065102369,0.8534273624823696,7,full
0.8752049584932223,0.8347040104286481,0.8566657263751762,7,tpr
0.8752049584932223,0.8347135955831608,0.8565280677009873,7,fpr
0.8752049584932223,0.8347040104286481,0.8564964739069111,7,eo_1
0.8751620352485685,0.8347615213557242,0.8549957686882932,7,eo_2
0.883771050521251,0.8663025587311088,0.8774714529760834,8,orig
0.8839137005736846,0.8661208610333256,0.8763262003236828,8,full
0.8839214113873295,0.8660887967337166,0.8772657795360547,8,tpr
0.883959965455555,0.8661315491331952,0.8766319007372775,8,fpr
0.88395225464191,0.8661208610333255,0.8766836000719295,8,eo_1
0.8839291222009746,0.8659391633355422,0.8747459989210573,8,eo_2
0.8816971756648901,0.8721074065616199,0.8773132382525823,9,orig
0.8820919475125083,0.8723072238715079,0.8764647043618012,9,full
0.8820662015224462,0.872278678541524,0.8766467738853861,9,tpr
0.8820232915390095,0.8723262540914972,0.8769120109691269,9,fpr
0.8820147095423222,0.8723357692014919,0.8768468255841397,9,eo_1
0.8820919475125083,0.8723072238715079,0.8764647043618012,9,eo_2
