thresholds,tpr_A,tpr_B,selection_A,selection_B,fpr_A,fpr_B,trial,lambda,acc_overall,eqodds_A,eqodds_B
0.0,0.9886039886039886,0.9929328621908127,0.9555256064690026,0.9780405405405406,0.9258312020460358,0.9644012944983819,0,orig,0.5007496251874063,0.9372272134420472,0.9714684323075692
0.01,0.98005698005698,0.9929328621908127,0.921832884097035,0.964527027027027,0.8695652173913043,0.9385113268608414,0,orig,0.5209895052473763,0.8895082373343243,0.9455784646700287
0.02,0.98005698005698,0.9929328621908127,0.9002695417789758,0.9476351351351351,0.8286445012787724,0.9061488673139159,0,orig,0.54047976011994,0.8485875212217924,0.9132160051231032
0.03,0.9743589743589743,0.9893992932862191,0.8652291105121294,0.9324324324324325,0.7672634271099744,0.8802588996763754,0,orig,0.5622188905547226,0.7929044527510001,0.8908596063901563
0.04,0.9743589743589743,0.9893992932862191,0.8557951482479784,0.9206081081081081,0.7493606138107417,0.8576051779935275,0,orig,0.5727136431784108,0.7750016394517674,0.8682058847073084
0.05,0.9743589743589743,0.9893992932862191,0.8490566037735849,0.9003378378378378,0.7365728900255755,0.8187702265372169,0,orig,0.5854572713643178,0.7622139156666011,0.8293709332509978
0.06,0.9658119658119658,0.9893992932862191,0.8288409703504043,0.8902027027027027,0.7058823529411765,0.7993527508090615,0,orig,0.5967016491754122,0.7400703871292107,0.8099534575228424
0.07,0.9658119658119658,0.9893992932862191,0.8126684636118598,0.8783783783783784,0.6751918158567775,0.7766990291262136,0,orig,0.610944527736132,0.7093798500448116,0.7872997358399945
0.08,0.9629629629629629,0.9787985865724381,0.8018867924528302,0.847972972972973,0.6572890025575447,0.7281553398058253,0,orig,0.6244377811094453,0.6943260395945818,0.7493567532333871
0.09,0.9629629629629629,0.9787985865724381,0.7911051212938005,0.8378378378378378,0.6368286445012787,0.7087378640776699,0,orig,0.6349325337331334,0.6738656815383158,0.7299392775052318
0.1,0.9601139601139601,0.9717314487632509,0.7830188679245284,0.8158783783783784,0.6240409207161125,0.6731391585760518,0,orig,0.6446776611694153,0.6639269606021524,0.7014077098128009
0.11,0.9572649572649573,0.9681978798586572,0.7695417789757413,0.8091216216216216,0.6010230179028133,0.6634304207119741,0,orig,0.6521739130434783,0.643758060637856,0.6952325408533169
0.12,0.9572649572649573,0.9681978798586572,0.7601078167115903,0.8006756756756757,0.5831202046035806,0.6472491909385113,0,orig,0.6611694152923538,0.6258552473386233,0.6790513110798541
