thresholds,tpr_A,tpr_B,selection_A,selection_B,fpr_A,fpr_B,trial,lambda,acc_overall,eqodds_A,eqodds_B
0.0,1.0,1.0,1.0,1.0,1.0,1.0,0,orig,0.4752623688155922,1.0,1.0
0.01,1.0,1.0,1.0,1.0,1.0,1.0,0,orig,0.4752623688155922,1.0,1.0
0.02,1.0,1.0,1.0,1.0,1.0,1.0,0,orig,0.4752623688155922,1.0,1.0
0.03,1.0,1.0,1.0,1.0,1.0,1.0,0,orig,0.4752623688155922,1.0,1.0
0.04,1.0,1.0,1.0,1.0,1.0,1.0,0,orig,0.4752623688155922,1.0,1.0
0.05,1.0,1.0,1.0,1.0,1.0,1.0,0,orig,0.4752623688155922,1.0,1.0
0.06,1.0,1.0,1.0,1.0,1.0,1.0,0,orig,0.4752623688155922,1.0,1.0
0.07,1.0,1.0,1.0,1.0,1.0,1.0,0,orig,0.4752623688155922,1.0,1.0
0.08,1.0,1.0,0.9986522911051213,1.0,0.9974424552429667,1.0,0,orig,0.4760119940029985,0.9974424552429667,1.0
0.09,1.0,1.0,0.9973045822102425,0.9966216216216216,0.9948849104859335,0.9935275080906149,0,orig,0.4782608695652174,0.9948849104859335,0.9935275080906149
0.1,1.0,1.0,0.9946091644204852,0.9966216216216216,0.989769820971867,0.9935275080906149,0,orig,0.47976011994003,0.989769820971867,0.9935275080906149
0.11,1.0,1.0,0.9892183288409704,0.9949324324324325,0.979539641943734,0.9902912621359223,0,orig,0.4835082458770615,0.979539641943734,0.9902912621359223
0.12,0.9914529914529915,1.0,0.9784366576819407,0.9831081081081081,0.9667519181585678,0.9676375404530745,0,orig,0.49025487256371814,0.9752989267055763,0.9676375404530745
0.13,0.9914529914529915,0.9964664310954063,0.9663072776280324,0.9662162162162162,0.9437340153452686,0.9385113268608414,0,orig,0.5029985007496252,0.9522810238922771,0.942044895765435
0.14,0.9914529914529915,0.9964664310954063,0.944743935309973,0.9527027027027027,0.9028132992327366,0.912621359223301,0,orig,0.5209895052473763,0.9113603077797451,0.9161549281278947
0.15,0.9829059829059829,0.9929328621908127,0.9123989218328841,0.9290540540540541,0.8491048593350383,0.8705501618122977,0,orig,0.5434782608695652,0.8661988764290555,0.877617299621485
0.16,0.9772079772079773,0.9858657243816255,0.898921832884097,0.8986486486486487,0.8286445012787724,0.8187702265372169,0,orig,0.5584707646176912,0.8514365240707952,0.8329045021555914
