auc_roc_A,auc_roc_B,auc_roc_overall,trial,lambda
0.7050254912574427,0.7229968790030135,0.7176435675224464,0,orig
0.704851269527562,0.7230261558958448,0.7167195893595641,0,full
0.7048598295547527,0.723025353789192,0.7168285797414535,0,tpr
0.7049051473457622,0.7230200064115058,0.7173329216951746,0,fpr
0.7048734248920555,0.7230224127314646,0.7170871123637388,0,eo_1
0.7048547942446405,0.7230264232647291,0.7167950576463842,0,eo_2
0.7061814039622809,0.7203175564735051,0.716287194355125,1,orig
0.7063730288884255,0.720178830557755,0.7151900609537549,1,full
0.7063362523874481,0.7202155326386173,0.7156465445768139,1,tpr
0.7063468982166785,0.7202000303156537,0.715548934235246,1,fpr
0.7063362523874481,0.7202155326386173,0.7156465445768139,1,eo_1
0.7063183480382882,0.7202682670363905,0.7165045240940273,1,eo_2
0.6894093263198435,0.7335920140267866,0.7220821339698735,2,orig
0.6884860186283155,0.7336940246335265,0.7194533426391548,2,full
0.6887637203928365,0.7336736750272914,0.7203453226086952,2,tpr
0.6885650724152959,0.7336931056190513,0.7197954852999682,2,fpr
0.6887252070094358,0.7336744627539844,0.7202187326921126,2,eo_1
0.6889973344684646,0.7336518812554524,0.7212546248051536,2,eo_2
0.692029056117242,0.7257658936257223,0.7184340457202592,3,orig
0.6924311317300227,0.7257267600177144,0.7144747747568148,3,full
0.6924101048165991,0.7257368043104365,0.7151930850645762,3,tpr
0.6924219004021782,0.725729238479555,0.7149277931724602,3,fpr
0.6924101048165991,0.7257368043104365,0.7151930850645762,3,eo_1
0.6924301060269288,0.7257327605042757,0.7146460601719362,3,eo_2
0.6841818349337647,0.7305375421586419,0.7174162805382585,4,orig
0.6841286009704961,0.7305602168281851,0.7149209758326428,4,full
0.6841777400135133,0.7305799742887812,0.7159271227688291,4,tpr
0.6841449806515019,0.7305586256233049,0.7154606375163154,4,fpr
0.6841449806515019,0.7305586256233049,0.7154606375163154,4,eo_1
0.6841736450932618,0.7305364813553883,0.7174177881350969,4,eo_2
0.691811099716831,0.7322662229788196,0.7213825312862856,5,orig
0.6923338650664033,0.7323402993352386,0.7185840393354263,5,full
0.6921676984820286,0.7323234813063114,0.719837555010823,5,tpr
0.692268453458586,0.7323483873949516,0.7191155836522886,5,fpr
0.6922077894674651,0.7323290017280204,0.7195233303229691,5,eo_1
0.6923338650664033,0.7323402993352386,0.7185840393354263,5,eo_2
0.7058024661093816,0.72399173207936,0.7189793876612738,6,orig
0.7060583923712401,0.7240100168004321,0.7168753810118936,6,full
0.7060020101488,0.724008000103255,0.717181346860277,6,tpr
0.7059637682935799,0.7240078656567766,0.7175182446302185,6,fpr
0.7059838697815802,0.7240110923722598,0.7172931064946165,6,eo_1
0.7061240899173877,0.7240098823539535,0.7163537589627411,6,eo_2
0.7232316113790129,0.7362868177107769,0.7327840063990835,7,orig
0.723191859626255,0.7364410017770077,0.7308969157627068,7,full
0.723195294962913,0.736426625332851,0.7313470082173681,7,tpr
0.7231997118243306,0.7364200306336964,0.7316283944496395,7,fpr
0.7232011841114698,0.7364320329861576,0.7312986841827505,7,eo_1
0.7232836321912639,0.7363771650891926,0.7327734515627148,7,eo_2
0.7197431759202896,0.7264522799439459,0.7265225002063461,8,orig
0.7194828677153751,0.7263822397857648,0.7236274212174734,8,full
0.7195609601768495,0.726389490036514,0.7243716198309678,8,tpr
0.7195449412103931,0.726386480498467,0.724214655592242,8,fpr
0.7195449412103931,0.726386480498467,0.724214655592242,8,eo_1
0.7196560727901835,0.7264113775859455,0.725334510192799,8,eo_2
0.7080396242416402,0.719775165214624,0.7178915794338276,9,orig
0.7084728599392103,0.7197544896686391,0.7151257770646973,9,full
0.7083377366694585,0.7197694074676408,0.7159194108311555,9,tpr
0.7083834787880127,0.7197737257778781,0.7155998003014034,9,fpr
0.7083629737003849,0.719767575457237,0.715741804326687,9,eo_1
0.7083193346677413,0.7197690148939828,0.7162626790343727,9,eo_2
