thresholds,tpr_A,tpr_B,selection_A,selection_B,fpr_A,fpr_B,trial,lambda,acc_overall,eqodds_A,eqodds_B
0.0,1.0,1.0,1.0,1.0,1.0,1.0,0,orig,0.22087791220877911,1.0,1.0
0.01,0.9985775248933144,0.99933598937583,0.9954648526077098,0.9967557546732582,0.9946902654867257,0.9959734246023757,0,orig,0.22417758224177584,0.9961127405934113,0.9966374352265457
0.02,0.9928876244665719,0.9966799468791501,0.9889455782312925,0.9935115093465163,0.9879646017699115,0.992550835514395,0,orig,0.22697730226977303,0.9950769773033397,0.995870888635245
0.03,0.9886201991465149,0.9953519256308101,0.9767573696145124,0.9885678974200526,0.9738053097345133,0.9865109724179585,0,orig,0.23347665233476653,0.9851851105879984,0.9911590467871484
0.04,0.9857752489331437,0.9933598937583001,0.9631519274376418,0.9813069674030589,0.9575221238938053,0.977652506543185,0,orig,0.24197580241975802,0.9717468749606616,0.9842926127848849
0.05,0.9758179231863442,0.9873837981407703,0.9427437641723356,0.9700293526958134,0.9345132743362832,0.9647674652707872,0,orig,0.2532746725327467,0.958695351149939,0.9773836671300169
0.06,0.9630156472261735,0.9780876494023905,0.905328798185941,0.9496369534991503,0.8909734513274337,0.9410106704248037,0,orig,0.27507249275072493,0.9279578041012602,0.9629230210224132
0.07,0.9345661450924608,0.9661354581673307,0.8571428571428571,0.9298625057932952,0.8378761061946902,0.9188645057378699,0,orig,0.29727027297270275,0.9033099611022294,0.9527290475705392
0.08,0.9118065433854907,0.949535192563081,0.8239795918367347,0.9060713733971884,0.8021238938053097,0.8928930944231931,0,orig,0.31616838316168383,0.890317350419819,0.943357901860112
0.09,0.8904694167852063,0.9369189907038512,0.7910997732426304,0.8869148771821412,0.7663716814159292,0.8717535735856654,0,orig,0.33336666333366666,0.8759022646307228,0.9348345828818142
0.1,0.8691322901849218,0.9236387782204515,0.7565192743764172,0.8648231113857562,0.728495575221239,0.8469901348902759,0,orig,0.3528647135286471,0.8593632850363172,0.9233513566698244
0.11,0.844950213371266,0.9116865869853917,0.7159863945578231,0.8402595396261393,0.6838938053097345,0.8186027783370243,0,orig,0.37606239376062395,0.8389435919384686,0.9069161913516326
0.12,0.8264580369843528,0.9030544488711819,0.6706349206349206,0.8209485555383902,0.631858407079646,0.7960539561103281,0,orig,0.39936006399360063,0.8054003700952932,0.8929995072391462
0.13,0.7980085348506402,0.8891102257636122,0.625,0.7919048354704156,0.5819469026548673,0.7624320515401651,0,orig,0.42605739426057393,0.7839383678042271,0.8733218257765529
0.14,0.7709815078236131,0.8758300132802125,0.5938208616780045,0.7634790668932488,0.5497345132743363,0.7294141332796457,0,orig,0.44765523447655237,0.7787530054507232,0.8535841199994332
0.15,0.7339971550497866,0.8605577689243028,0.5558390022675737,0.7302641742623204,0.511504424778761,0.6907590094624522,0,orig,0.4727527247275273,0.7775072697289744,0.8302012405381494
0.16,0.7069701280227596,0.8452855245683931,0.5204081632653061,0.6942684999227561,0.47398230088495574,0.6484799677873968,0,orig,0.5001499850014999,0.7670121728621961,0.8031944432190037
0.17,0.689900426742532,0.8154050464807437,0.48781179138321995,0.6585818013285957,0.4375221238938053,0.6110328165894906,0,orig,0.5233476652334766,0.7476216971512732,0.7956277701087469
0.18,0.6586059743954481,0.7948207171314741,0.45096371882086167,0.6253669086976672,0.3992920353982301,0.5739883229313469,0,orig,0.5472452754724527,0.740686061002782,0.7791676057998729
0.19,0.6429587482219061,0.7709163346613546,0.42205215419501135,0.5858180132859571,0.3670796460176991,0.5296959935574793,0,orig,0.5736426357364264,0.7241208977957929,0.7587796588961248
0.2,0.6216216216216216,0.748339973439575,0.38832199546485263,0.5471960451104588,0.3302654867256637,0.4862089792631367,0,orig,0.6007399260073992,0.7086438651040421,0.7378690058235617
0.21,0.5931721194879089,0.7231075697211156,0.35459183673469385,0.5078016375714507,0.2952212389380531,0.4425206361989128,0,orig,0.6265373462653735,0.7020491194501441,0.7194130664777972
0.22,0.5718349928876245,0.6892430278884463,0.32227891156462585,0.46608991194191257,0.26017699115044246,0.3984296355949265,0,orig,0.6517348265173483,0.688341998262818,0.7091866077064802
0.23,0.5376955903271693,0.6673306772908366,0.2905328798185941,0.4282403831299243,0.22902654867256636,0.3557479363801087,0,orig,0.676032396760324,0.691330958345397,0.6884172590892721
0.24,0.5078236130867709,0.6401062416998672,0.25736961451247165,0.3886914877182141,0.19504424778761062,0.31246225085564727,0,orig,0.700929907009299,0.6872206347008397,0.6723560091557801
0.25,0.48364153627311524,0.6181938911022576,0.2361111111111111,0.35130542252433183,0.1745132743362832,0.2703845379504731,0,orig,0.7226277372262774,0.6908717380631679,0.6521906468482155
0.26,0.46372688477951635,0.5982735723771581,0.21485260770975056,0.3191719450023173,0.1529203539823009,0.23454801691161667,0,orig,0.7421257874212579,0.6891934692027845,0.6362744445344586
0.27,0.4366998577524893,0.5776892430278885,0.19189342403628118,0.2926000308975745,0.13097345132743363,0.20616066035836522,0,orig,0.7574242575742426,0.6942735935749443,0.6284714173304767
0.28,0.42105263157894735,0.5577689243027888,0.17431972789115646,0.2655646531747258,0.11292035398230088,0.1769679887255889,0,orig,0.7729227077292271,0.6918677224033536,0.6191990644228
0.29,0.4039829302987198,0.5351925630810093,0.1578798185941043,0.24424532674185076,0.09663716814159291,0.15602979665794242,0,orig,0.7833216678332167,0.6926542378428732,0.6208372335769332
