auc_roc_A,auc_roc_B,auc_roc_overall,trial,lambda
0.7577937788743565,0.7610722802368138,0.7610055594390318,0,orig
0.7581142763629956,0.7610024301157894,0.7590830934305525,0,full
0.7580981633706366,0.7610021627469052,0.7600374564387056,0,tpr
0.7580981633706366,0.7610021627469052,0.7599913272472236,0,fpr
0.7580981633706366,0.7610021627469052,0.7600374564387056,0,eo_1
0.7574460907111116,0.7611423977267228,0.7599352053341613,0,eo_2
0.7592760255441833,0.7579790588791475,0.7593362610737594,1,orig
0.7589077766330822,0.75805551050607,0.7579643599741758,1,full
0.7588869688759503,0.75805551050607,0.7590287286666131,1,tpr
0.758908260534411,0.75805551050607,0.7583815259465154,1,fpr
0.7588922917905656,0.75805551050607,0.7588420552988512,1,eo_1
0.7588845493693072,0.75805551050607,0.7589275854346909,1,eo_2
0.772305583427083,0.7650635990838737,0.7690412571852827,2,orig
0.7722992489890237,0.7650295299044028,0.7675238989373101,2,full
0.7723098908449634,0.7650303176310957,0.768610954713963,2,tpr
0.7723134381302765,0.7650303176310957,0.7679753092877879,2,fpr
0.7723129313752319,0.7650303176310957,0.768343377930611,2,eo_1
0.7723098908449634,0.7650303176310957,0.768610954713963,2,eo_2
0.7534294382942147,0.7458852641746821,0.7507194273865558,3,orig
0.7533260987075117,0.7459301373785308,0.748071177281894,3,full
0.7534148220251277,0.7459243977826898,0.7494220979037644,3,tpr
0.7533527669879511,0.7459281806981305,0.7485028852713104,3,fpr
0.7533855894869536,0.74592544134557,0.7488810307646937,3,eo_1
0.7534230276498782,0.7459243977826898,0.7504128035790517,3,eo_2
0.7583497983251776,0.7562904638428526,0.7585718767087306,4,orig
0.7580378165885219,0.7563438355065435,0.7564331186554092,4,full
0.758036792858459,0.7563439681069501,0.7575859663608757,4,tpr
0.7580439589688991,0.7563439681069501,0.7570943158380585,4,fpr
0.7580429352388363,0.7563439681069501,0.7572982473027063,4,eo_1
0.7580367928584592,0.7563439681069501,0.7577313914712929,4,eo_2
0.7650045788125472,0.7595319709446084,0.7622850671597929,5,orig
0.7651992310971004,0.7594997470876566,0.7603631932797201,5,full
0.7651644152413266,0.7595002606152574,0.7619294427959116,5,tpr
0.7651849882470112,0.7595001322333572,0.7609050588454536,5,fpr
0.765163360215394,0.7595002606152574,0.7618187187316333,5,eo_1
0.7651665252931916,0.7595001322333572,0.7611481242563684,5,eo_2
0.7730230676831809,0.7554344611062471,0.7620997582800418,6,orig
0.7731752996837692,0.7553255594586862,0.7604560301867802,6,full
0.7731571593165493,0.7553265005840354,0.7611617405317099,6,tpr
0.7731507856740126,0.7553265005840354,0.7612656949148152,6,fpr
0.7731527467947932,0.7553265005840354,0.7612278828088359,6,eo_1
0.7732037359350868,0.7553119803643608,0.7593073284717989,6,eo_2
0.7679513517068225,0.770506645676179,0.7710749273570519,7,orig
0.7678144290028787,0.7707710271652802,0.7688444622196764,7,full
0.7678399486466246,0.7707752477727391,0.7703041105097073,7,tpr
0.767835531785207,0.7707736650449423,0.769260379825771,7,fpr
0.7678404394090044,0.7707752477727391,0.7698475139937162,7,eo_1
0.7678384763594854,0.7707752477727391,0.7703874081372654,7,eo_2
0.7786947245538718,0.7678375320037012,0.7732525177181468,8,orig
0.7785062514016595,0.7680747383206668,0.7713378479462141,8,full
0.7785132596994843,0.7680747383206668,0.7723256644643075,8,tpr
0.7785132596994842,0.7680747383206668,0.7722578229918395,8,fpr
0.7785142608848876,0.7680747383206668,0.7722899800849418,8,eo_1
0.7785192668119054,0.7680747383206668,0.772591857000993,8,eo_2
0.7685325244864921,0.7513102800123217,0.7583541739268085,9,orig
0.7686610756127736,0.7512771075382255,0.756105912156971,9,full
0.7686957765302973,0.7512755372435937,0.7570155728954963,9,tpr
0.7686941992158646,0.7512755372435937,0.7569140420468758,9,fpr
0.7686957765302973,0.7512755372435937,0.7570155728954963,9,eo_1
0.7686957765302973,0.7512755372435937,0.7573665530363869,9,eo_2
