auc_roc_A,auc_roc_B,auc_roc_overall,trial,lambda
0.6964141039036241,0.7247046977515079,0.7169446579839986,0,orig
0.6939206183360818,0.7235698505220778,0.7116073827156593,0,full
0.6943269678621332,0.7238554004905149,0.7124129006500382,0,tpr
0.6947584939387454,0.7240862735221119,0.7131943082387433,0,fpr
0.6944865871926887,0.723948578546695,0.7126983322844849,0,eo_1
0.6949528569090749,0.7241679547162668,0.713658737403361,0,eo_2
0.6973211706347382,0.7307212051638371,0.7210323219579962,1,orig
0.6921879453404415,0.7285781746372457,0.7160124836390138,1,full
0.6934291522484233,0.7293118187590297,0.7176863328996995,1,tpr
0.6925092558226636,0.7287561201051084,0.7164273703272539,1,fpr
0.6933793104115726,0.7292861140525776,0.717630604403463,1,eo_1
0.6921879453404415,0.7285781746372457,0.7160124836390138,1,eo_2
0.7015719541488035,0.7252899654778777,0.7202265907884298,2,orig
0.6953414008736457,0.7263478167826485,0.7162860709564302,2,full
0.6967755176502783,0.7261777991047487,0.7174699476570483,2,tpr
0.6961892020635065,0.7262486945071162,0.7170390716020558,2,fpr
0.6967755176502783,0.7261777991047487,0.7174699476570483,2,eo_1
0.6967755176502783,0.7261777991047487,0.7174699476570483,2,eo_2
0.6769645547781866,0.7236698323581456,0.7116424357954666,3,orig
0.6792498212712359,0.7220752030545086,0.7057509049483957,3,full
0.679338544588852,0.7226250302470179,0.7077000642291664,3,tpr
0.6792821309186914,0.7221268594170789,0.7059318717130673,3,fpr
0.679338544588852,0.7226250302470179,0.7077000642291664,3,eo_1
0.6793636743146508,0.7226676858797464,0.7079251985707806,3,eo_2
0.6927770725415123,0.7291127507888067,0.7199395627621261,4,orig
0.691014721238304,0.7297437961242227,0.7124976878683102,4,full
0.6918608341352551,0.7298242845710807,0.7149985590853294,4,tpr
0.6912952232755267,0.729774824619387,0.7134223665907262,4,fpr
0.6918137425523638,0.7298119527332589,0.7147968310314456,4,eo_1
0.691060277226101,0.7297578517673313,0.7126026398020642,4,eo_2
0.7248365764830499,0.7215751560481998,0.7241261485973136,5,orig
0.7226215495376876,0.7210206104302591,0.7195257959546439,5,full
0.7247648347196374,0.7213728903644249,0.7224431542883356,5,tpr
0.7228388848797903,0.7210498815035062,0.7197925428976907,5,fpr
0.7247648347196374,0.7213728903644249,0.7224431542883356,5,eo_1
0.7250301737416706,0.7214098643516843,0.7228907524477128,5,eo_2
0.7269487412055989,0.7209682324482811,0.7240878956857659,6,orig
0.7231176917608413,0.7204243292196296,0.7180458796136552,6,full
0.7238183021596842,0.7205675147192006,0.7195707366214525,6,tpr
0.7242428848086682,0.7206585349851248,0.7205097372532732,6,fpr
0.7240163753585174,0.7206301667781676,0.7200731635342362,6,eo_1
0.7231176917608413,0.7204243292196296,0.7180458796136552,6,eo_2
0.7118557394169547,0.7405895291740917,0.7324780302507317,7,orig
0.7120064034675306,0.7398182791079799,0.728555282524443,7,full
0.7125143425305476,0.7400948607905171,0.7300691313255563,7,tpr
0.7122527661821533,0.7399352690709796,0.7291485213815311,7,fpr
0.7125143425305476,0.7400948607905171,0.7300691313255563,7,eo_1
0.712063331903579,0.7398429432828175,0.7287006540004826,7,eo_2
0.7368506812065486,0.7266576125170517,0.731782095541957,8,orig
0.7317163521609585,0.7241914328848391,0.7247921899297859,8,full
0.7333452808124818,0.7251957978093846,0.7275335380256744,8,tpr
0.7326129136898089,0.7247736416997215,0.7264183276853642,8,fpr
0.7332611812385865,0.7251429940963808,0.7273938574896398,8,eo_1
0.7331605621055329,0.7250758266790623,0.7272434187305015,8,eo_2
0.7202953573852753,0.7246696427239483,0.724663095594976,9,orig
0.7204572950003865,0.7220426706628921,0.7186579604882062,9,full
0.7207259642254571,0.7229514786810258,0.7208770270654221,9,tpr
0.7205314287787328,0.7222324145975636,0.719100788067255,9,fpr
0.7207259642254571,0.7229514786810258,0.7208770270654221,9,eo_1
0.7209204996721814,0.7236089087001912,0.7224384335141096,9,eo_2
